date,city
FL,8/24/17
FL,8/24/17
FL,8/24/17
FL,8/24/17
FL,8/24/17
FL,8/24/17
FL,8/24/17
FL,8/24/17
FL,8/17/17
FL,8/17/17
FL,8/17/17
FL,8/17/17
FL,8/17/17
FL,8/17/17
FL,8/17/17
FL,8/11/17
FL,8/4/17
FL,8/4/17
FL,8/4/17
FL,7/27/17
FL,7/27/17
FL,7/27/17
FL,7/23/17
FL,7/23/17
FL,7/23/17
FL,7/23/17
FL,7/23/17
FL,7/23/17
FL,7/23/17
FL,7/14/17
FL,7/14/17
FL,7/14/17
FL,7/14/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/14/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/14/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,7/7/17
FL,8/4/17
FL,6/22/17
FL,6/22/17
FL,6/22/17
FL,6/22/17
FL,6/15/17
FL,6/15/17
FL,6/2/17
FL,7/7/17
FL,6/2/17
FL,6/2/17
FL,5/15/17
FL,5/15/17
FL,5/15/17
FL,5/15/17
FL,5/15/17
FL,5/11/17
FL,5/11/17
FL,5/11/17
FL,5/11/17
FL,5/11/17
FL,5/15/17
FL,5/11/17
FL,5/11/17
FL,5/6/17
FL,4/28/17
FL,4/28/17
FL,5/6/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,4/28/17
FL,5/6/17
FL,4/28/17
FL,7/23/17
FL,4/20/17
FL,4/20/17
FL,4/20/17
FL,4/13/17
FL,4/13/17
FL,4/20/17
FL,4/13/17
FL,4/7/17
FL,4/20/17
FL,4/7/17
FL,4/7/17
FL,4/7/17
FL,4/7/17
FL,6/2/17
FL,4/7/17
FL,4/7/17
FL,4/7/17
FL,4/7/17
FL,4/7/17
FL,4/13/17
FL,4/7/17
FL,4/7/17
FL,4/7/17
FL,4/7/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,3/23/17
FL,6/22/17
FL,3/17/17
FL,3/17/17
FL,3/17/17
FL,3/17/17
FL,3/17/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,3/10/17
FL,2/22/17
FL,2/22/17
FL,2/22/17
FL,3/10/17
FL,2/17/17
FL,2/17/17
FL,2/17/17
FL,2/17/17
FL,2/17/17
FL,2/17/17
FL,6/2/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/10/17
FL,2/17/17
FL,2/3/17
FL,2/3/17
FL,2/3/17
FL,2/3/17
FL,2/3/17
FL,2/3/17
FL,2/10/17
FL,1/26/17
FL,2/3/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/26/17
FL,1/19/17
FL,1/19/17
FL,1/19/17
FL,2/3/17
FL,1/19/17
FL,1/19/17
FL,1/19/17
FL,1/19/17
FL,1/19/17
FL,1/12/17
FL,1/12/17
FL,1/12/17
FL,1/19/17
FL,1/12/17
FL,1/12/17
FL,1/19/17
FL,1/6/17
FL,1/26/17
FL,1/6/17
FL,1/19/17
FL,1/6/17
FL,1/6/17
FL,1/6/17
FL,1/6/17
FL,3/10/17
FL,1/6/17
FL,1/6/17
FL,12/30/16
FL,4/7/17
FL,12/30/16
FL,12/30/16
FL,12/30/16
FL,12/30/16
FL,12/21/16
FL,12/21/16
FL,12/21/16
FL,12/21/16
FL,12/15/16
FL,12/15/16
FL,12/15/16
FL,12/15/16
FL,12/15/16
FL,12/15/16
FL,12/15/16
FL,12/15/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,12/5/16
FL,11/11/16
FL,11/11/16
FL,11/4/16
FL,11/4/16
FL,11/4/16
FL,11/4/16
FL,11/4/16
FL,11/4/16
FL,11/4/16
FL,10/27/16
FL,10/27/16
FL,10/27/16
FL,10/27/16
FL,10/27/16
FL,10/27/16
FL,10/27/16
FL,10/21/16
FL,10/21/16
FL,10/21/16
FL,10/21/16
FL,10/21/16
FL,10/21/16
FL,10/21/16
FL,10/21/16
FL,10/21/16
FL,10/11/16
FL,10/11/16
FL,10/11/16
FL,10/11/16
FL,10/11/16
FL,10/11/16
FL,10/11/16
FL,2/10/17
FL,10/11/16
FL,10/11/16
FL,7/27/17
FL,10/11/16
FL,10/11/16
FL,9/30/16
FL,9/30/16
FL,9/30/16
FL,9/30/16
FL,9/30/16
FL,9/30/16
FL,9/30/16
FL,10/27/16
FL,9/22/16
FL,9/22/16
FL,9/22/16
FL,9/22/16
FL,9/15/16
FL,9/15/16
FL,9/15/16
FL,9/9/16
FL,9/9/16
FL,9/9/16
FL,9/22/16
FL,9/9/16
FL,9/9/16
FL,9/2/16
FL,8/29/16
FL,8/29/16
FL,8/25/16
FL,8/29/16
FL,8/25/16
FL,8/29/16
FL,9/15/16
FL,8/25/16
FL,8/25/16
FL,8/29/16
FL,9/2/16
FL,8/19/16
FL,8/25/16
FL,8/19/16
FL,8/25/16
FL,8/19/16
FL,8/19/16
FL,8/19/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/16/16
FL,8/2/16
FL,8/4/16
FL,8/2/16
FL,9/9/16
FL,8/2/16
FL,8/2/16
FL,7/22/16
FL,8/2/16
FL,7/22/16
FL,7/22/16
FL,8/29/16
FL,12/5/16
FL,7/22/16
FL,7/22/16
FL,7/15/16
FL,1/26/17
FL,7/15/16
FL,7/15/16
FL,7/15/16
FL,7/15/16
FL,9/9/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/15/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,7/8/16
FL,6/24/16
FL,6/24/16
FL,6/24/16
FL,8/25/16
FL,6/24/16
FL,6/16/16
FL,6/16/16
FL,6/16/16
FL,6/16/16
FL,6/10/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,6/1/16
FL,5/26/16
FL,6/1/16
FL,5/26/16
FL,5/26/16
FL,5/26/16
FL,5/20/16
FL,5/20/16
FL,6/10/16
FL,7/15/16
FL,5/26/16
FL,5/20/16
FL,5/20/16
FL,5/20/16
FL,5/20/16
FL,5/20/16
FL,5/20/16
FL,5/20/16
FL,5/10/16
FL,5/20/16
FL,5/10/16
FL,5/10/16
FL,5/10/16
FL,5/20/16
