state,total
Alaska,16
Alabama,21
Arkansas,35
Arizona,148
California,450
Colorado,97
Connecticut,40
Delaware,3
Florida,129
Georgia,52
Hawaii,11
Iowa,39
Idaho,32
Illinois,143
Indiana,50
Kansas,41
Kentucky,41
Louisiana,18
Massachusetts,50
Maryland,44
Maine,33
Michigan,99
Minnesota,53
Missouri,78
Mississippi,24
Montana,19
North Carolina,66
North Dakota,5
Nebraska,21
New Hampshire,20
New Jersey,73
New Mexico,35
Nevada,61
New York,148
Ohio,116
Oklahoma,50
Oregon,121
Pennsylvania,77
Rhode Island,12
South Carolina,21
South Dakota,8
Tennessee,57
Texas,182
Utah,33
Virginia,63
Vermont,12
Washington,245
Wisconsin,97
West Virginia,24
Wyoming,22
