date,city
Vernon,8/24/17
Cold Springs (Bugtussel),8/24/17
Gulf Shores,8/11/17
Huntsville,8/11/17
Birmingham (outside Hueytown),8/17/17
Birmingham (NE of),7/14/17
Gardendale,7/7/17
Hazel Green,7/23/17
Anniston,6/2/17
Hamilton,6/9/17
Auburn,5/11/17
Montgomery,5/11/17
Warrior,5/11/17
Anniston,5/6/17
Birmingham,4/28/17
Newton,4/20/17
Newton,4/20/17
Jasper,4/20/17
Eastaboga,4/20/17
Dothan,4/20/17
Grant,4/20/17
Lapine,5/6/17
Altoona,3/23/17
Sand Rock,3/17/17
Huntsville,3/17/17
Boaz,3/17/17
Vestavia,3/10/17
Gulf Shores,4/7/17
Wetumpka,3/10/17
Tuscaloosa,3/10/17
Tuscaloosa,3/10/17
Auburn,3/10/17
Dothan,3/10/17
Maycomb,2/17/17
Summerdale,3/10/17
Mobile,2/3/17
Clio,2/3/17
Phenix City,2/3/17
Birmingham,5/6/17
Birmingham,1/12/17
Huntsville,1/6/17
Hartselle,12/30/16
New Brockton,12/30/16
Ozark,12/21/16
Montgomery,12/5/16
Alabaster,12/5/16
Huntsville,11/4/16
Phil Campbell,11/4/16
Dothan,11/4/16
Cullman,10/27/16
Odenville,10/13/16
Birmingham,10/11/16
Foley,10/13/16
Florence,10/11/16
Phenix City,10/11/16
Wetumpka,9/30/16
Athens,9/22/16
Hanceville,9/9/16
Mobile,8/29/16
Toney,8/16/16
Ashville,8/16/16
Phenix City,8/2/16
Atmore,8/2/16
Mobile,8/2/16
Daphne,7/22/16
Spanish Fort,7/22/16
Mobile,8/2/16
Chunchula,7/22/16
Oxford,7/8/16
Dothan,7/8/16
Tanner,7/8/16
Lisman,7/8/16
Vestavia,7/8/16
Auburn,7/8/16
Dothan,3/10/17
Dothan,6/16/16
Hoover,7/15/16
Decatur,5/20/16
Tirana (Albania),3/24/16
Anniston,3/18/16
Auburn,9/9/16
Pelham,3/11/16
Clements,2/26/16
Florence,2/26/16
West Mobile,2/19/16
Mobile,2/4/16
Montevallo,1/29/16
Birmingham,1/14/16
Clanton,1/14/16
Phenix city,1/8/16
Oxford,1/8/16
Gadsden,1/5/16
Southwest UK (UK/England),1/5/16
Harpersville,1/5/16
Cullman,1/5/16
Dothan (general area),12/17/15
Athens,12/10/15
Vance,12/10/15
Mobile,12/17/15
Dothan,12/3/15
Hollywood,11/26/15
Red Hill,11/26/15
Eastaboba,11/19/15
Fort Payne,11/19/15
Vandiver,11/19/15
Hamilton,11/19/15
Florence,11/12/15
Rogersville,11/19/15
Centre,11/19/15
Florence,11/19/15
Florence,11/19/15
Wicksburg,11/6/15
Stapleton,10/29/15
Crane Hill,10/29/15
Valley,10/29/15
Waverly,10/29/15
Mobile,10/29/15
Thorsby,10/16/15
Florence,10/16/15
Lisman,9/25/15
Jones,9/25/15
Littleville,9/25/15
Tuscumbia,9/17/15
Nanafalia,9/25/15
Dothan,9/29/15
Tuscumbia,9/17/15
Tuscumbia,9/17/15
Woodland,9/11/15
Spanish Fort,8/27/15
Gulf shores,10/16/15
Hartford,8/13/15
Homewood,8/13/15
Huntsville,7/23/15
Fairhope,7/17/15
Montgomery,7/17/15
Montgomery,7/10/15
Elberta,7/6/15
Huntsville (Owens Cross Roads),7/3/15
Hoover,6/19/15
Ahmadi (Kuwait),6/19/15
Birmingham,6/15/15
Leeds,10/13/16
Gulf Shores,6/5/15
Salem,5/13/15
Enterprise,4/23/15
Harvest,4/17/15
Orange Beach,3/6/15
Semmes,1/30/15
Florala,1/30/15
Mobile,1/26/15
Florence,1/26/15
Trussville,1/26/15
Mobile,1/26/15
Ranburne,1/26/15
Shelby (Lay Lake),1/16/15
Birmingham,1/9/15
Chelsea,1/7/15
Mobile,12/18/14
Birmingham,12/12/14
Hoover,12/18/14
Auburn,12/12/14
Attalla,12/12/14
Rockford,11/26/14
Florence,11/26/14
Mobile,11/21/14
Albertville,11/26/14
Trussville,11/21/14
Columbia,11/21/14
Madison,11/14/14
Greendale,11/14/14
Phenix City,11/14/14
