date,city
Anchorage,7/27/17
Anchorage,6/2/17
Chugiak,5/6/17
Wasilla,3/23/17
Anchorage,3/23/17
Anchorage,3/23/17
Anchorage,3/10/17
Soldotna,3/10/17
Fairbanks,3/10/17
Anchorage,3/10/17
Wasilla,3/10/17
Sand Point,3/10/17
Fairbanks,3/10/17
Anchorage,1/6/17
Anchorage,1/6/17
Wasilla,1/6/17
Wasilla,1/6/17
Delta Junction,12/30/16
Anchorage,12/21/16
Anchorage,12/15/16
Anchor Point,12/5/16
Anchorage,12/5/16
Fairbanks,12/5/16
Fairbanks,10/27/16
Anchor Point,10/11/16
Fairbanks,10/11/16
North Pole,10/11/16
Fairbanks,9/22/16
Anchorage,9/30/16
Anchorage,9/15/16
Anchorage,9/2/16
Juneau,8/29/16
Anchorage/Eagle River (between),8/16/16
Big Lake,7/22/16
Anchorage,6/16/16
Coffman Cove,3/23/17
Anchorage,6/10/16
Anchorage,6/1/16
Fairbanks,5/20/16
Wasilla,4/15/16
Pelican,4/1/16
Fairbanks,4/1/16
Fairbanks,3/24/16
Anchorage,3/18/16
Kotzebue,3/18/16
Dillingham,3/11/16
Anchorage,2/19/16
Kasilof,2/19/16
Palmer,2/19/16
Palmer,2/11/16
Eagle River,2/11/16
Anchorage,2/11/16
Big Lake,2/4/16
Fairbanks,2/4/16
Anchorage,1/20/16
Anchorage,1/5/16
Fairbanks,1/5/16
Fairbanks,1/14/16
Anchorage,12/21/15
Anchorage,12/17/15
Anchorage,12/3/15
Wasilla,11/19/15
Eagle River,11/6/15
Nikiski,11/6/15
Anchorage,11/6/15
Nome,12/3/15
Fairbanks,9/25/15
Anchorage,9/25/15
Anchorage,9/2/15
Butte,8/27/15
Anchorage,8/27/15
Juneau,8/27/15
Palmer,8/13/15
Wasilla,8/6/15
Sitka,7/6/15
Anchorage,6/15/15
Anchorage,5/8/15
Juneau,4/8/15
Juneau,4/8/15
Sitka,3/26/15
Eagle River,3/26/15
Wasilla,3/26/15
Fairbanks,3/26/15
Wasilla,3/26/15
Palmer,3/20/15
Ketchikan,3/20/15
Chugiak,3/20/15
Fairbanks,3/13/15
Fairbanks,3/13/15
Ninilchik,3/13/15
Anchorage,3/13/15
Palmer,2/6/15
Bethel,1/16/15
Wasilla,1/16/15
Homer,1/7/15
Anchorage,1/7/15
Fairbanks,1/7/15
North Pole,12/12/14
Fairbanks,4/17/15
Eagle River,11/21/14
Wasilla,11/6/14
Denali State Park,10/3/14
Anchorage,9/25/14
Fairbanks,9/18/14
Eagle River,9/18/14
Palmer,9/5/14
Ketchikan,8/8/14
Wasilla,8/8/14
Anchorage,6/13/14
Homer,6/4/14
Anchorage,6/4/14
Irving,6/4/14
Anchorage,5/8/14
Anchorage,4/24/14
Kodiak,4/24/14
Wasilla,4/18/14
Ketchikan,4/18/14
Kenai,4/11/14
Kenai,4/4/14
Wasilla,4/11/14
Anchorage,4/4/14
Chugiak,4/4/14
Wasilla,4/4/14
Bethel,4/4/14
Clam Gulch,3/27/14
Nikiski,3/27/14
Ninilchik,4/4/14
Ward Cove,3/18/14
Butte,4/11/14
Anchorage,3/18/14
Anchorage,2/27/14
Palmer,2/27/14
Anchorage,3/18/14
Anchorage,2/27/14
Anchorage,2/7/14
Talkitna,1/16/14
Anchorage,1/7/15
Fairbanks,1/10/14
Eagle River,1/10/14
Fairbanks,3/18/14
Anchorage,1/10/14
Anchorage,1/10/14
Anchorage,1/10/14
Wasilla,1/10/14
Anchorage,10/3/14
Soldotna,12/23/13
Anchorage,12/23/13
Anchorage,12/23/13
North Pole,12/23/13
Anchorage,12/12/13
Anchorage,12/12/13
Fairbanks,12/23/13
North Pole,12/12/13
Ketchikan,12/12/13
Kuparuk,12/2/13
Palmer,11/20/13
Palmer,11/11/13
Kuparuk Oilfield,11/11/13
Kuparuk Oilfield,11/20/13
Fairbanks,12/12/13
Wasilla,11/11/13
Wasilla,11/11/13
Fairbanks,11/11/13
Anchorage,11/11/13
Anchorage,11/11/13
Glenallen (Close to),7/20/14
Kodiak,10/14/13
Anchorage,10/14/13
Fairbanks,10/14/13
Fairbanks,10/14/13
Fairbanks,9/30/13
North Pole,9/30/13
Fairbanks,9/30/13
Anchorage,9/30/13
Eagle River,9/18/14
Fairbanks,9/30/13
Palmer,8/30/13
Fairbanks,9/30/13
Kodiak,8/30/13
Sterling,7/22/13
Angoon,7/3/13
Wasilla,5/15/13
Wasilla,5/15/13
North Pole,5/15/13
Bethel,4/12/13
Palmer,3/3/13
Palmer,2/28/13
Fairbanks,6/2/13
Anchorage,2/4/13
Delta Junction,2/4/13
Eagle River,2/4/13
Fairbanks,2/4/13
Fairbanks,2/4/13
Homer,12/21/12
Wasilla,12/20/12
Anchorage,12/20/12
Fairbanks,12/20/12
Wasilla,7/3/13
Anchorage,11/19/12
Ketchikan,11/19/12
Ketchikan,11/19/12
Wasilla - Susitna Delta,11/19/12
Anchorage,11/19/12
Soldotna,11/4/12
Homer,11/19/12
Anchorage,11/4/12
Anchorage,11/4/12
Eagle River,10/30/12
Tanacross,10/30/12
North Pole,12/20/12
Anchorage,10/30/12
Anchorage,10/30/12
Fairbanks,10/30/12
Anchorage,10/30/12
Anchorage,10/30/12
Anchorage,10/30/12
Savoonga,9/24/12
Wasilla,9/24/12
Willow,9/24/12
Fairbanks,9/24/12
Anchorage,9/24/12
,10/23/13
Anchorage,8/5/12
Homer,5/8/14
Anchorage,4/11/14
Eagle River,7/4/12
Juneau,5/13/12
Bethel,4/18/12
Palmer,3/16/12
Bethel,3/13/12
Anchorage,3/13/12
Metlakatla,3/13/12
Fairbanks,3/13/12
Haines,3/13/12
Anchorage,1/24/12
Anchorage,1/24/12
Anchorage,1/12/12
Anchorage,1/12/12
North Pole,1/12/12
Fairbanks,1/12/12
Anchorage,12/12/11
Anchorage,12/12/11
Fairbanks,12/12/11
Wasilla,10/25/11
Wasilla,12/12/11
Anchorage,10/25/11
Wasilla,10/10/11
Alaska cruise (Norwegian Star),6/12/11
Wasilla,5/2/11
Seward,4/3/11
Hooper Bay,3/23/11
Ninilchik,3/10/11
Fairbanks,2/18/11
Juneau,1/31/11
North Pole,1/24/12
Savoonga,5/13/12
Wasilla,1/5/11
Anchorage,1/5/11
Anchorage,1/5/11
Juneau,11/21/10
Anchorage,11/21/10
Seward,7/4/11
Craig (Coffman Cove Road),8/30/10
North Kenai (Daniels Lake; east end),8/24/10
Anchorage,11/21/10
Elk,7/6/10
Prince William Sound,9/24/12
Palmer,6/3/10
Metlakatla,2/14/10
Willow,2/14/10
Anchorage,5/15/13
Willow,2/14/10
Bethel,2/14/10
Delta Junction,6/22/17
Fort Greely,2/14/10
Kaktovik,12/12/09
Healy,12/12/09
Anchorage,12/12/09
Homer,8/27/09
North of Pt. Barrow,4/13/10
Juneau,8/5/09
Anchorage,6/9/09
Eagle River,5/12/09
Fairbanks,4/14/09
Fairbanks,3/19/09
Fairbanks,3/19/09
Wasilla,3/19/09
Venetie,1/10/09
Bethel,1/10/09
Tok (30 miles NW of),1/10/09
Fairbanks,1/10/09
Kodiak,10/31/08
Juneau,1/16/15
Fairbanks,7/5/08
Anchorage,5/2/11
Alaska,6/10/10
Eagle River,3/31/08
Anchorage,3/31/08
Anchorage,3/31/08
Anchorage,2/14/08
Nunapitchuk,1/21/08
Anchorage,11/28/07
Willow,10/8/07
Kenai Peninsula,10/8/07
North Pole,8/7/07
Homer,4/27/07
Eagle River,3/8/07
Slana,2/24/07
Anchorage,2/1/07
Fairbanks,12/20/12
Wasilla,2/1/07
Anchorage,12/7/06
Anchorage,12/7/06
North Pole,12/7/06
Anchorage,12/7/06
Anchorage,10/30/06
Knik,10/30/06
Anchorage,10/30/06
Anchorage,10/30/06
Anchorage,4/27/07
North Pole,7/16/06
White Mountain,5/15/06
Fairbanks,10/30/06
Anchorage,2/14/06
Wasilla,2/1/07
Glennallen,10/10/11
Anchorage,10/20/05
Fairbanks,3/11/06
Tracy Arm (near; on cruise ship),10/11/05
Suriname,9/2/05
"Susitna Lodge (10 mi. E of, Denali Hwy.)",9/2/05
Susitna Lodge (10 miles E of; Denali Highway),9/2/05
Nikiski,7/16/06
Rio de Janeiro (Brazil),9/2/05
Anchor Point,5/28/05
Juneau,5/11/05
Anchorage,5/11/05
Fairbanks,4/16/05
Wasilla,4/16/05
Fairbanks,5/11/05
Ester,4/16/05
Anchorage,1/27/05
Fairbanks,10/8/07
Fairbanks,4/3/15
Fairbanks,7/16/06
Anchorage,1/11/05
Fairbanks,10/20/05
Fairbanks,10/27/04
College Fjord,9/1/04
Anchorage,8/24/04
Wrangell,8/24/04
Anchorage,3/4/08
Fairbanks,4/9/04
Ketchikan,1/31/04
St. George Island,1/17/04
Kenai,3/4/08
Anchorage,7/25/04
Fairbanks,12/9/03
Anchorage,10/31/03
Kenai,9/12/03
Anchorage,9/12/03
Anchorage,9/9/03
Fairbanks,8/28/03
Council,2/14/06
Rural Alaska community,1/10/09
Anchorage,4/22/03
Iliamna,4/22/03
Anchorage,3/21/03
Yakutat,4/27/07
Anchorage,3/21/03
Two Rivers,3/17/17
Kotzebue,6/12/08
St. George Island,9/13/02
Bethel,7/1/02
Inside Passage,5/24/05
Anchorage,3/21/03
North Pole,2/22/02
Fairbanks,2/22/02
Talkeetna,2/22/02
Anchorage,12/23/02
Wainwright,3/21/03
Cordova,1/5/11
Turnagain Pass,7/13/05
Newhalen,11/20/01
Eagle River,11/20/01
Fairbanks,10/12/01
Nenana,10/12/01
Fairbanks,10/12/01
Petersburg,8/20/01
"Misty Fjords National Park (near, on island)",1/17/04
Soldatna,8/5/01
Anchorage,8/5/01
Seward,4/28/01
Talkeetna (Matsue area),4/28/01
Palmer,4/3/11
Wrangell,2/18/01
Wrangell,2/18/01
North Pole,12/23/02
Anchorage,2/18/01
North Pole,12/20/00
Savoonga,5/13/12
North Pole,5/24/05
Homer,12/2/00
Anchorage,12/2/00
Fairbanks,12/23/02
Ketchikan (area),6/6/00
Eagle River (far east of),5/3/00
Fairbanks,4/15/00
Kenai,2/23/00
Fairbanks,3/6/15
Juneau,2/16/00
Seward,11/30/99
Seward,10/19/99
Seward,11/26/03
Alaska,9/12/99
Nenana,5/24/05
Trapper Creek (10 miles north of),2/24/01
Turnagain Pass,8/30/99
Ketchikan,8/30/99
Wacker City,4/1/00
Nikiski,5/24/99
Anchorage,3/16/00
Fairbanks,4/2/99
Fairbanks (20 miles south of),8/5/01
North Pole,5/24/05
North Pole,4/2/99
Palmer,2/16/99
Copper Center,2/16/99
Wasilla,10/15/03
Eagle River,9/6/02
Fairbanks,12/12/09
Anchorage/Girdwood,1/28/99
Kodiak,12/12/09
Anchorage,3/2/04
North Pole,9/26/98
Big Lake,9/26/98
Auke Bay,9/26/98
Auke Bay,9/26/98
Juneau,7/16/03
Anchorage,6/18/98
North Pole,5/24/05
Alaska (remote),3/16/00
Fairbanks,2/16/99
Wasilla,9/2/05
Kenai,9/2/05
Anchorage,3/13/12
North Pole,5/24/05
Juneau,3/7/98
Seward,1/17/04
Bethel,2/16/99
Adak,1/8/16
Nikishi,11/2/99
Mountain Village,11/2/99
Birchwood,12/18/14
Prince of Wales Island,11/2/99
Cold Bay,2/16/00
Wasilla,3/7/98
Cantwell (80 miles east of); Clearwater Mtns.,6/6/00
Cordova,11/2/99
Gustavus,11/2/99
Anchorage,11/2/99
Palmer (10 miles north of),11/2/99
"Savoonga, St. Lawrence Island",10/2/99
Fairbanks,6/2/98
Perl Island (Private),3/2/04
Sitka,8/30/99
Sutton,11/30/99
Douglas Island,2/12/04
Glennallen,4/27/07
North Pole,4/17/08
Wasilla,2/18/11
Anchorage,5/11/05
Teller,10/15/02
Kenai,4/27/07
Girdwood,2/4/13
Ft. Richardson,2/18/13
Anchorage,6/4/04
Teller,8/28/02
Adak,10/31/08
Juneau,4/26/99
Seward,4/27/04
Sterling,8/10/99
Elmendorf AFB,2/16/00
Prince William Sound,3/4/08
Juneau,11/2/99
Point Barrow,9/28/03
Glennallen,10/15/02
Ketchikan,4/14/09
Anchorage,8/11/17
Anchorage,6/10/16
Kodiak Island,12/14/06
Soldotna,4/16/05
Fairbanks,9/29/15
Ft. Yukon,5/10/04
Ft. Yukon,5/4/04
"Fairbanks, Trans Alaskan Pipeline haul road 250 mi N of",11/23/99
Nulato,5/2/03
Cordova,6/12/07
"Sitka (North of, St. John Bay)",1/28/99
Chugiak,9/4/03
Anchorage,1/17/04
Kenai,1/11/02
Fairbanks,7/19/10
Fairbanks,4/26/00
Valdez,10/31/03
Juneau,11/2/99
Juneau,8/30/99
Anchorage,9/11/15
Cook Inlet (at sea),12/21/15
Gula,6/18/04
Kodiak Naval Station,11/28/07
Delta Junction,3/11/06
Nenana,3/21/03
"Northeast Cape AFS, St Lawrence Island,",1/28/99
Northeast Cape AFS,1/28/99
Nelchina (near),12/7/06
Arctic,8/24/10
?????,3/21/03
Fairbanks,1/10/09
Fairbanks,12/23/13
Anchorage,4/16/05
Bering Sea,3/19/09
Eklutna,2/18/01
