year,population
1980,226545805
1981,229465714
1982,231664458
1983,233791994
1984,235824902
1985,237923795
1986,240132887
1987,242288918
1988,244498982
1989,246819230
1990,248709873
1991,252980941
1992,256514224
1993,259918588
1994,263125821
1995,266278393
1996,269394284
1997,272646925
1998,275854104
1999,279040168
2000,281421906
2001,284968955
2002,287625193
2003,290107933
2004,292805298
2005,295516599
2006,298379912
2007,301231207
2008,304093966
2009,306771529
2010,308745538
2011,311718857
2012,314102623
2013,316427395
2014,318907401
2015,321418820
