date,city
Buckeye,8/24/17
Dateland,8/24/17
Sedona,8/24/17
Glendale,8/24/17
Mesa,8/24/17
Phoenix,8/17/17
Tucson,8/17/17
Scottsdale,8/11/17
Phoenix,8/11/17
Buckeye,8/4/17
Sahuarita,8/4/17
Phoenix,7/27/17
Chandler,7/23/17
Chandler,7/14/17
Glendale,7/14/17
Phoenix,7/7/17
Tempe,7/7/17
Kingman,7/14/17
Kingman,7/14/17
Cave Creek,7/7/17
Casa Grande,7/7/17
Leupp,7/7/17
Desert Hills,7/7/17
Mesa,6/22/17
Phoenix,7/7/17
Paulden,6/22/17
Phoenix,6/22/17
Buckeye,6/15/17
Yuma,6/15/17
Fortuna,6/15/17
Cave Creek,6/15/17
Prescott Valley,6/9/17
Paulden,6/9/17
Welton,6/15/17
Phoenix,6/22/17
Tucson,6/9/17
Cave Creek,6/9/17
Benson,6/9/17
Lake Havasu City,6/9/17
Gila Bend,6/2/17
Phoenix,6/2/17
El Mirage,6/2/17
Sierra Vista,6/2/17
Globe,6/2/17
Superior,6/2/17
Tucson,6/2/17
Tucson,5/15/17
Tucson/Sierra Vista (Interstate 10),6/2/17
Mesa,5/15/17
Surprise,5/15/17
Apache Junction,5/15/17
Tempe,6/2/17
Tucson,5/11/17
Goodyear,7/7/17
Phoenix,5/11/17
Surprise,5/11/17
El Mirage,5/6/17
Phoenix,5/6/17
Phoenix,5/6/17
Phoenix,5/6/17
Marana,5/6/17
Scottsdale,5/6/17
Surprise,4/28/17
Gilbert,4/20/17
Phoenix,4/20/17
Phoenix,4/20/17
Luke Air Force Base,4/13/17
Chandler,4/13/17
Show Low,4/13/17
Williams,4/13/17
San Tan Valley,4/7/17
Mesa,4/7/17
Prescott Valley,4/7/17
Goodyear,4/7/17
Bullhead City,4/7/17
Tempe,4/7/17
Mesa,4/28/17
Ajo,3/23/17
Chandler,3/23/17
Tempe,3/23/17
Phoenix,3/23/17
tempe,6/2/17
Tempe,6/2/17
Tempe,3/17/17
Chandler,3/17/17
Phoenix,3/17/17
Phoenix,3/17/17
Chandler,3/17/17
Phoenix,3/17/17
Goodyear,3/17/17
Mesa,3/17/17
Glendale,3/17/17
Casa Grande,3/17/17
Phoenix,3/10/17
Phoenix,3/10/17
Yuma,3/10/17
Phoenix,3/10/17
Prescott,3/10/17
Mesa,3/10/17
Payson,3/10/17
Buckeye/Litchfield Park,3/10/17
Tucson,4/7/17
Phoenix,3/10/17
Sun City West,3/10/17
Peoria,2/22/17
Tucson,2/22/17
Yuma,2/17/17
Prescott Valley,2/17/17
Goodyear,4/7/17
Goodyear,4/20/17
Apache Junction,2/17/17
Peoria,2/17/17
Tucson,2/17/17
Avondale,2/10/17
Tucson,2/10/17
Sahuarita,2/10/17
Queen Creek,2/10/17
Phoenix,2/10/17
Mesa,2/3/17
Tempe,2/3/17
not sure,3/10/17
Maricopa,2/3/17
Phoenix,4/7/17
Tucson,2/3/17
Sahuarita,2/3/17
Chandler,2/3/17
Scottsdale,2/3/17
Yuma,2/3/17
Gilbert,1/26/17
Phoenix,1/19/17
Sahaurita,2/17/17
Chandler,1/12/17
San Tan Valley,1/6/17
Phoenix,1/6/17
Mesa,1/6/17
Phoenix,1/6/17
New River,1/6/17
Tucson,12/30/16
Anthem,12/30/16
Tucson,3/17/17
Sun City West,3/10/17
Florence Jct./Reymart,12/21/16
Gilbert,12/21/16
Phoenix,12/21/16
Chandler,12/15/16
Prescott Valley,12/21/16
Green Valley,12/30/16
Green Valley,12/30/16
Kayenta,12/15/16
Phoenix,12/15/16
Kingman,12/15/16
Marana,12/5/16
Glendale,12/5/16
Mesa,12/5/16
Benson (north of),12/5/16
Maricopa,12/5/16
Lake Havasu City,12/5/16
Phoenix,12/5/16
Glendale,12/5/16
Glendale,12/5/16
Gila Bend (west of; on I-8),12/5/16
Glendale,12/5/16
Phoenix,12/5/16
Glendale,11/11/16
Phoenix,11/11/16
Glendale,11/11/16
Glendale,11/11/16
Phoenix,11/11/16
Glendale,11/11/16
Avondale,11/11/16
Scottsdale,11/11/16
Kingman,11/11/16
Sweetwater,12/5/16
Tempe,11/11/16
Congress,11/4/16
Tempe,11/4/16
Rock Point,12/5/16
Florence,11/4/16
Tucson,11/4/16
Apache Junction,10/27/16
Chandler,10/27/16
Globe,10/27/16
San Tan Valley,10/27/16
Globe,10/27/16
Chandler,10/27/16
Florence,10/27/16
San Tan Valley,11/4/16
Gilbert,10/27/16
Mesa,10/27/16
Queen Creek,10/27/16
Phoenix,11/4/16
Tucson,10/21/16
Golden Valley,10/21/16
Tucson,10/21/16
Prescott,10/21/16
Parker,10/21/16
Prescott,4/20/17
Cochise County,10/11/16
Phoenix,10/11/16
El Mirage,9/30/16
Benson,10/21/16
Tucson,9/15/16
Tucson,9/9/16
Tempe,9/9/16
Tempe,9/2/16
Gila Bend,9/2/16
Prescott Valley,8/25/16
Sedona,8/29/16
Mesa,8/19/16
Maricopa,8/19/16
Gilbert,8/19/16
Gilbert,8/16/16
Interstate 8,8/16/16
Phoenix,8/16/16
Phoenix,8/29/16
Phoenix,8/16/16
Phoenix,8/16/16
Buckeye,8/2/16
Kingman,8/2/16
Prescott Valley,8/2/16
Kingman,8/2/16
Grand Canyon,8/16/16
