date,city
Bentonville,8/4/17
Rogers,8/4/17
Texarkana,7/27/17
Camden,7/7/17
Hot Springs,7/14/17
Pine Bluff,6/2/17
Paragould,6/2/17
Bonnerdale/Crossroads,5/11/17
Holiday Island,4/20/17
Conway,4/7/17
McRae,4/28/17
Nunley,3/23/17
Bryant,7/7/17
Hot Springs National Park,3/17/17
Board Camp,3/10/17
Helena,2/17/17
Fort Chafee,2/3/17
Russellville,2/3/17
Jacksonville,1/26/17
Corning/Pocahontas (between),12/30/16
Conway,12/21/16
Berryville,12/21/16
Fountain Hill,12/5/16
Fountain Hill,12/5/16
Centerton,11/4/16
St. Joe (SW of),12/15/16
Jacksonville,10/21/16
Harrison,10/11/16
Van Buren,10/11/16
Highway I-40 Truck parking,10/11/16
Mena,10/13/16
Newport,9/30/16
Conway,9/22/16
Fayetteville,9/15/16
Corning,9/15/16
Paragould,9/15/16
Harrison,9/9/16
Little Rock,8/25/16
Gosnell,8/25/16
Mountain Home,8/16/16
Siloam Springs,7/8/16
Alma,6/24/16
Springdale,5/6/16
Light,4/29/16
Light,4/22/16
Bentonville,4/22/16
Pea Ridge,4/22/16
Lexa,4/15/16
Corning,4/15/16
Fayetteville,4/15/16
Gum Springs,4/1/16
Paragould,4/1/16
Forrest City,3/18/16
Van Buren,3/11/16
Conway,3/11/16
Luxora,10/11/16
Pangburn,3/4/16
Conway,1/14/16
Maumelle,1/20/16
New Blaine,1/5/16
Bentonville,12/17/15
Trumann,12/17/15
Mount Ida,12/10/15
Russellville,12/10/15
Hot Springs,11/19/15
Midway,11/6/15
Alexander,10/29/15
El Dorado,10/29/15
Ouchita National Forest,10/29/15
Fayetteville,11/6/15
Fayetteville,10/9/15
Helena,10/9/15
Little Rock,11/12/15
Paragould,10/16/15
Lincoln,9/29/15
Hot Springs,9/17/15
Mayflower,9/11/15
Hot Springs,9/2/15
Pea Ridge,9/11/15
Forrest City,8/13/15
Fayetteville,7/31/15
Leslie,7/31/15
Russleville,7/31/15
Greenbrier,7/17/15
Marion,7/17/15
Centerton,7/3/15
Lowell,5/29/15
London,5/22/15
Bentonville,5/13/15
Star City,5/13/15
Bryant,4/30/15
Camden,4/17/15
Bauxite,4/17/15
Boonville,4/3/15
Benton,3/26/15
Conway,3/13/15
Magnolia,2/20/15
Cabot,1/30/15
Fayetteville,1/26/15
Centerton,1/16/15
Luxora,12/22/14
McGehee,12/18/14
Springdale,12/5/14
Heber Springs,11/26/14
Bentonville,11/21/14
Jonesboro,11/21/14
Gurdon,11/21/14
Rogers,11/14/14
Greenbrier,11/6/14
Clarksville,11/6/14
Van Buren,9/25/14
Grannis,9/25/14
Sherwood,8/1/14
Ft. Smith (60 mi. N of)(in-flight),7/20/14
Gassville,7/11/14
Jasper,7/20/14
Garfield,7/11/14
Little Rock,7/11/14
Beaver Lake,11/6/14
Judsonia,7/5/14
Paragould,7/26/14
Dardanelle,6/4/14
Fayetteville,7/4/14
Bentonville,6/4/14
Mountain Home,5/2/14
Rogers,5/2/14
North Little Rock,4/4/14
West Fork (I-540; MM32),3/18/14
Hot Springs,1/30/14
Fayetteville,2/27/14
Highfill,1/30/14
Beebe,1/30/14
Pleasant Grove,2/14/14
Monticello,1/10/14
Little Rock,1/10/14
Fayetteville,1/10/14
Fayetteville,9/17/15
Fayetteville,12/2/13
Jonesboro,11/20/13
Little Rock,11/11/13
Gassville,11/11/13
Springdale,11/11/13
Mayflower,11/11/13
Fordyce,11/11/13
Conway,11/11/13
Jonesboro,11/11/13
Fayetteville,11/11/13
Beaver,11/11/13
Lewisville,10/14/13
Lockesberg,10/14/13
Clarksville,10/14/13
Sherwood/North Little Rock,10/3/13
Clarksville,10/14/13
Ozark,9/30/13
Lonsdale,6/4/14
Fayetteville,9/30/13
Cabot,9/30/13
Clarksville,10/14/13
Springdale,9/9/13
Fort Smith,9/9/13
Bauxite,8/30/13
Alma,8/30/13
Monticello,8/30/13
Pocahontas,8/30/13
Mountain Home,8/30/13
Rogers,8/30/13
Booneville,7/22/13
Hot Springs,8/30/13
Bryant,7/22/13
Mountain Home,7/14/13
Walnut Ridge,7/14/13
Horseshoe Lake,8/30/13
Black Rock,7/5/13
Conway,7/14/13
Mayflower,7/14/13
Springdale,7/3/13
Hartman,7/3/13
Little Rock,7/3/13
Rudy,3/18/14
Bryant,7/3/13
Bryant/Benton,7/3/13
Greenwood,6/2/13
Conway,5/15/13
Briggsville,5/15/13
Little Rock,5/15/13
Greenbrier,5/15/13
Springdale,4/12/13
Gilbert,5/15/13
Mount Vernon,2/4/13
White Hall,12/20/12
Russellville,2/4/13
Fort Smith,12/20/12
Sunshine,12/20/12
Dennard,12/20/12
Little Rock,12/20/12
Heber Springs,12/20/12
England,11/19/12
Siloam Springs,12/20/12
Damascus,11/19/12
Springdale,5/15/13
Little Rock,11/4/12
Sims,11/4/12
Umpire,10/30/12
Mountain Home,11/4/12
Mountain Home,10/30/12
Hector,9/24/12
Farmington,9/24/12
Fifty Six,9/24/12
Springdale,9/24/12
Russellville,8/19/12
Fort Smith,8/19/12
Hampton,9/24/12
Bryant,8/5/12
Elkins,8/5/12
Rogers,8/5/12
Paris,7/4/12
Heber Springs,7/4/12
Beebe,7/3/13
Harrison,7/4/12
Saint Joe,6/20/12
Mountain Home,6/20/12
Clinton,6/5/12
Lake Village,5/29/12
Rogers,5/29/12
Fayetteville,8/30/13
Conway,5/29/12
Greenwood,6/4/14
Pocahontas,5/13/12
Conway,5/13/12
Whitehall,5/13/12
Bigelow,5/13/12
Van Buren,4/18/12
,4/18/12
Hagarville,4/18/12
Springdale,3/13/12
Conway,3/13/12
Greenbrier,3/13/12
Eudora,3/13/12
Wynne,3/13/12
Smackover,7/4/12
Atkins,1/24/12
Garfield,1/24/12
Bonnerdale,3/6/15
Russellville,1/12/12
Mena,1/12/12
Mena,1/12/12
Rogers,1/12/12
Eureka Springs,12/12/11
Rogers,12/12/11
Gravette,12/12/11
Osceola,1/24/12
North Little Rock,12/12/11
Fort Smith,12/12/11
Waldenburg,10/25/11
Springdale,10/19/11
Conway,10/10/11
Waldo,10/10/11
Cabot/Lonoke,10/10/11
Searcy,3/13/12
Little Rock,12/12/11
Ft. Smith,10/10/11
Marion,10/10/11
Bentonville,10/10/11
Bentonville,10/10/11
Fayetteville,5/13/12
War Eagle,10/10/11
Conway,10/10/11
Siloam Springs,8/21/11
Fort Smith,7/6/11
Berryville,7/6/11
Bryant,8/7/11
Greenbried,7/6/11
Bryant,7/17/11
Springdale,7/17/11
Gillham,7/6/11
Dardanelle,7/4/11
Fayetteville,6/20/11
Little Rock,6/3/11
Marked Tree,6/3/11
Wilmont,5/2/11
Conway,4/3/11
Russellville,4/3/11
Fort Smith,2/18/11
Mountain Home,2/18/11
Conway,3/10/11
Conway,2/8/11
Bald Knob,1/31/11
Jonesboro,1/31/11
Little Rock (South of),1/31/11
Pangburn/Searcy,1/5/11
Rogers,1/31/11
Ward,1/5/11
Little Rock,1/5/11
Little Rock,1/5/11
Paragould,8/5/12
Hot Springs,11/21/10
Decatur,11/21/10
Fayetteville,11/21/10
Little Rock,11/21/10
Buckner,11/21/10
Dardanelle,11/21/10
Morrilton,4/15/16
Jacksonville,8/30/10
Cabot,8/21/11
Springdale,11/21/10
Springdale,11/21/10
Berryville,8/24/10
Marshall,8/24/10
Arkansas (while driving),1/24/12
Russellville,7/10/10
Cherokee Villiage,8/24/10
Searcy,7/19/10
Mulberry,7/10/10
Russellville,1/5/11
Ozark,7/6/10
Benton,6/23/10
Bryant,6/23/10
Bluff City,8/24/10
Lowell,6/10/10
Gravette,6/3/10
Enerson,6/3/10
West Memphis,6/3/10
Centerton,5/12/10
Scott,4/13/10
Smackover,4/13/10
Fort Smith,4/13/10
Proctor,4/13/10
North Little Rock,4/13/10
