date,city
Corona,8/24/17
Corona,8/24/17
Elk Grove,8/24/17
Los Angeles,8/24/17
Turlock,8/24/17
Lake Elsinore,8/17/17
El Centro,8/17/17
Yountville,8/17/17
Visalia,8/17/17
Georgetown,8/17/17
Grass Valley,8/24/17
Sunland,8/17/17
Antioch,8/17/17
Placerville,8/17/17
Jalama Beach,8/17/17
Grass Valley,8/24/17
,8/17/17
Sherman Oaks,8/11/17
Los Angeles,8/11/17
Davis,8/11/17
Corona,8/17/17
Chino,8/11/17
Victorville,8/11/17
Chino,8/11/17
Glendale,8/11/17
Sylmar,8/11/17
Indio,8/11/17
San Bernardino,8/11/17
Sun Valley,8/4/17
Newhall,8/4/17
Moreno Valley,8/4/17
Benicia,8/17/17
San Gabriel,8/4/17
San Bernardino,8/4/17
Cathedral City,8/4/17
Sherman Oaks,8/11/17
San Bernardino,8/4/17
Covina,8/4/17
Green Valley Lake,8/4/17
San Diego,7/27/17
La Habra,7/23/17
Rosamond,8/4/17
San Gabriel,7/23/17
Santa rosa,7/23/17
San Diego,7/23/17
Alhambra,7/23/17
Granada Hills,7/23/17
Palmdale,7/27/17
San Bernardino,7/23/17
Temecula,7/23/17
Martinez,7/23/17
Weed,7/23/17
Pinon Hills,7/14/17
San Gabriel,7/14/17
Rancho Cucamonga,7/14/17
Modesto,7/14/17
Riverside,7/14/17
Carlsbad,7/14/17
San Diego,7/14/17
San Diego,7/14/17
Chula Vista,7/14/17
Anahiem,7/7/17
Warner Springs (near),7/7/17
Anaheim,7/7/17
San Francisco,7/7/17
Montrose,7/14/17
Stanton,7/7/17
Yreka,7/7/17
Los Angeles,7/14/17
Montebello,7/7/17
Suisun City,7/7/17
Corona,7/7/17
Los Angeles,7/7/17
Eagle Rock,7/7/17
Cloverdale,7/7/17
Calistoga,8/11/17
Sonoma (Fetters Hot Springs),7/14/17
Sonoma,7/7/17
Seaside,7/7/17
Palm Springs,7/7/17
Lincoln,7/7/17
Korbel,7/7/17
Long Beach,7/7/17
