date,city
Denver/Glendale,8/24/17
Colorado Springs,8/24/17
Cortez,8/24/17
Aurora,8/24/17
Johnstown,8/17/17
Aurora,8/17/17
Palisade,8/17/17
Pine Grove,8/17/17
Grand Junction,8/17/17
Rabbit Ears Pass/Steamboat springs,8/17/17
Denver,8/4/17
Littleton,7/27/17
Highlands Ranch,7/27/17
Colorado Springs,8/4/17
Grand Junction,7/23/17
Grand Junction,7/23/17
Lyons,7/23/17
Parker,7/14/17
Telluride,7/14/17
Mt. Morrison,7/14/17
Denver,7/7/17
Denver,7/14/17
Pueblo,7/14/17
Denver,7/7/17
Weld County (rural),7/7/17
Aurora,7/7/17
Colorado Springs,7/7/17
Grand Junction,7/7/17
Eaton,7/7/17
Denver,6/22/17
Littleton,6/22/17
Denver,6/15/17
Walsenburg,6/22/17
Colorado Springs,6/15/17
Rabbit Valley,6/15/17
Boulder,6/15/17
Cimarron,6/22/17
Parker/Aurora,6/9/17
Grand Junction,6/9/17
Colorado Springs,6/2/17
Colorado Springs,6/2/17
Fort Collins,6/2/17
Leadville,8/4/17
Golden,6/2/17
Ft. Collins,5/15/17
Evans,5/15/17
Breckenridge,5/15/17
Limon,6/2/17
Denver,5/15/17
Denver,5/15/17
Denver,5/11/17
Lyons,7/23/17
Loveland,5/6/17
Arvada,6/9/17
Peyton,5/6/17
Colorado Springs,4/28/17
Denver,4/20/17
Loveland,4/20/17
Colorado (southeast part),4/13/17
Falcon,4/13/17
Loveland,4/13/17
Golden,4/7/17
Peyton,3/23/17
Colorado Springs,3/23/17
Colorado Springs,4/7/17
Denver,3/17/17
Englewood,3/17/17
Longmont,3/10/17
Fountain,3/10/17
Longmont,3/10/17
Broomfield,3/10/17
Eaton,3/17/17
Nederland,2/22/17
Parachute,2/22/17
Colorado Springs,2/22/17
Longmont,3/10/17
Arvada,2/3/17
Northglenn,7/7/17
Fort Collins,1/19/17
Castle Rock,1/26/17
Golden,1/26/17
Denver,1/12/17
Colorado Springs,1/6/17
Longmont,1/6/17
Northglenn,1/6/17
Arvada,1/6/17
Greeley,12/30/16
Mead/Thornton (between; on I-25),12/30/16
La Veta,12/21/16
Berthoud,12/21/16
Fort Collins,12/15/16
Delta,12/30/16
Delta,12/15/16
Colorado Springs,12/5/16
Englewood,12/5/16
Grand Junction,12/5/16
Longmont,12/5/16
Bailey,12/5/16
Longmont,12/5/16
Grand Junction,12/5/16
Colorado Springs,12/5/16
Avon,12/5/16
Longmont,12/5/16
Greeley,12/5/16
Gilcrest,11/11/16
Colorado Springs,11/11/16
Wheat Ridge,11/11/16
Colorado Springs,11/11/16
Falcon,11/4/16
Delta,11/4/16
Aurora,11/4/16
Denver,10/27/16
Denver,10/27/16
Fort Lupton,10/21/16
Colorado Springs,10/27/16
Alma,10/21/16
Almont,10/21/16
Colorado Springs,10/21/16
Lakewood,10/21/16
Colorado Springs,10/21/16
Lakewood,10/27/16
Arvada,10/21/16
Morrison,10/21/16
Arvada,10/11/16
Denver,10/11/16
Boulder,10/11/16
Arvada,10/11/16
Boulder,9/30/16
Aurora,9/30/16
Aurora,9/30/16
Littleton,10/11/16
Centennial,10/11/16
Aurora,9/30/16
Northglenn,9/30/16
Denver,9/30/16
Longmont,9/30/16
Loveland,9/22/16
Manitou Springs,9/22/16
Aurora,9/22/16
Durango,9/22/16
Ridgway,9/22/16
