date,city
East Windsor,8/24/17
Oakdale,8/24/17
Milford,8/17/17
Burlington,8/17/17
Short Gap,8/17/17
Marlborough,8/11/17
Sandy Hook,8/4/17
Meriden,7/27/17
Manchester,7/23/17
Milford,8/24/17
Plainville,7/23/17
Groton,7/23/17
South Windsor,7/14/17
Clinton,7/14/17
Stratford,7/14/17
Bridgeport,7/14/17
Middletown,7/7/17
Clinton,7/14/17
Milford,7/7/17
Norwalk,7/7/17
Manchester,7/7/17
Middletown,6/15/17
Waterford,8/4/17
Bozra,6/2/17
New Milford,6/2/17
Clinton,5/15/17
Clinton,6/2/17
Guilford,5/11/17
Southington,5/11/17
Oneco,5/11/17
Harwinton,4/7/17
Berlin,3/23/17
Milford,3/10/17
Bridgeport,3/10/17
Bridgeport,3/10/17
East Haven,2/22/17
Columbia,2/10/17
New London,2/3/17
Guilford,1/26/17
Jewett City,12/30/16
Manchester,12/30/16
Waterbury,12/30/16
Milford,12/30/16
Middlefield,12/21/16
Clinton,12/15/16
Cromwell,12/15/16
Niantic,12/15/16
Stratford,12/15/16
Plainville,12/5/16
Naugatuck,12/5/16
Bristol,12/5/16
Broad Brook,10/27/16
Harwinton,11/4/16
Waterbury,10/21/16
Middletown,10/13/16
Cromwell,10/11/16
Middlefield,10/11/16
Torrington,10/11/16
New Britian,9/30/16
Naugatuck,9/30/16
Stonington,4/28/17
Stamford,9/22/16
Ellington,9/2/16
Old Lyme,8/29/16
Ellington,8/29/16
Torrington,8/25/16
Milford,8/19/16
Wethersfield,8/16/16
Bridgeport,8/16/16
Bridgeport,12/5/16
New Britain,8/16/16
New Milford,8/2/16
Thomaston,8/2/16
Plainville,8/2/16
Ansonia,7/22/16
Greenwich,7/15/16
Putnam,7/8/16
Wolcott,7/8/16
East Windsor,7/8/16
Watertown,6/24/16
Quaker Hill,6/10/16
Quaker Hill,6/24/16
Suffield,6/1/16
Colchester,6/1/16
Stamford,5/6/16
Plainfield,4/29/16
Wethersfield,4/22/16
Hamden,4/1/16
North Haven,4/1/16
Stamford,3/18/16
Canton,3/18/16
Burlington,7/22/16
Waterbury (over),3/24/16
Glastonbury,3/11/16
Suffield,2/26/16
Beacon Falls,2/19/16
West Suffield,2/26/16
Fairfield,2/19/16
New Britain,2/10/17
South Windsor,2/4/16
West Suffield,2/4/16
West Suffield,2/4/16
Manchester,1/29/16
West Hartford,1/8/16
Putnam,1/8/16
Milford,1/5/16
Newtown,1/5/16
Southington,1/5/16
Norwich,1/5/16
Vernon,1/5/16
Hamden,1/5/16
Norwalk,1/5/16
Ellington,1/5/16
New Haven (Fair Haven/East Haven),12/17/15
Columbia,12/10/15
Hebron,12/3/15
Meriden,12/3/15
Naugatuck,12/21/15
Enfield,11/26/15
Branford,11/26/15
Torrington,12/3/15
Winsted,11/26/15
Manchester,11/19/15
Waterbury,11/19/15
Wolcott,11/6/15
Norwalk,11/6/15
New Britain,11/6/15
Kensington,11/19/15
West Haven,11/6/15
Wethersfield/Cromwell are,10/29/15
Southbury,10/29/15
Waterbury,10/16/15
Bridgeport,10/16/15
Milford,10/16/15
Ellington,10/9/15
Stamford,9/29/15
Manchester,9/29/15
Collinsville,10/9/15
Norwalk/Westport (between on Ct 15),10/2/15
Killingly,4/1/16
Old Lyme,9/25/15
Hartford,9/25/15
Wethersfield,9/17/15
Manchester,8/2/16
Stonington,9/11/15
Waterford,9/2/15
Willimantic,9/2/15
Greenwich,11/12/15
East Haven,8/27/15
New Milford,8/27/15
Hartford,8/27/15
East Windsor,2/3/17
Plymouth,8/13/15
Suffield,8/6/15
Hartford,7/31/15
New Haven/Fair Haven/ East Haven,1/8/16
Bethel,7/3/15
Milford,7/3/15
Stratford,6/24/15
Suffield,6/24/15
Waterbury,6/15/15
Oakville,6/15/15
Berlin,6/5/15
Wolcott,5/22/15
New Milford,7/17/15
Durham,5/8/15
Seymour,5/8/15
Middletown,4/30/15
New Britain,4/30/15
Stamford,4/23/15
Lyme,6/5/15
West Hartford,4/8/15
Bridgeport,4/17/15
North Franklin,3/26/15
Old Saybrook,6/5/15
Newtown,3/20/15
Lyme/Haddam,6/5/15
New Haven,3/20/15
Waterbury,3/13/15
Sharon,3/26/15
,3/13/15
Middletown,3/13/15
Middletown,3/20/15
Old Lyme,3/13/15
Naugatuck,3/6/15
Danbury,3/6/15
Danbury,3/6/15
Norwalk,2/20/15
East Haven,2/20/15
New Fairfield,2/6/15
Westport,1/29/16
Torrington,1/26/15
Torrington,1/16/15
Bridgeport,1/7/15
Newington,1/9/15
Southington,1/7/15
Beacon Falls,1/7/15
Trumbull,1/7/15
Essex,1/7/15
Bridgeport,1/7/15
Berlin,12/22/14
Southington,12/18/14
Meriden,12/18/14
Farmington,11/26/14
Old Lyme,11/26/14
Middletown,12/18/14
Hamden,11/14/14
Weston,11/6/14
Shelton,11/6/14
Old Lyme,11/6/14
Enfield,11/6/14
Vernon,11/6/14
Simsbury,11/6/14
Middletown,11/6/14
Oxford,10/10/14
Middletown,10/10/14
Waterbury,10/10/14
Winsted,10/10/14
West Haven,10/3/14
New Haven,10/3/14
Hebron,10/3/14
Lyme,10/3/14
Bolton,9/25/14
Torrington,9/25/14
Wallingford,9/25/14
Winsted,9/10/14
Milford,9/18/14
Manchester,9/5/14
Ledyard,8/29/14
Madison,8/29/14
Waterbury,8/22/14
Madison,8/22/14
Madison,8/22/14
Enfield (Southwood Acres),8/15/14
East Haddam,11/26/14
Waterford,8/8/14
Uncasville,1/7/15
Greenwich,8/1/14
Waterbury,8/1/14
West Suffield,8/1/14
East Haven,8/1/14
East Haven,8/1/14
Middletown,7/26/14
Bristol,7/20/14
West Haven,7/20/14
Somers,7/20/14
Greenwich,9/25/14
Cromwell,7/11/14
Norwalk,7/11/14
Wallingford,7/11/14
Bantam,7/5/14
