date,city
Newark,7/27/17
South Dewey Beach,7/14/17
Georgetown,7/7/17
Bear,7/7/17
Wilmington,6/15/17
Wilmington,6/22/17
Wilmington,6/22/17
Millsboro,7/7/17
Wilmington,6/2/17
Dover,4/20/17
Wilmington,3/10/17
Newark,3/10/17
Milford,1/19/17
Newcastle,1/12/17
Bear,1/6/17
Delmar,12/30/16
Delmar,1/6/17
Middletown,12/5/16
Bethany Beach,11/11/16
Frederica,10/11/16
Laurel,10/11/16
Wilmington,9/30/16
Bear,9/22/16
Pike Creek,9/9/16
Pike Creek,6/24/16
Harrington,6/10/16
Elsmere,5/20/16
Lewes,4/22/16
Bethany (Route 1),4/29/16
Milford,4/22/16
Rehoboth Beach,4/1/16
Felton,3/24/16
Bear,3/11/16
Bear,12/21/15
Bear,12/21/15
Millsboro,1/5/16
Newark,12/3/15
Laurel,12/3/15
Milford,11/26/15
North Star,11/6/15
Newcastle,12/10/15
New Castle,11/6/15
Middletown,10/29/15
Wilmington,10/29/15
Middletown,9/25/15
Selbyville,9/25/15
Newark,9/17/15
Deerfield,9/17/15
Newcastle,9/2/15
Smyrna,8/27/15
Stanton,8/27/15
Bethany Beach,8/27/15
Bethany Beach,8/13/15
Pike Creek,8/13/15
Dover,9/11/15
Rehoboth Beach,8/6/15
Wilmington,7/23/15
Tallahassee,6/15/15
Pike Creek,5/29/15
Newark,10/2/15
Hartly,4/17/15
Dover,4/29/16
Elsmere,1/30/15
Hockessin,11/26/14
Millsboro,11/21/14
Millsboro,11/21/14
Townsend,11/21/14
Wilmington,11/6/14
Wilmington,11/6/14
Wilmington,11/6/14
Harrington,10/3/14
Bethany Beach,9/18/14
Milford,9/5/14
Newark,8/29/14
S. Bethany Beach,9/5/14
South Bethany Beach,8/29/14
South Bethany Beach,8/29/14
South Bethany Beach,8/29/14
Rehoboth Beach,8/22/14
Fenwick Island,8/22/14
Wilmington,8/15/14
Ellendale,8/8/14
Townsend,8/8/14
Wilmington,5/13/15
Camden,8/1/14
Dewey Beach,8/8/14
Rehoboth Beach,8/22/14
Middletown,7/26/14
Longneck,7/20/14
Newark,7/20/14
Wilmington,7/11/14
Newark,7/5/14
Bethany Beach,7/11/14
Wilmington,7/4/14
Wilmington,6/13/14
Newark (I-95; near PA border),2/27/14
Wilmington,2/21/14
Wilmington,2/7/14
Elsmere,1/24/14
Lewes,1/10/14
Bear,1/10/14
Laurel,12/23/13
Lewes,12/2/13
Ocean View,11/20/13
Bear,11/20/13
Newark,9/30/13
Bear,9/9/13
Bethany Beach,8/30/13
Dover,6/2/13
Millsboro,5/15/13
Hartly,4/12/13
New Castle,2/4/13
Lincoln,2/4/13
Milford,2/4/13
Wilmington,2/14/14
Bear,2/4/13
Newark,12/20/12
Newark,12/20/12
Newark,12/20/12
Dover,12/20/12
Lewes,11/4/12
Milford,10/30/12
Bethany Beach,11/19/12
Rehoboth,9/24/12
Newark,8/19/12
Newark,8/5/12
Wilmington,8/5/12
Dover (west of),8/5/12
Bethany Beach,8/5/12
Viola,8/5/12
Newark,8/5/12
Newark,8/5/12
Bear,8/5/12
Bethany Beach,8/19/12
Bear,6/20/12
Frederica,6/14/12
Elsmere,6/14/12
Newark/Bear,3/13/12
Bellefonte,2/10/12
Wilmington/Pike Creek,1/24/12
Lincoln,1/24/12
Ocean View,1/24/12
Lewes,1/12/12
Dover,12/12/11
Elsmere,12/12/11
Seaford,3/13/12
Wilmington,10/10/11
Newark,1/24/12
Claymont,10/10/11
Harrington,10/10/11
Millsboro,8/7/11
Broadkill,7/22/13
Bethany Beach,8/7/11
Middletown,6/20/11
Middletown,6/3/11
Smyrna,5/2/11
Felton,1/5/11
Wilmington,1/5/11
Bear,11/21/10
Hockessin,11/21/10
Wilmington,11/21/10
Bear,11/21/10
Newark,8/30/10
Felton,8/24/10
Dewey,8/24/10
Rehoboth Beach,8/24/10
Wilmington,7/28/10
South Bethany Beach,7/19/10
Delaware (Highway DE-1 N),6/10/10
Wilmington,4/13/10
Lewes,12/12/09
Newark,12/12/09
Harrington,8/5/09
Dewey Beach,8/5/09
Newark,6/9/09
Dover,5/12/09
Dover,5/12/09
Dagsboro,3/19/09
Dover,3/19/09
Rehoboth Beach,1/10/09
Bear,1/10/09
Lincoln,1/10/09
Hockessin,10/31/08
Felton,10/31/08
Clayton,10/31/08
Milford,8/12/08
Delaware (Rte. 113),8/12/08
Smyrna,6/12/08
Wilmington,7/5/08
Bridgeville,3/31/08
Penns Grove,3/4/08
Bear,3/4/08
Newark,3/4/08
Newark,3/4/08
Lewes,11/28/07
Lewes,3/4/08
Newark,11/28/07
Smyrna,11/21/10
Newark,11/28/07
Claymont,10/8/07
"Middletown / Townsend or Cecilton / Warwick, Maryland",8/7/07
Newark,6/12/07
Dover,2/1/07
Dover,1/21/08
Seaford,12/7/06
Wilmington,10/30/06
Rehoboth Beach,7/16/06
Newark,7/16/06
Fenwick Island,7/16/06
Dover,7/16/06
Wilmington,5/15/06
Wilmington,5/15/06
Wilmington (suburbs),7/16/06
Hockessin,2/14/06
Dover,2/14/06
Lewes,12/16/05
Newark,11/8/05
Newark,11/3/05
Newark,10/11/05
Wilmington,5/24/05
Wilmington,5/11/05
Newark,4/16/05
Clayton,4/16/05
Lewes,1/27/05
"Seaford/Millsboro (from/to)Millsboro, to Rehobot",12/14/04
Wilmington,8/11/04
Rehoboth Beach,7/25/04
Seaford/Old Bridge,5/4/04
Elsmere,4/27/04
Milton,4/27/04
New Castle,3/17/04
Elsmere,1/17/04
Bear,3/4/08
Milford,7/16/03
Elsmere,5/27/03
Middletown,11/8/03
Orlando,3/21/03
Seaford,3/21/03
Rehoboth Beach,12/23/02
Dewey Beach,5/24/05
Smyrna,10/15/02
Dover,9/6/02
Dover,9/13/02
Slaughter Beach,6/12/02
Frankford,6/12/02
Claymont,3/21/03
SMYRNA,8/5/01
Hockessin,9/28/03
Wilmington,8/5/01
Frankford,1/27/05
Dover,12/2/00
Dover,12/2/00
Wilmington,9/21/00
Georgetown,7/11/00
Wilmington,6/6/00
Greenville,5/11/00
Millsboro,10/2/99
Mesa,7/16/03
North Bowers Beach,8/10/99
Wilmington,11/26/03
Interstate (I-295 ??),5/20/16
Middletown,1/19/05
Townsend,10/30/06
Milford,7/7/17
Milford/Milton (between; heading parallel to Rout..),4/26/99
Dagsboro,12/2/00
Newark,4/2/99
Dover,6/23/04
Wilmington,8/16/02
Millsboro,3/21/03
Milton,5/24/05
Rehoboth Beach,8/16/02
Magnolia,2/14/06
Dover,1/21/08
Dover (near),9/2/05
Stanton,9/28/02
Dover (south of Dover AFB),3/16/00
Dover,5/24/99
Greenville,1/10/14
Hockessin,9/2/05
New Castle,7/22/13
New Castle,8/7/11
Seaford,10/11/16
Wilmington,1/5/16
Delmar,9/9/03
Georgetown,9/2/05
Wilmington,2/18/13
Newark,1/10/09
Rehobeth Beach (near),5/15/13
Wilmington,10/30/06
Port Penn,3/16/01
Wilmington,1/5/11
Cannon,11/21/10
Greenville,7/27/17
Newcastle,8/7/07
Dover,12/23/02
Wilmington,1/22/04
Claymont,11/8/03
