date,city
Treasure Island,8/24/17
New Port Richey,8/24/17
Delray Beach,8/24/17
Sanford,8/24/17
Springhill,8/24/17
Winter Haven,8/24/17
West Palm,8/24/17
New Port Richey,8/24/17
Cape Coral,8/17/17
Jensen Beach,8/17/17
St. Petersburg,8/17/17
Kissimee,8/17/17
Daytona Beach,8/17/17
Davenport,8/17/17
St. Petersburg,8/17/17
Niceville,8/11/17
South Daytona,8/4/17
Lake Worth,8/4/17
Orlando,8/4/17
Sarasota,7/27/17
Holiday,7/27/17
Holiday,7/27/17
Deltona,7/23/17
Delray Beach,7/23/17
Fort Lauderdale,7/23/17
Wesley Chapel,7/23/17
Orlando,7/23/17
Vero Beach,7/23/17
Jacksonville,7/23/17
Weston,7/14/17
Davie,7/14/17
St. Augustine Beach,7/14/17
Ocoee,7/14/17
Orlando,7/7/17
Port Charlotte,7/7/17
Jacksonville,7/7/17
Orange Park,7/14/17
Brandon,7/7/17
Orlando,7/7/17
Pembroke Pines,7/7/17
New Tampa,7/7/17
Miami Beach,7/7/17
Jensen Beach,7/7/17
Cooper City,7/14/17
North Port,7/7/17
Titusville,7/7/17
Merritt Island (above),7/7/17
Rockledge,7/7/17
Miami,7/7/17
Jacksonville,7/7/17
Tampa,8/4/17
Orlando,6/22/17
Melbourne,6/22/17
Pembroke Pines,6/22/17
Orlando,6/22/17
Lantana,6/15/17
Jacksonville,6/15/17
Jacksonville,6/2/17
Holiday,7/7/17
Venice,6/2/17
Pace,6/2/17
St. Augustine,5/15/17
St. Petersburg,5/15/17
Palm Beach,5/15/17
Lake Worth,5/15/17
Deltona,5/15/17
Tampa,5/11/17
Cape Coral,5/11/17
Cape Coral,5/11/17
Cape Coral,5/11/17
Cape Coral,5/11/17
Clearwater/Palm Harbor,5/15/17
Naples,5/11/17
Port St. Lucie,5/11/17
Coconut Creek,5/6/17
Miami,4/28/17
Bradenton,4/28/17
Cape Coral,5/6/17
Pinellas Park,4/28/17
Miami,4/28/17
Largo,4/28/17
Seminole,4/28/17
Plant City,4/28/17
West Palm Beach,4/28/17
Port Charlotte,4/28/17
Clearwater,4/28/17
Plantation,4/28/17
Apollo Beach,4/28/17
Jupiter,4/28/17
Bradenton,4/28/17
Orlando,4/28/17
Ft. Myers,4/28/17
Brandon,5/6/17
Daytona Beach,4/28/17
Tampa,7/23/17
Clearwater,4/20/17
Sawgrass area,4/20/17
Clermont,4/20/17
Live Oak,4/13/17
St. Petersburg,4/13/17
St. Petersburg,4/20/17
Davenport,4/13/17
Cooper City,4/7/17
Naples,4/20/17
Dunedin,4/7/17
St. Petersburg,4/7/17
St. Petersburg,4/7/17
St. Petersburg,4/7/17
Gainesville,6/2/17
Dunedin,4/7/17
Indian Shores,4/7/17
Largo,4/7/17
Fleming Island,4/7/17
Bartow,4/7/17
Sarasota,4/13/17
Fort Lauderdale,4/7/17
Davenport,4/7/17
Orange Spring,4/7/17
Englewood,4/7/17
Brandon,3/23/17
Weston,3/23/17
Plant City,3/23/17
St. Augustine,3/23/17
Pompano Beach,3/23/17
Naples,3/23/17
Parrish,3/23/17
West Palm Beach,3/23/17
Jacksonville,3/23/17
Sebastian,3/23/17
Lantana,3/23/17
Lantana,3/23/17
Port Saint Lucie,3/23/17
Century,6/22/17
St. Augustine,3/17/17
Wellington,3/17/17
Tampa,3/17/17
Port Saint Lucie,3/17/17
Melbourne,3/17/17
Ft. Lauderdale,3/10/17
Amelia Island,3/10/17
Fort Myers,3/10/17
Miami,3/10/17
Lutz,3/10/17
Dade City,3/10/17
Orlando,3/10/17
Delray Beach,3/10/17
Port Saint Lucie,3/10/17
Fort Lauderdale,3/10/17
Merritt Island,2/22/17
St. Petersburg,2/22/17
"Panama city beach,east",2/22/17
The Villages,3/10/17
Winter Haven,2/17/17
Winter Springs,2/17/17
Lithia,2/17/17
Sarasota,2/17/17
Saint Petersburg,2/17/17
Saint Petersburg,2/17/17
Ft. Lauderdale,6/2/17
Naples,2/10/17
Tallahassee,2/10/17
Land O'Lakes,2/10/17
St. Petersburg,2/10/17
"Panama City Beach,  gulf",2/10/17
Miramar,2/10/17
Lake Worth,2/10/17
Sarasota,2/10/17
Flagler Beach,2/10/17
Flagler,2/10/17
Flagler Beach,2/17/17
Jacksonville,2/3/17
Oviedo,2/3/17
Ft. Lauderdale,2/3/17
Saint Petersburg,2/3/17
Grover,2/3/17
Boca Raton,2/3/17
Ft. Lauderdale,2/10/17
Tampa (general area),1/26/17
Hernando,2/3/17
Hernando,1/26/17
San Antonio,1/26/17
Saint Augustine,1/26/17
Holly Hill,1/26/17
Plantation,1/26/17
Cocoa,1/26/17
Orlando,1/26/17
Deland,1/26/17
Fort Lauderdale,1/26/17
Summerfield,1/26/17
Crystal River,1/19/17
Deltona,1/19/17
Hudson,1/19/17
Fort Lauderdale,2/3/17
Daytona Beach,1/19/17
Melbourne,1/19/17
West Palm Beach,1/19/17
Ponce Inlet,1/19/17
Tarpon Springs,1/19/17
North Port,1/12/17
Orlando,1/12/17
Holiday,1/12/17
Zephyrhills,1/19/17
Palm Coast,1/12/17
Valrico,1/12/17
Placida,1/19/17
Pbg,1/6/17
Seminole,1/26/17
Casselberry,1/6/17
Jacksonville,1/19/17
North Port,1/6/17
Satellite Beach,1/6/17
Ponte Vedra Beach,1/6/17
Indialantic,1/6/17
New Smyrna Beach,3/10/17
Lutz,1/6/17
Spring Hill,1/6/17
Delray Beach,12/30/16
Miami,4/7/17
Davie (heading to Hollywood/Ft. Lauderdale),12/30/16
Palmetto,12/30/16
Port Orange,12/30/16
Clearwater,12/30/16
Weston,12/21/16
Dade City,12/21/16
Davie,12/21/16
Panama City,12/21/16
Fort Lauderdale,12/15/16
Panama City,12/15/16
St. Johns,12/15/16
Jacksonville,12/15/16
Oldsmar,12/15/16
Saint Augustine,12/15/16
Orlando,12/15/16
Sunrise,12/15/16
St. Petersburg,12/5/16
St. Petersburg,12/5/16
Davenport,12/5/16
Venice,12/5/16
Vero Beach,12/5/16
Brandon,12/5/16
Port Orange,12/5/16
Largo,12/5/16
,12/5/16
Oldsmar,12/5/16
Largo,12/5/16
Floral City,12/5/16
Key Colony Beach,12/5/16
Miramar Beach,12/5/16
Apollo Beach,12/5/16
Boynton Beach,12/5/16
Brandon,12/5/16
Zephyrhills,12/5/16
Largo,12/5/16
Cape Coral,12/5/16
Frostproof,12/5/16
Deltona,12/5/16
Jacksonville,12/5/16
Coconut Creek,12/5/16
Melbourne,12/5/16
Boca Raton,12/5/16
West Palm Beach,12/5/16
Pompano beach,12/5/16
San Antonio,11/11/16
Titusville,11/11/16
Ft. Lauderdale,11/4/16
Fort Myers,11/4/16
Wellington,11/4/16
Cape Canaveral,11/4/16
Fort Lauderdale,11/4/16
Holmes Beach,11/4/16
Spring hill,11/4/16
Deerfield Beach,10/27/16
Miami,10/27/16
Middleburg,10/27/16
Pembroke Pines,10/27/16
Longwood,10/27/16
Jacksonville,10/27/16
Lakeland,10/27/16
Orlando,10/21/16
Valrico,10/21/16
Gainseville,10/21/16
Melbourne,10/21/16
Key Biscayne,10/21/16
Clearwater,10/21/16
Jacksonville,10/21/16
South Tampa,10/21/16
Lithia,10/21/16
Cape Coral,10/11/16
Orlando,10/11/16
Fort Lauderdale,10/11/16
Port Richey,10/11/16
Destin,10/11/16
Santa Rosa Beach,10/11/16
Tampa,10/11/16
Tallahassee,2/10/17
Orlando,10/11/16
St. Augustine,10/11/16
St. Augustine,7/27/17
Naples,10/11/16
Cape Coral,10/11/16
Tampa,9/30/16
Palm Beach Gardens,9/30/16
Palm Beach Garden (near),9/30/16
Orange Park,9/30/16
Hollywood,9/30/16
Melbourne Beach,9/30/16
Sarasota,9/30/16
Bradenton,10/27/16
St. Augustine,9/22/16
Bradenton,9/22/16
Miami,9/22/16
Seagrove,9/22/16
Miami,9/15/16
Bradenton,9/15/16
Bradenton,9/15/16
Tarpon Springs,9/9/16
Port St. Lucie,9/9/16
Miami,9/9/16
Tampa,9/22/16
Pensacola,9/9/16
Panama City Beach,9/9/16
Jacksonville,9/2/16
Miami Beach,8/29/16
Altamonte Springs,8/29/16
Lakeland,8/25/16
Holiday,8/29/16
Seminole,8/25/16
Palm Harbor,8/29/16
St. Petersburg,9/15/16
Southport,8/25/16
Fort Pierce,8/25/16
Pompano Beach,8/29/16
Vero Beach,9/2/16
Boca Raton,8/19/16
Citrus Springs,8/25/16
Vero Beach,8/19/16
Lake Wales,8/25/16
Wesley Chapel,8/19/16
Port Saint Lucie,8/19/16
Orange Park,8/19/16
Jacksonville,8/16/16
