date,city
Woodstock,8/17/17
Hiawassee,8/17/17
Cumming,8/11/17
Hogansville,8/11/17
Columbus (North),8/4/17
West Green,8/4/17
Norcross,8/4/17
Alpharetta,7/23/17
Lawrenceville,7/14/17
Jefferson,7/23/17
Woodstock,7/14/17
Winder,7/7/17
Woodstock,7/7/17
Saint Simons Island,7/7/17
Fort Oglethorpe,7/7/17
Port Wentworth (Pooler),6/22/17
Grovetown,6/15/17
Marietta,6/9/17
Sugar Hill,6/2/17
Covington,6/2/17
Ft. Olgethorpe,5/11/17
Blackshear,5/11/17
Atlanta,5/11/17
Atlanta,5/11/17
Marietta,5/11/17
Savannah,5/6/17
Kennesaw,5/6/17
Eatonton,6/2/17
Marietta,4/28/17
Gray,4/20/17
Jefferson,4/20/17
Sylvester,4/20/17
Lawrenceville,5/6/17
Savanagh,4/28/17
Franklin,4/13/17
Marietta,4/20/17
Acworth,4/20/17
Norcross,4/13/17
Sylvester,4/13/17
Albany,5/6/17
Jonesboro,4/7/17
Monticello,3/23/17
Acworth,3/23/17
Putney,3/23/17
Atlanta,3/17/17
Donaldsonville,3/10/17
Decatur,3/10/17
Decatur,3/10/17
Canton,3/10/17
Hiram,3/10/17
Acworth,3/10/17
Roswell,2/22/17
Social Circle,2/17/17
Hopulikit,2/17/17
Duluth,2/17/17
Valdosta,2/10/17
Stockbridge,2/10/17
Macon,2/10/17
Macon,2/10/17
Dawsonville,2/3/17
Conyers,2/3/17
Atlanta,2/3/17
Cumming,2/3/17
Atlanta,2/3/17
Senoia,1/26/17
Powder Springs,1/19/17
Rome,1/19/17
Oak Park,1/26/17
Reynolds,1/19/17
Hinesville,1/12/17
Ball Ground,1/12/17
Suwanee,1/6/17
Sylvania,12/30/16
Marietta,12/30/16
Cumming,12/15/16
Marietta,12/15/16
Atlanta,12/21/16
Snellville,12/15/16
Riverdale,12/15/16
Arcade,12/15/16
Snellville,12/5/16
Kingsland,12/5/16
Athens,12/5/16
McDonough,12/5/16
Tyrone,12/5/16
Warner Robins,12/5/16
Gainesville,12/5/16
Riverdale,12/5/16
Newnan,12/5/16
Bethlehem,11/11/16
Hoschton,11/11/16
Woodstock,11/4/16
Thomasville,11/4/16
Athens,11/4/16
Alpharetta,11/4/16
Canton,11/4/16
Atlanta,10/27/16
Winder,10/27/16
Johns Creek,11/4/16
Johns Creek,10/27/16
Grovetown,10/21/16
Augusta,10/21/16
Loganville,10/21/16
Douglasville,10/21/16
Douglasville,10/21/16
Dallas,10/13/16
Marietta,10/11/16
Crandall,10/11/16
Douglasville,10/11/16
Columbus,10/11/16
Adairsville,10/11/16
Blue Ridge,10/11/16
Marietta,10/11/16
Marietta,10/11/16
Warner Robins,9/30/16
Savannah,9/30/16
Lilburn,9/30/16
Austell,9/30/16
Athens,9/22/16
Buford,9/22/16
Thomson,9/22/16
Jasper (looking west),9/22/16
Augusta,9/22/16
Hawkinsville,3/10/17
Boston,9/15/16
Savannah,9/15/16
Canton,9/9/16
Buford,9/15/16
Winder,9/9/16
Winder,9/9/16
Varnell,9/9/16
Bremen,9/9/16
Duluth,9/9/16
Carrollton,9/2/16
Kennesaw,8/29/16
Blackshear,8/29/16
Athens,8/25/16
St. Marys,8/19/16
Saint Simons Island,8/19/16
Buford,8/19/16
Gainesville,8/16/16
Lawrenceville,8/16/16
Lawrenceville,8/16/16
Atlanta,8/16/16
Cumming,8/2/16
Ashburn,8/2/16
Glennville,7/22/16
Milner,7/22/16
Roswell,7/8/16
Buford,7/8/16
Covington,7/8/16
Columbus,7/8/16
Carrollton,7/8/16
Cataula,6/24/16
Duluth,6/24/16
Atlanta,6/24/16
Atlanta,6/24/16
Cumming,6/24/16
Cornelia,6/24/16
Byron,6/1/16
Cumming,6/1/16
Cumming,6/1/16
Byron,6/1/16
LaGrange,5/20/16
Thomasville,5/20/16
Douglasville,5/20/16
Lawrenceville,5/10/16
Stockbridge,5/6/16
Stone Mountain,5/10/16
Smyrna,4/29/16
Macon,4/29/16
Marietta,4/29/16
Waleska,4/29/16
Johns Creek/Atlanta,4/29/16
Evans,4/22/16
Luella,4/15/16
Jasper,4/15/16
Lawrenceville,4/15/16
