date,city
Kapaa,8/11/17
Kapaa,8/4/17
Kealakekua,6/2/17
Honolulu,4/20/17
Hana,4/13/17
Waimea Canyon,2/22/17
Mokuliea,2/17/17
Kailua,2/10/17
Waianae,12/30/16
Honolulu,12/21/16
Kahana,12/21/16
Waipio,12/21/16
Lahaina,12/15/16
Napili,12/15/16
Maui (in-flight; off coast of),12/5/16
Honolulu,12/15/16
Honolulu,10/27/16
Honolulu,10/11/16
Lahaina,9/22/16
Kapaa,9/30/16
Kaunakakai,8/16/16
Kaimuki,8/16/16
Pearl City,8/16/16
Haleiwa,8/2/16
Kihei,7/15/16
Honolulu,7/15/16
Kawaihae,7/8/16
Kihei,7/8/16
Kapaa,5/6/16
Kailua,3/18/16
Kalaheo,3/11/16
Wheeler AAF,2/19/16
Naalehu,5/6/16
Keaau,1/29/16
Honolulu,1/29/16
Honolulu,1/8/16
North Shore,1/5/16
Kaunakakai,11/19/15
Manoa Hills,11/12/15
Honolulu,11/19/15
Honolulu,10/29/15
Aiea,10/29/15
Honolulu,10/29/15
Lanai,10/29/15
Keaau,12/3/15
Koloa,10/16/15
Kailua,10/16/15
Honolulu,10/2/15
Schofield Barracks,9/11/15
Hilo,9/2/15
Ocean View,9/2/15
Hilo,8/27/15
Honolulu,9/2/15
Oahu,7/17/15
Molokai (above),6/15/15
Keaau,3/26/15
Hilo,3/20/15
Wahiawa,3/13/15
Waimea,2/6/15
Ocean View,1/26/15
Kihei,1/26/15
Wailua,1/26/15
Kaunakakai,1/7/15
Kailua Kona,1/7/15
Wailuku,1/7/15
Waimanalo,1/7/15
Kailua (Kona),12/18/14
Honolulu,11/21/14
Honolulu,11/14/14
Honolulu,11/14/14
Honolulu,11/6/14
Hakalau,11/6/14
Kapahi,11/6/14
Haleakala / Kahului,11/6/14
Honolulu,10/10/14
Pukalani,10/3/14
Kapaa,10/3/14
Wailuku,10/3/14
Haleakala National Park,9/25/14
Haleakala National Park,10/10/14
Hawaii Kai (Honolulu),10/3/14
Kailua,9/18/14
Hana,9/18/14
Kapaa,6/15/15
Kihei,9/5/14
Kapolei,9/18/14
Opihikao,8/29/14
Kahuku,8/29/14
Waialua,8/29/14
Wahiawa,8/22/14
Kehei,8/22/14
Wailua,8/15/14
Waianae,8/8/14
Aiea,8/8/14
Kaneoeh,8/1/14
Makaha,9/5/14
Lahaina,6/27/14
Honolulu,6/13/14
Kihei,6/4/14
Honolulu,6/4/14
Wailuku,6/4/14
Wailea,6/4/14
Maui,6/4/14
Waianae,6/4/14
Lahaiiina,6/4/14
Mililani,6/4/14
Lahaina,6/4/14
Honokaa,6/4/14
Honolulu,6/4/14
Ewa Beach,6/4/14
Honolulu,6/4/14
Honolulu,5/8/14
Waikiki Beach,5/8/14
Honolulu,5/2/14
Waipahu,1/30/15
Hakalau,4/4/14
Kaimuki,3/18/14
Honolulu,3/18/14
Kailua Kona,2/27/14
Wahiawa,3/6/15
Lihue,2/21/14
Lahaina,2/14/14
Haiku,2/14/14
Wahiawa,2/7/14
Kaanapali,2/7/14
Honolulu,1/30/14
Kailua Kona,1/26/15
Honolulu,1/24/14
Kihei,1/16/14
Paia,1/24/14
Kealia,1/24/14
Waimanalo,1/16/14
Kaneohe,1/16/14
Kihei,1/10/14
Waelo,1/10/14
Pukalani,1/10/14
Kailua Kona,1/10/14
Kipahulu,1/10/14
Kihei,12/23/13
Kihei,1/10/14
Hilo,12/23/13
Wailuku,1/10/14
Aiea,12/12/13
Honolulu,12/5/13
Waikoloa,11/11/13
Poipu,11/11/13
Lahaina,11/11/13
Napili,11/11/13
Puna,11/11/13
Honolulu,11/11/13
Kaneohe,11/11/13
Kahalu'u,10/14/13
Kaanapali,10/14/13
Kailua Kona,9/9/13
Kapoho,8/30/13
Waikoloa,8/30/13
Lahaina,8/30/13
Hove,8/30/13
Wahiawa,9/30/13
Wahiawa,9/30/13
Waikiki,8/30/13
Waianae (Oahu),7/31/15
Mt. View,7/14/13
Eden Roc/Big Island,7/5/13
Princeville,7/5/13
Mililani,7/3/13
Lahaina,7/3/13
Waikoloa,7/3/13
Lahaina,7/3/13
Kaneohe,7/3/13
Hawaii Volcano National Park,11/20/13
Hanalei Beach,6/2/13
Kihei,6/2/13
Honolulu,6/2/13
Honolulu,6/2/13
Lihue,5/15/13
Kekaha,5/15/13
Kekaha,5/15/13
Maui,5/15/13
Honolulu,5/15/13
Hana,2/18/13
Hana,2/18/13
Kaanapali,2/4/13
Honolulu,2/4/13
Lahaina (Maui),2/4/13
Wailuku,2/4/13
Waianae,2/4/13
Honokaa,2/4/13
Wahiawa,2/4/13
Honokowaii,12/20/12
Haleiwa,12/20/12
Wailuku,7/3/13
Honolulu,12/20/12
Honolulu,12/20/12
Aiea,12/20/12
Laie,11/19/12
Maui (Peahi/Jaws),10/30/12
Honokowai,10/30/12
Honolulu,9/24/12
Poipu,9/24/12
Schofield Barracks,8/19/12
Schofield Barracks,8/19/12
Ewa Beach,8/5/12
Kihei,8/5/12
Hilo,8/5/12
Haleiwa,8/5/12
Lahaina,8/5/12
Makawao,6/14/12
Hanalei Bay,5/29/12
"wailea, mckenna, Maui, HI",7/4/12
Hailemaile,4/18/12
Honolulu,5/13/12
Haena,4/18/12
Kahana,4/18/12
Kurtistown,3/13/12
Hilo,1/24/12
Hanalei Bay,1/24/12
Kapaa,2/4/13
Kihei,1/12/12
Kihei,1/12/12
Lahaina,1/12/12
Honolulu,1/12/12
Honolulu,1/12/12
Honolulu,10/25/11
Honolulu,10/25/11
Honolulu,10/19/11
Kalaeloa,12/12/11
Anahola,1/12/12
Wailuku,8/21/11
Ewa Beach,10/10/11
Ewa Beach,8/21/11
Honolulu,8/21/11
Honolulu,8/21/11
Ewa Beach,8/7/11
Waipahu,7/6/11
Hilo,7/4/11
North Shore Oahu,8/30/13
Kihei,6/27/11
Kailua-Kona,6/20/11
Kaanapali,7/8/16
Poipu Koloa,1/5/11
Honolulu,1/5/11
Kahului,1/5/11
Kahului,1/5/11
Honolulu,1/5/11
Haleiwa,1/5/11
Kahului,4/18/12
Kahului,11/21/10
Kiluea,11/21/10
Kapolei (Oahu),10/10/11
Pa'akai Point- Mamalahoha Hwy,8/24/10
Kunia,11/21/10
Hickam AFB,8/24/10
Lahaina,7/28/10
Honolulu,6/3/10
Wahiawa,5/12/10
Ewa Beach,5/12/10
Honolulu,5/12/10
Honolulu,5/12/10
Ewa Beach,4/13/10
Honolulu,4/18/12
Kihei,4/13/10
Kihei,4/13/10
Keaau,4/13/10
Ewa Beach,4/13/10
Kailua-Kona,4/13/10
Kapolei,2/14/10
Keaau,2/14/10
Kapolei,2/14/10
Kapolei,2/14/10
Honolulu,2/14/10
Honolulu,12/12/09
Honolulu,12/12/09
Kaneohe,12/12/09
Honolulu,12/12/09
Kaunakakai,12/12/09
Ewa Beach,12/12/09
Ka'anapali,12/12/09
Wailua,12/12/09
Kilauea,8/27/09
Haleiwa,4/13/10
Haleiwa,8/27/09
