date,city
Caldwell,8/24/17
Twin Falls,8/4/17
Lewiston,8/4/17
Harrison,8/4/17
Twin Falls,7/23/17
Boise,7/23/17
Post Falls,7/23/17
Marsing,7/7/17
Payette,7/23/17
Nampa,7/7/17
Nampa,7/7/17
Nampa,7/7/17
Twin Falls,7/7/17
Spirit Lake,6/9/17
Victor,6/2/17
Melba,7/27/17
Meridian,7/23/17
Garden City,5/6/17
Rigby,4/28/17
Boise,4/20/17
Lava Hot Springs,3/17/17
Nampa,6/2/17
Nampa,3/10/17
Lava Hot Springs,2/17/17
Nampa,2/10/17
Melba,2/10/17
Hope,2/3/17
Boise,1/6/17
Boise,1/6/17
Coeur d'Alene,1/6/17
Boise,1/19/17
Eden,3/10/17
Boise,12/5/16
Caldwell,12/5/16
Nampa,12/5/16
Middleton,12/5/16
Twin Falls,12/5/16
Garden City,11/11/16
Boise,12/5/16
Hailey,11/4/16
Kuna,10/27/16
Idaho Falls,10/21/16
Twin Falls,2/3/17
Weiser,10/11/16
Rexburg,9/30/16
Elmore County (House Mountain Road),12/5/16
Mountain Home,9/22/16
Emmett,9/15/16
Boise,9/9/16
Boise,8/25/16
Meridian,8/25/16
Boise,8/19/16
Boise,8/16/16
Nampa,8/16/16
Boise,8/16/16
Nampa,8/16/16
Meridian,8/16/16
Boise,8/16/16
Buhl,8/2/16
DeSmet,8/2/16
Mountain Home,8/2/16
Nampa,8/2/16
Eden,8/2/16
Firth,7/22/16
Boise,7/22/16
Hailey,7/22/16
Boise,7/22/16
Boise,7/15/16
Blackfoot,7/15/16
Middleton,7/15/16
Middleton,7/8/16
Post Falls,7/8/16
Atlanta,7/8/16
Boise,8/2/16
Sandpoint,7/8/16
Kuna,6/24/16
Brueno,7/8/16
Star,6/24/16
Idaho City (10.6 miles NW),6/24/16
Kuna,6/24/16
Boise,7/22/16
Boise,6/10/16
Boise,6/10/16
Coeur d'Alene,5/26/16
Coeur d'Alene,5/10/16
Coeur d'Alene,5/10/16
Nampa,4/22/16
Priest River,4/15/16
Post Falls,4/15/16
Post Falls,4/15/16
Nampa,4/15/16
Lewiston,3/11/16
Meridian,2/26/16
Emmett,2/26/16
Boise,2/19/16
Lewiston,2/11/16
Boise,2/11/16
Boise,2/4/16
Boise,3/4/16
Sandpoint,2/4/16
Meridian,1/14/16
Meridian,1/5/16
Post Falls,1/5/16
Boise,1/5/16
Meridian,12/10/15
Boise,12/3/15
Nampa,11/26/15
Idaho falls,11/26/15
Gonzales,11/19/15
Boise,11/19/15
Meridian,11/19/15
Kuna,11/12/15
Kuna,11/19/15
Caldwell,11/6/15
Caldwell,11/6/15
Kuna,11/6/15
Boise,11/19/15
Twin Falls,11/6/15
Kuna,11/6/15
Meridian,10/16/15
Eagle,10/29/15
Boise,10/16/15
Kuna,10/16/15
Nampa,10/9/15
,10/9/15
Boise,10/9/15
Boise,9/29/15
Mountain Home,9/29/15
Boise,9/29/15
Boise,9/25/15
Mountain Home,9/25/15
Nampa,9/25/15
Nampa,9/25/15
Boise,9/25/15
Rogerson,9/11/15
Meridian,9/11/15
Boise,9/2/15
Rigby,8/27/15
Priest Lake,8/27/15
Plummer,8/13/15
Boise,7/23/15
Nampa,7/10/15
Nampa,7/6/15
Boise,7/3/15
Council,8/2/16
Boise,7/3/15
Boise,6/24/15
Nampa,6/15/15
Boise,6/15/15
Twin Falls,6/15/15
Pocatello,6/5/15
Payette/Weiser,5/29/15
Coeur D'Alene,5/29/15
Priest Lake,5/22/15
Moscow,5/22/15
Saint Maries,5/13/15
Boise,5/8/15
Meridian,5/8/15
Meridian,5/8/15
Mountain Home,5/8/15
Mountain Home,5/8/15
Mountain Home,5/8/15
Mountain Home,5/8/15
Mountain Home,4/30/15
Mountain Home,4/23/15
Moscow,4/23/15
Meridian,4/17/15
Homedale,4/17/15
Coeur d'Alene,4/23/15
Coeur d'Alene/Post Falls,4/8/15
Montpelier,4/17/15
Meridian,3/26/15
Salmon,3/13/15
Meridian,3/13/15
Mountain Home,3/13/15
Middleton,3/6/15
Eagle,3/6/15
Nampa,3/6/15
Boise,3/6/15
Donnelly,3/6/15
Kootenai (10 miles north},3/6/15
Boise,3/6/15
Boise,3/6/15
Boise,7/27/17
Burley,1/20/16
Eagle,2/20/15
Twin Falls,3/6/15
Fairview,2/12/15
Boise,1/30/15
Caldwell,1/26/15
Caldwell,1/26/15
Boise,1/26/15
Weippe,1/26/15
Boise,1/26/15
Driggs,1/9/15
Nampa,1/7/15
Twin Falls,1/9/15
Twin Falls,1/16/15
Boise,1/7/15
Hayden,1/16/15
Caldwell,12/18/14
Moscow,12/18/14
Twin Falls,12/12/14
Sandpoint,11/21/14
Ammon,11/6/14
Boise,11/6/14
Nampa,11/6/14
Worley,11/6/14
Boise,11/6/14
Boise,11/6/14
Caldwell,10/10/14
Coeur d'Alene,10/3/14
Kuna,9/25/14
Boise,9/25/14
Boise,9/25/14
Boise,9/18/14
Payette,9/18/14
Post Falls,9/18/14
Nampa,9/10/14
Malta,9/5/14
Buhl,9/5/14
Twin Falls,9/5/14
Gooding,9/5/14
