date,city
New Lenox,8/24/17
Montrose,8/17/17
Oakwood Hills,8/17/17
Rockford,8/4/17
Orland Hills,8/4/17
Chicago,8/4/17
Geneva,7/27/17
Hanover Park,7/23/17
Chicago,7/7/17
Olney,7/7/17
Oak Lawn,6/22/17
Round Lake,6/15/17
Peoria,6/9/17
Manteno,6/15/17
Crystal Lake,6/9/17
Nashville,6/9/17
Kewanee,6/2/17
Wonder Lake,6/2/17
Oak Lawn,6/2/17
Dolton,6/2/17
Orland Park,6/2/17
Wilmington,6/2/17
Des Plaines,6/2/17
Edwardsville,6/2/17
Oak Lawn,5/15/17
Des Plaines,5/15/17
Chicago,5/15/17
Belleville,5/6/17
Franklin Park,5/6/17
Bridgeview,4/20/17
Bolingbrook,4/20/17
Rochelle,4/13/17
Phoenix,4/20/17
Tinley Park,4/13/17
Chicago,4/13/17
Arlington Heights,4/7/17
LaFayette,3/10/17
Wheeling,8/4/17
Carpentersville,3/10/17
Chicago,3/10/17
Chicago,3/10/17
Skokie,2/22/17
Glendale Heights,2/22/17
Glendale Heights,2/22/17
Morton,2/22/17
Orland Park,2/17/17
Kirkland,2/10/17
Oak Lawn,2/10/17
Chicago,2/10/17
Chicago,2/3/17
Chicago,1/19/17
Frankfort,1/12/17
Schaumburg,1/6/17
Multiple,12/30/16
Chicago,12/30/16
Woodridge,12/30/16
East Peoria,1/6/17
Chicago,12/15/16
Jerseyville,12/15/16
Union,12/15/16
Carlinville,12/5/16
Plainfield,12/5/16
Centerville,12/5/16
Beecher,12/5/16
Springfield,12/5/16
Green Garden Township,12/5/16
Naperville,12/5/16
Ottawa,12/5/16
Elwood,12/5/16
Highland Park,12/5/16
Herod,11/11/16
Chicago,11/11/16
Villa Park,11/11/16
Oak Lawn,11/11/16
Rochelle,12/5/16
Springfield,11/4/16
Frankfort,10/27/16
Chicago,10/27/16
Oregon,12/5/16
Chicago,10/21/16
Madison,10/21/16
Taylorville,10/21/16
Aurora,10/11/16
Illiopolis,10/11/16
Chicago,10/21/16
Champaign,10/11/16
Sullivan,10/11/16
Oak Lawn,9/22/16
Brookfield,11/11/16
Oswego,9/22/16
Danforth,9/22/16
St. Charles,9/15/16
Stonefort,9/9/16
Oak Forest,9/9/16
Peoria,9/9/16
Orland Park,1/12/17
Elgin,9/9/16
Northbrook,9/22/16
Chicago (Wood Dale),9/9/16
Naperville,10/11/16
Stickney,9/9/16
West Chicago,9/2/16
Macomb,8/29/16
Cicero,8/29/16
Rantoul,8/29/16
Rantoul,8/25/16
Chicago,9/2/16
Hazel Crest,8/25/16
Bourbonnais,8/16/16
Oak Lawn,8/16/16
New Lenox,8/16/16
Winthrop Harbor,8/4/16
Champaign,8/4/16
Bloomington,5/11/17
Wheaton,8/2/16
Rock Falls,8/2/16
Oswego,8/2/16
Maryville,8/2/16
Macomb,1/19/17
Murphysboro,8/16/16
Shorewood,8/4/16
Lake Zurich,7/15/16
Wonder Lake,7/15/16
Ottawa,7/15/16
Plainfield,7/15/16
Hometown,7/8/16
Oswego,7/8/16
Joliet,7/8/16
South Elgin,7/8/16
Matteson,7/8/16
Downers Grove,7/8/16
Lively Grove,7/8/16
Schaumburg,7/8/16
Orland Park,7/8/16
Carol Stream,7/8/16
South Barrington,6/24/16
Chicago,6/24/16
Naperville,6/10/16
Godfrey,6/10/16
Middletown,6/10/16
Middletown,6/10/16
Algonquin,6/3/16
New Lenox,6/3/16
Blue Island,6/1/16
Canton,6/10/16
Braidwood,6/1/16
Plainfield,6/1/16
Oak Lawn,6/1/16
Glenview,6/1/16
Orland Park,5/26/16
Skokie,5/20/16
Carlinville,5/20/16
Schaumburg,5/20/16
Marion,5/10/16
Buffalo Grove,5/10/16
Round Lake,5/10/16
Shelbyville,5/6/16
Yorkville,5/6/16
Plainfield,4/29/16
Lake Villa,4/29/16
Yorkville,4/29/16
Ashton,4/22/16
Peoria,4/22/16
Rock Island,4/22/16
Elmhurst,4/22/16
Plainfield,4/29/16
Rochelle,5/6/16
Chicago,4/22/16
Cairo,4/22/16
Oak Lawn,4/15/16
Mount Carmel,4/15/16
Berwyn,4/15/16
Elgin,4/15/16
West Frankfort,4/15/16
St. Charles,4/15/16
Palatine,4/15/16
Rochester,4/1/16
Glenview,4/1/16
Bloomington,3/24/16
Des Plaines,3/24/16
Sterling,3/18/16
McHenrry,3/18/16
Glenview,3/11/16
Joliet,3/4/16
Rosiclare,3/4/16
Hoffman,2/26/16
Kingston,2/26/16
Hickory Hills,2/26/16
Zion,2/19/16
Pekin,2/11/16
Chicago,2/10/17
South Barrington,2/11/16
Springfield,2/11/16
Lombard,2/4/16
Sterling,1/29/16
Skokie,1/23/16
Warren,1/23/16
Antioch,1/20/16
Antioch,1/20/16
Elk Grove Village,1/14/16
Hampshire,1/14/16
Trout Valley,1/12/17
Oswego,1/8/16
North Riverside,1/14/16
Berwyn,1/5/16
Belleville,12/21/15
Spring Grove,12/10/15
Northbrook,12/10/15
Breese,12/10/15
Brookfield,2/11/16
Blue Island,12/3/15
Pingree Grove,12/3/15
Eureka,12/3/15
Chicago,1/5/16
Moline,11/26/15
Athens,11/26/15
rockford,1/5/16
Lake In The Hills,11/19/15
Palos Park,11/19/15
Belleville,11/26/15
Schaumburg,11/19/15
Chicago,11/26/15
DeKalb,11/12/15
Algonquin,11/19/15
Oak Lawn,11/19/15
Peru,11/6/15
Plainfield,11/6/15
Dixon,11/6/15
Morton Grove,11/6/15
Oswego,11/6/15
Illinois (location not specified),10/29/15
Villa Grove,10/29/15
Plainfield,10/29/15
Brownstown,10/29/15
Oak Lawn,10/29/15
Olney (Musgrove Park),10/29/15
Mundelein,10/29/15
Chicago,10/29/15
Pontoon Beach,10/16/15
Pingree Grove,10/16/15
Jonesboro,10/9/15
Joliet,10/9/15
Ottawa,10/2/15
Oak Lawn,10/2/15
Lombard,10/2/15
Wheaton,9/29/15
Sterling,10/2/15
Naperville,9/29/15
Christopher,9/29/15
Wheaton,9/29/15
Glen Ellyn,9/29/15
Loves Park,9/25/15
Salem,9/25/15
Worth,9/25/15
Olney,9/25/15
Chicago,9/25/15
Chicago,9/25/15
Schiller Park,9/25/15
Park Forest,9/25/15
River Grove,9/17/15
Chicago,9/29/15
Jonesboro,9/17/15
Bloomington,9/17/15
Cicero,9/17/15
Glenarm,9/11/15
Orland Park,9/17/15
Marquette Heights,9/11/15
Grayslake,9/11/15
Swansea,9/11/15
Cary,9/11/15
Naperville,9/17/15
Romeoville,9/11/15
Chicago,8/27/15
Crestwood,8/27/15
Glenarm,8/27/15
Jonesboro,8/27/15
Rather not say.,8/27/15
Liberty,8/27/15
Rolling Meadows,8/27/15
Mokena,8/13/15
Ottawa,8/13/15
Chicago,8/13/15
Niles,8/13/15
Morton grove,8/6/15
Mount Morris,8/6/15
Jonesboro,8/6/15
Ottawa,8/6/15
Marseilles,8/6/15
Buffalo Grove,8/6/15
Frankfort,8/6/15
Johnsburg,8/6/15
Woodstock,8/6/15
Bloomington (outside; north of),7/31/15
River Grove,7/31/15
Neoga/Mattoon (between; on I-57),7/31/15
Burbank,7/31/15
Tremont,7/31/15
Chicago,7/23/15
Chicago,7/23/15
Oak Lawn,7/17/15
Machesney Park,7/17/15
Highwood,7/17/15
Springfield,7/17/15
Park Ridge,7/10/15
Chicago,7/6/15
Springfield,7/10/15
Godfrey,7/6/15
Oak Lawn,7/6/15
Chicago,7/6/15
Justice,7/6/15
Ottawa,7/6/15
Machesney Park,7/23/15
Crystal Lake,7/6/15
Chicago,7/6/15
North Aurora,7/6/15
Niles,7/6/15
Algonquin,7/6/15
Oswego,7/6/15
Fulton,7/3/15
Palatine,7/3/15
Pecatonica,7/3/15
Lisle,6/24/15
Crystal Lake,6/24/15
Lombard,6/19/15
Joliet,6/15/15
Chicago,6/15/15
Chicago,6/15/15
Chicago,6/15/15
Chicago,6/15/15
Chicago,6/5/15
Aurora,5/29/15
Crystal Lake,5/29/15
Palatine,5/29/15
Savoy,5/29/15
Iola,5/13/15
Swansea,5/13/15
Chicago,5/8/15
Mount Vernon,5/8/15
Matteson,5/8/15
Sublette,5/8/15
Sycamore,5/8/15
Orland Park,4/30/15
Barrington,4/30/15
St. Charles,4/17/15
Galena,4/17/15
Chicago,4/23/15
Oswego,4/17/15
Crystal lake,5/8/15
Jonesboro,4/17/15
Oswego,4/17/15
Bartlet,4/17/15
Rockford,4/3/15
Vernon Hills,4/3/15
Chicago,3/26/15
Carbondale,3/20/15
Wheaton,3/20/15
Grayslake,2/19/16
West Frankfort,3/20/15
Bloomington,3/20/15
Chicago,3/20/15
Chicago,3/13/15
Streamwood,3/13/15
Oak Lawn,3/13/15
Alton,3/13/15
Aurora,3/6/15
Buffalo Grove,3/6/15
Sycamore,3/6/15
Libertyville,3/6/15
Villa Park,2/26/16
Edwardsville,4/3/15
Bartlett,2/12/15
Fox River Grove,2/12/15
Dupo,2/6/15
Oak Lawn,2/6/15
Dekalb,2/6/15
Goreville,1/30/15
Warrensburg,1/26/15
Oak Lawn,2/20/15
Oak Lawn,1/16/15
Chicago,1/16/15
Roselle,1/16/15
Romeoville,1/16/15
Chicago,1/16/15
Woodson,1/16/15
Chicago,1/7/15
Odin,1/7/15
Effingham,1/7/15
Galatia,1/7/15
Chicago,1/7/15
Chicago,12/12/14
Mount Prospect,3/6/15
Tinley Park,12/5/14
Naperville,12/5/14
Gurnee,12/5/14
Peoria,11/26/14
Carbondale,11/21/14
Hickory Hills,12/5/14
Creve Coeur,11/26/14
Newton (near),11/21/14
Gilson,11/21/14
Collinsville,11/14/14
Griggsville,11/14/14
Macomb,11/14/14
Avon,11/14/14
Hometown,11/6/14
Chicago Heights,11/6/14
Bloomingdale,11/6/14
McLean,11/6/14
Alton,11/6/14
Virden,11/6/14
Wheaton,11/6/14
Springfield,11/6/14
Peoria,11/6/14
Highland Park,11/6/14
Mount Vernon,1/23/16
Northlake,11/6/14
Danville,11/6/14
Sherman,11/6/14
Plainfield,11/6/14
LaGrange,11/6/14
Northlake,11/6/14
Chicago,11/6/14
Tinley Park,11/6/14
Crete,11/6/14
Frankfort,11/6/14
Dunlap,11/6/14
Chicago,10/10/14
Chicago,10/10/14
Oak Lawn,10/10/14
Sigel,10/10/14
McHenry,10/10/14
Plano,10/3/14
Port Barrington,11/6/14
Joliet,10/3/14
Decatur,10/3/14
Collinsville,9/25/14
Saint Charles,9/25/14
Henry,10/3/14
Antioch,9/25/14
Batavia,9/18/14
Carlyle,9/10/14
Plainfield,10/3/14
Orland Park,9/5/14
Decatur,10/3/14
Glen Ellyn,9/5/14
Johnsburg,9/5/14
Highland Park,9/5/14
Belvidere,8/31/14
Arlington Heights,9/5/14
Shelbyville,8/29/14
Kaneville,8/29/14
Crete,8/29/14
Aurora,8/29/14
Chicago,8/29/14
Carlinville,8/29/14
Sesser,8/22/14
South Chicago Height,8/15/14
Pekin,8/15/14
Chicago,8/22/14
Lockport,8/15/14
Skokie,8/8/14
Woodridge,8/8/14
Waukegan,8/8/14
Glen Ellyn,8/1/14
Niles,8/1/14
Villa Park,7/26/14
Algonquin,7/26/14
Chicago,7/26/14
Chicago,7/26/14
Brookport,7/26/14
Des Plaines,7/20/14
Carol Stream,7/11/14
Carol Stream,7/11/14
Elk Grove Village,7/20/14
Johnsburg,7/26/14
Greenville,7/11/14
Chicago,7/11/14
Tinley Park,7/5/14
Orland Park/Bridgeview (between),7/5/14
Waukegan,7/5/14
Brookfield,7/11/14
Homer Glen,7/5/14
Chicago,7/5/14
Bartlett,7/5/14
Brookport,7/26/14
Hinsdale,7/5/14
Cicero,7/11/14
Niles,7/11/14
Pecatonica,7/4/14
Manteno,7/4/14
Oregon,7/4/14
Palatine,6/27/14
Bloomington,4/15/16
Mundelein,7/4/14
Chicago,7/11/14
Minooka,6/24/14
Springfield,6/27/14
New Baden,6/27/14
Jonesboro,6/20/14
Chicago,6/20/14
Steger,6/20/14
Chicago,6/20/14
Johnsburg,7/26/14
Hanover Park,6/24/14
Huntley,6/13/14
Johnsburg,6/13/14
Chicago,6/4/14
Elburn,6/4/14
Elgin,6/4/14
Woodridge,6/4/14
Algonquin,6/4/14
Yorkville,6/4/14
Joliet,6/4/14
Atlanta,6/4/14
Nason,6/4/14
Glen Ellyn,6/4/14
Chicago,6/4/14
West Chicago,6/4/14
Chicago,6/4/14
Tinley Park,6/4/14
Lake Villa,8/29/14
Oak Forest,5/8/14
Glendale Heights,5/8/14
Lombard,5/8/14
McLean,5/8/14
Mount Pulaski,4/24/14
LaGrange,4/24/14
Mokena,4/18/14
Riverdale,4/11/14
Lacon,4/11/14
Chicago,4/11/14
Romeoville,4/11/14
Antioch,4/11/14
De Land,5/8/14
Jerseyville,4/18/14
Bolingbrook,4/11/14
