date,city
South Bend,8/24/17
Evansville,8/24/17
Rosston,8/17/17
Ellettsville,8/11/17
Kokomo,7/27/17
Arlington,7/23/17
,7/14/17
Fort Wayne,7/7/17
Knox,7/7/17
Greenwood,7/7/17
Brownsburg,7/7/17
Crown Point,7/7/17
Knox,7/7/17
Muncie,6/22/17
Crown Point,6/22/17
Shelbyville,6/15/17
New Salisbury,8/11/17
Amboy,6/9/17
Carbondale,6/9/17
Vincennes,6/2/17
Walton,5/11/17
Demotte,5/6/17
Goshen,4/28/17
Lynn,4/28/17
South Bend,4/20/17
Seymour,4/20/17
Monticello,4/20/17
Fishers,4/13/17
Alexandria,3/17/17
Princeton,3/10/17
Mt. Summit,2/22/17
Osceola,2/22/17
Indianapolis,5/11/17
Liberty,1/26/17
Indianapolis,1/6/17
Indianapolis,12/30/16
Evansville,12/30/16
Boone Grove,12/5/16
Fishers,12/5/16
Bedford,12/5/16
Fishers,12/5/16
Selma,12/5/16
Indianapolis,11/11/16
Indianapolis,12/5/16
Portage,11/11/16
Rolling Prairie,12/5/16
McCordsville,11/11/16
Greenfield,10/21/16
Albion,10/21/16
Crown Point,10/11/16
North Vernon,10/11/16
Whiting,10/11/16
Indianapolis,9/30/16
Shelbyville,10/11/16
Madurai (India),9/30/16
Fort Wayne,9/22/16
Danville,9/22/16
Aurora,9/22/16
Westport,9/9/16
Gary,9/15/16
Terre Haute,9/2/16
Greensburg,12/15/16
Michigan City,12/15/16
Kokomo,12/5/16
Indianapolis,8/16/16
Valparaiso,8/4/16
Shelbyville,8/2/16
Fort Wayne,8/2/16
Angola,8/16/16
Terre Haute,8/2/16
Demotte,8/16/16
Whiting,8/2/16
Peru,7/22/16
Anderson,7/22/16
Lapel,7/22/16
Lafayette,7/15/16
Between Wabash and Marion onq5,7/15/16
Jasper I,7/15/16
Chesterton,8/2/16
Parker City,7/8/16
Indianapolis,4/28/17
Fort Wayne,7/8/16
Fort Wayne,7/8/16
Indianapolis,7/15/16
Schererville,7/8/16
Chicago (Lake Shafer),7/23/17
Indianapolis,7/8/16
Indianapolis,7/8/16
Indianapolis,6/24/16
South Bend,6/24/16
South Bend,6/16/16
Indianapolis,6/16/16
Newburgh,6/16/16
Nappannee,8/19/16
Lowell,6/1/16
Mishawaka,5/26/16
Evansville,5/26/16
Hobart,8/16/16
Noblesville,5/20/16
Indianapolis,5/20/16
Bloomington,6/15/17
Evansville,5/20/16
Terre Haute,5/6/16
South Bend,4/29/16
Indianapolis,4/15/16
Earl Park,4/15/16
Nineveh,4/15/16
Corydon,4/1/16
Highland,3/24/16
Goshen,3/18/16
Kokomo,3/18/16
Osceola,3/4/16
Evansville,2/26/16
Portage,2/19/16
Newburg,2/19/16
Camby/Indianapolis,1/20/16
Marion,1/20/16
Aurora,1/5/16
Evansville,1/5/16
Shelbyville,1/5/16
Michigan City,1/5/16
Indianapolis/Fishers,11/26/15
Indianapolis,11/19/15
Hobart,11/19/15
Indianapolis,11/19/15
Muncie,11/6/15
Jasper,11/6/15
Valparaiso,11/6/15
Marion,11/6/15
Indianapolis,10/29/15
Indianapolis,10/29/15
Evansville,10/29/15
New Albany,10/29/15
Indianapolis,3/11/16
Indianapolis,10/16/15
Indianapolis,10/16/15
Alexandria,10/16/15
Greenwood,10/2/15
Fishers,10/2/15
Brownsburg,10/2/15
Greenwood,9/29/15
Terre Haute,9/25/15
Fort Wayne,9/25/15
Cambridge City,9/25/15
Goshen,9/17/15
Vincennes,9/17/15
Elkhart,9/11/15
Mishawaka,9/11/15
Indianapolis,9/11/15
Fort Wayne,9/11/15
Indianapolis,9/2/15
Greenfield,9/2/15
Austin,8/27/15
Noblesville,8/6/15
Noblesville,7/31/15
San Pierre,7/31/15
Southport,7/31/15
Vincennes,7/31/15
Valparaiso,7/23/15
Jeffersonville,7/23/15
