date,city
Moorland,8/11/17
Hawarden,8/4/17
Clinton,8/4/17
Lamoni,7/14/17
Manilla,7/14/17
Marshalltown,7/7/17
Sioux City,7/23/17
Sioux City,7/7/17
East Dubuque,7/7/17
Croton,6/15/17
West Des Moines,6/9/17
Lake View,6/9/17
Des Moines,5/15/17
Jewell,6/22/17
Des Moines,4/28/17
Des Moines,4/20/17
Des Moines,4/13/17
Manchester,4/13/17
Carroll,3/23/17
Adel,4/7/17
Dubuque,3/10/17
Newton,3/10/17
Holstein,2/22/17
West Union,2/17/17
Ames,2/17/17
Adel,4/7/17
Dubuque,3/10/17
Cedar Rapids,12/15/16
Dubuque,12/15/16
West Des Moines,12/15/16
Casey,12/15/16
Bettendorf,12/5/16
Bagley,12/5/16
Jasper County,12/5/16
Eldora,12/5/16
Eldora,12/5/16
Creston,11/11/16
Osceola,11/11/16
Marion,10/21/16
Des Moines,10/11/16
Iowa City,10/11/16
Centerville,9/15/16
Cedar Rapids,9/2/16
Marshalltown,9/2/16
Dubuque,9/2/16
Cedar Falls,7/15/16
Cedar Rapids,7/15/16
Cedar Rapids,7/8/16
Dyersville,12/5/16
Waterloo,7/8/16
Cedar Rapids,6/16/16
Des Moines,6/10/16
Burlington,6/24/16
Robins,5/20/16
Batavia,5/6/16
Waterloo,4/22/16
Muscatine,4/22/16
Ossian,4/22/16
Muscatine,4/15/16
Cedar Rapids,3/11/16
Sioux City,3/4/16
Dubuque,2/19/16
Waukee,1/29/16
Marion,1/29/16
Cedar Falls,1/14/16
Windsor Heights,1/8/16
Des Moines,1/8/16
Charles City,12/10/15
Cedar Falls,11/26/15
Ames,11/20/15
Carroll,11/19/15
Davenport,11/19/15
Urbandale,11/19/15
Sidney,12/3/15
Granger,11/6/15
Sioux City,10/29/15
Dubuque,10/29/15
Sioux City,10/16/15
Muscatine,10/16/15
Cedar Falls,10/2/15
Cedar Rapids,9/29/15
Maryville,9/29/15
Des Moines,3/4/16
Frederika,9/11/15
Muscatine,9/11/15
Keokuk,8/27/15
Cedar Rapids,8/27/15
Ames,8/27/15
Council Bluffs,8/13/15
Newton,8/13/15
Centerville,8/13/15
West Point,8/6/15
Des Moines,8/27/15
Waterloo,7/31/15
Cedar Falls,8/6/15
Centerville,8/13/15
Council Bluffs,7/23/15
Dubuque,7/17/15
Cedar Rapids,7/6/15
Cedar Rapids,7/3/15
Brayton,6/24/15
Little Rock,6/15/15
Steamboat Rock,6/5/15
Sanborn,5/29/15
Rockford,5/22/15
Sioux City,5/22/15
Manchester,4/30/15
North Liberty,4/8/15
Fredericksburg,9/25/15
Oskaloosa,4/3/15
Coralville,3/13/15
Cedar Rapids,2/6/15
Fort Dodge,1/30/15
Platsmouth (near; on Hwy S 29),1/26/15
Dubuque,1/7/15
Cedar Rapids,1/7/15
Charles City,12/18/14
Sioux City,12/18/14
Colwell,12/5/14
Oskaloosa,11/26/14
Dubuque,11/26/14
Asbury,11/21/14
Waterloo,11/14/14
Des Moines,11/14/14
Urbandale,11/14/14
Urbandale,11/6/14
Urbandale,11/6/14
Mason City,11/6/14
Ames,11/6/14
Ankeny,11/6/14
Marion,11/6/14
Cedar Falls,10/10/14
Cedar Rapids,10/10/14
Hedrick,10/10/14
Chariton,10/10/14
Ames,10/10/14
Iowa City,9/25/14
Montrose,9/25/14
Cedar Rapids,9/10/14
Melbourne,9/5/14
Iowa City,9/5/14
Sabula,9/5/14
Bettendorf,9/5/14
Des Moines,8/31/14
North Liberty,8/29/14
Bettendorf,8/29/14
North Liberty,8/22/14
Sumner,8/1/14
West Des Moines,7/26/14
Dubuque,7/11/14
West Branch,7/5/14
Des Moines,7/20/14
Cedar Rapids,6/24/14
Lenox,6/20/14
West Branch,6/20/14
Des Moines,6/20/14
Ankeny,6/13/14
