date,city
Prairie Village,8/24/17
Garden City,8/17/17
Independence,7/23/17
Lawrence,7/14/17
Atchison,7/7/17
Colby,6/22/17
Toronto,7/7/17
Dodge City,6/15/17
Topeka,6/2/17
Silver Lake,6/2/17
Kansas City,5/15/17
Lawrence,5/6/17
Wichita,4/20/17
Wichita,4/13/17
Lawrence,4/7/17
Arkansas City,3/23/17
Kansas City,3/23/17
Kansas City,3/23/17
Belpit,4/7/17
Newton,3/10/17
Dodge City,3/10/17
Plains,3/10/17
Highland,3/10/17
Basehor,2/22/17
Atchison,2/22/17
Wichita,2/17/17
Wichita,2/17/17
Shawnee,2/17/17
Shawnee,2/17/17
Wichita,2/17/17
Lawrence,2/17/17
Hays,1/26/17
Hays (5 miles east of; on I-70),1/12/17
Turner,1/6/17
Mission,12/21/16
Winchester,12/21/16
Olathe,12/5/16
Derby,12/5/16
Wichita,12/5/16
Wichita,4/28/17
Walker,11/4/16
Gardner,11/4/16
Derby,10/27/16
Columbus,10/27/16
Banner Springs,10/21/16
Logan,9/30/16
Overland Park,10/11/16
Topeka,9/15/16
Wilson Lake,9/15/16
Wichita,9/22/16
Lawrence,8/29/16
Wellington,9/22/16
Leawood,8/16/16
Bel Aire,8/16/16
Overland Park,8/16/16
Oak Hill,8/16/16
Effingham,7/8/16
Kansas City,6/24/16
Pretty Prairie,6/24/16
Potwin,10/21/16
Wichita,6/10/16
Andover,6/10/16
Manhattan,6/10/16
Lawrence,5/20/16
East of Kingman (E of; rural),5/20/16
Wichita,5/10/16
Ellsworth,4/15/16
Ellsworth,4/15/16
Topeka,4/15/16
Hays,4/15/16
Lawrence,7/22/16
Dodge City,3/11/16
El Dorado,2/26/16
Kansas City,2/26/16
Saint Francis,2/26/16
Wichita,2/19/16
Lebo,2/11/16
Shawnee,2/11/16
Seneca,2/4/16
Council Grove,1/29/16
Wichita,1/14/16
Hutchinson,1/14/16
Larned,1/29/16
Wichita,12/17/15
Valley Falls,12/17/15
Wichita,11/19/15
Wichita,11/19/15
Shawnee,11/12/15
Wichita,11/19/15
Olathe,11/19/15
Wichita,11/19/15
Eudora,11/6/15
Pittsburg,10/29/15
Wichita,10/29/15
Augusta,5/20/16
Marysville,10/16/15
Dexter,10/16/15
Winfield,10/16/15
Herington,10/9/15
Wichita,9/29/15
Overland Park,9/29/15
Jewell,9/25/15
Pittsburg,9/25/15
Fall River,9/25/15
,10/9/15
Olathe,9/17/15
Elk City Lake,9/17/15
Andover,9/17/15
Lawrence,9/11/15
Valley Center,2/4/16
Hill City,8/27/15
Ellsworth,8/6/15
Wilson Lake,8/6/15
Kansas City,7/23/15
Mulberry Township,7/23/15
Lindsborg,7/10/15
McPherson,7/6/15
Kansas,7/10/15
Derby,7/10/15
Concordia,7/10/15
Lawrence,7/3/15
Colby,5/8/15
Dodge City,5/6/17
Lakin,4/8/15
Lawrence,5/22/15
Glasco,3/6/15
Marysville,8/27/15
Abilene,8/29/16
Merriam,12/5/14
Overland Park,12/5/14
Phillipsburg,11/26/14
Topeka,11/21/14
Topeka,11/21/14
Kansas City,11/14/14
Lawrence,11/14/14
Olathe,11/6/14
Merriam,11/6/14
Wichita,11/6/14
Lenexa,11/6/14
Wichita,11/6/14
Wichita,11/6/14
Colby,10/10/14
Manhattan,10/3/14
Newton,9/25/14
Overland Park,9/25/14
Wichita,9/25/14
Topeka,10/3/14
Ellis,9/25/14
Maize,9/25/14
Ft. Riley,9/10/14
Earth's Moon,9/5/14
Newton,9/5/14
Topeka,8/22/14
Luray,3/10/17
Luray,9/5/14
Shawnee,8/22/14
Emporia,8/15/14
Wichita,8/8/14
Emporia,8/8/14
Tribune,8/8/14
Topeka,8/8/14
Salina,8/8/14
Olathe,8/1/14
Scott City,8/1/14
Reading,7/26/14
Topeka,7/26/14
Wichita,7/11/14
Goodland,7/11/14
Topeka,7/11/14
Wichita,7/5/14
Saint John,7/5/14
Louisburg,7/11/14
Salina,7/26/14
Salina,7/4/14
Olathe,7/4/14
Topeka,6/27/14
Wichita,6/13/14
Overland Park,6/13/14
Pittsburg,6/4/14
Ottawa (near),6/4/14
Wichita,6/13/14
Topeka,6/4/14
Wellington,6/4/14
Junction City,6/4/14
Gardner,5/2/14
Prairie Village,4/18/14
Overland Park,4/18/14
Wichita,4/18/14
Altoona,4/4/14
Olathe,3/21/14
Windom,3/18/14
Wichita,1/24/14
Eureka,1/16/14
Fredonia,1/24/14
Yates Center,1/24/14
Hugoton,2/14/14
Manhattan,1/10/14
Overland Park,12/12/13
