date,city
Shepherdsville,8/24/17
Louisville,8/24/17
Essie,8/24/17
Louisville,8/17/17
Whitesburg,8/11/17
Louisville,8/11/17
Trigg County (Lake Barkley),8/4/17
Lexington,7/14/17
Versailles,7/14/17
Louisvile,7/7/17
Lexington,7/7/17
Lexington,7/7/17
Versailles,7/7/17
Albany,7/7/17
Louisville,7/7/17
Corbin,7/7/17
Lexington,7/7/17
Somerset,7/7/17
Somerset,7/7/17
Bardstown,6/15/17
Hebron,6/15/17
Morehead,6/15/17
Dayhoit,6/22/17
Versailles,6/2/17
Bardwell,6/2/17
Beattyville,4/28/17
Lexington,4/28/17
Willard,4/28/17
Smithfield,4/20/17
Louisville,4/20/17
Ricetown,4/20/17
Ricetown,4/20/17
Ricetown,4/13/17
Willard,3/23/17
Florence,4/7/17
Lexington,3/10/17
Florence,3/10/17
Paducah,2/17/17
Lexington,2/17/17
Ludlow,2/17/17
Louisville,2/10/17
Louisville,12/21/16
Corbin,12/21/16
Dabney,12/15/16
Radcliff,12/5/16
Louisville,12/5/16
Danville,12/5/16
Louisville,12/5/16
Elizabeth,11/11/16
Bowling Green,11/4/16
Shepherdsville,10/27/16
Clarkson,10/27/16
Bowling Green,10/21/16
Alvaton,10/21/16
Prospect,10/13/16
Owenton,10/11/16
Louisville,9/30/16
Pellville,9/22/16
Louisville,9/30/16
Paris,9/15/16
Lawrenceburg,9/9/16
Stanton,8/16/16
Richmond,8/2/16
Bowling Green,7/22/16
Wickliffe,7/15/16
McKee,7/15/16
Erlanger,7/8/16
Frankfort,7/8/16
Cynthiana,7/8/16
Symsonia,7/8/16
Louisville,6/24/16
Hopkinsville,6/24/16
Richmond,6/16/16
Florence,6/16/16
Morehead,5/26/16
Hazel Green,5/20/16
Louisville,5/20/16
McQuady,5/10/16
Owensboro,5/6/16
Somerset,4/29/16
Ricetown,4/22/16
Louisville,4/15/16
Jackson,4/15/16
Meadow Creek,3/24/16
Bowling Green,3/24/16
Murray,3/18/16
Lexington,3/4/16
Erlanger,3/4/16
Trenton,2/4/16
Jenkins,1/8/16
Corinth,1/5/16
Florence,1/5/16
Owensboro,1/5/16
Oakland,12/17/15
Russell Springs,12/17/15
Bowling Green,12/10/15
Whitesburg,12/10/15
Thornton,2/11/16
Louisville,12/3/15
Winchester,11/26/15
burlington,11/26/15
Florence,11/19/15
Shepherdsville,11/19/15
Dubre,11/19/15
Louisville,11/12/15
Louisville,11/19/15
Henderson,11/19/15
Shepherdsville,11/6/15
Winchester,11/6/15
Paris-Winchester,1/8/16
Wayland,11/6/15
Hodgenville,10/29/15
Maysville,11/6/15
Louisville,10/29/15
Bowling Green,10/29/15
Louisville,10/29/15
Florence,10/16/15
Nicholasville,10/16/15
Taylorsville,10/9/15
Taylorsville,10/16/15
Radcliff,10/9/15
Louisville,10/9/15
Mount Sterling,9/25/15
Bowling Green,9/25/15
Munfordville/Glendale (between),8/29/16
Corinth,9/11/15
Jeffersonville,8/27/15
Winchester,9/11/15
Warsaw,8/27/15
Liberty,9/11/15
Mt. Washington,9/11/15
Independence,6/1/16
Louisa,7/31/15
Louisville,7/31/15
Louisville,7/23/15
Cynthiana,8/2/16
Central City,7/17/15
Louisville,7/6/15
Madisonville,7/3/15
Mount Sterling,7/3/15
Greenup,6/24/15
Mount Sterling,2/4/16
Dry Ridge,6/19/15
Aurora,6/15/15
Slade,6/15/15
Lexington,6/5/15
Georgetown,5/29/15
Stanton,5/22/15
Hopkinsville,6/24/16
Cropper,5/13/15
Glencoe,5/8/15
Lexington,4/30/15
Louisville,4/17/15
Harrodsburg,8/27/15
"Louisville (near: I-64, Exit 113)",4/3/15
Ekron,4/3/15
Louisville,3/26/15
I-24   80 to 74 mile marker,2/12/15
Burnside,2/6/15
Henderson,2/6/15
Grant County,1/26/15
Leitchfield,1/26/15
Kiambu,3/13/15
Owensboro,12/12/14
Lexington,11/21/14
Georgetown,11/14/14
Cold Springs,11/14/14
Louisville,11/14/14
Petersburg,11/6/14
Owensboro,11/6/14
Lexington,11/6/14
Catlettsburg (Louisa area),11/6/14
Somerset,1/26/15
Louisville,11/6/14
Louisville,11/6/14
Frankfort,10/3/14
Princeton,9/25/14
Winchester,9/25/14
Richmond,9/25/14
Lexington,9/18/14
Elizabethtown/Louisville (travelling between),9/10/14
Elizabethtown,9/5/14
Hyden,8/29/14
Hyden,8/29/14
Salyersville,9/5/14
Pikeville,8/29/14
Lexington,8/22/14
Walton,8/31/14
Glasgow,8/15/14
Elizabethtown,8/8/14
Louisville St Mathewes,8/8/14
Frankfort,8/1/14
Lola,8/1/14
Pikeville,4/3/15
Pikeville,11/12/15
Redbush,7/20/14
Cadiz,7/20/14
Lexington,7/11/14
Mount Eden,7/11/14
Lexington,7/11/14
Booneville,7/5/14
Louisville,7/5/14
Louisville,7/5/14
Louisville,7/11/14
Booneville,7/5/14
Ashland,7/5/14
Middlesboro,7/5/14
Frankfort,7/11/14
Owensboro,3/6/15
Louisville,7/5/14
Flatwoods,7/11/14
Louisville,7/5/14
Owensboro,3/6/15
Florence,6/20/14
Hustonville,6/20/14
Lexington,10/21/16
Georgetown,6/20/14
Ashland (near),6/13/14
Frankfort,6/4/14
Hickory,6/4/14
Madisonville,6/4/14
Junction City,5/8/14
West Paducah,5/2/14
Columia,5/2/14
Louisville,5/2/14
Raywick,4/24/14
Louisville,4/24/14
Louisville,4/24/14
Richmond,4/24/14
Lexington,4/24/14
Louisville,5/8/14
Jackhorn,4/18/14
Louisville,4/11/14
Florence,4/11/14
Lexington,4/11/14
Perryville,4/11/14
Newport,4/4/14
Lawrenceburg,3/27/14
Winchester,3/27/14
Bowling Green,3/21/14
Garrett,3/18/14
Frankfort,3/18/14
Campbellsville,2/7/14
Bowling Green,1/30/14
Jeffersonville,1/30/14
Frankfort,1/30/14
Covington,1/24/14
Georgetown,1/16/14
Falmouth,1/16/14
Georgetown,2/21/14
Louisville,3/18/14
Louisville,3/18/14
Bowling Green,12/23/13
Cadiz,12/23/13
Benton,12/12/13
Louisville,12/5/13
Louisville,12/2/13
Stanford,12/2/13
Bowling Green,12/2/13
Frenchberg,11/11/13
Shively,11/11/13
Salyersville,11/11/13
Lexington,11/11/13
Fairdale,10/23/13
Russell Springs,10/14/13
Union,10/23/13
Aurburn,10/14/13
Melber,6/4/14
Rineyville,10/3/13
Erlanger,9/30/13
Lexington,9/30/13
Florence,9/30/13
Eddyville,9/30/13
Owensboro,9/30/13
Huddy,9/30/13
Millersburg,9/30/13
Bowling Green,10/21/16
Belfry,9/30/13
Louisville,9/30/13
Sharpsburg,9/30/13
Shelbyville,9/30/13
Shelbyville,9/30/13
Bowling Green,9/30/13
Murray,9/30/13
Frankfort,9/30/13
Owensboro,9/30/13
Sebree,9/9/13
Georgetown,9/9/13
Mayfield,9/9/13
Murray,8/30/13
Lexington,8/30/13
Sparta,8/30/13
Lexington to Cincinnati (between; highway I-74),8/30/13
Verona,8/30/13
Auburn,8/30/13
Paintsville,8/30/13
Florence,8/30/13
Florence (near),8/30/13
Lexington,8/30/13
Frankfort,8/30/13
Louisville,7/22/13
Georgetown,7/14/13
Florence,7/14/13
Louisville,7/14/13
Louisville,7/22/13
Middlesboro,7/14/13
Cadiz,7/14/13
Manchester,7/14/13
Paducah,7/14/13
Bowling Green,7/14/13
Louisville,7/14/13
Richmond,7/14/13
Murray,7/5/13
Louisville,7/14/13
Lexington,8/30/13
Louisville,7/14/13
Mayfeld,8/13/15
Nicholasville,7/3/13
Independence,7/3/13
Independence,7/3/13
Leitchfield,7/3/13
Louisville,7/3/13
Versailles,7/3/13
Harlan,7/3/13
