date,city
Kenner,7/23/17
Labadieville,7/14/17
Kenner,7/7/17
Port Barre,8/11/17
Houma,5/6/17
Seminary,5/6/17
Iota,4/28/17
Thibodaux,4/28/17
Slidell,4/20/17
New Orleans,4/13/17
Hammond,4/13/17
New Iberia,6/9/17
New Orleans (80 mi. SE of; Gulf of Mexico),3/23/17
Metairie,3/23/17
Washington,3/23/17
Mandeville,3/23/17
Grand Isle,4/7/17
Walker,3/10/17
Amite,3/10/17
Amite,3/10/17
Walker,2/10/17
Ragley,2/3/17
Kenner,1/26/17
Franklinton,1/26/17
Lake Charles,1/19/17
Patterson,12/30/16
Harrisonburg,12/30/16
Independence,12/15/16
Nairn,12/15/16
Lake Charles,12/5/16
Patterson,12/5/16
Lake Charles,11/11/16
Chalmette,10/27/16
Anacoco,10/21/16
Gulf of Mexico SMI 69 B,10/13/16
Slidell,10/11/16
Central,10/11/16
Kenner,10/11/16
Kenner,10/13/16
Lake Charles,9/30/16
Napoleonville,9/30/16
Madisonville,9/9/16
Opelousas,8/19/16
Amite,8/4/16
New Orleans,8/2/16
Franklinton,8/2/16
Lake Charles,8/2/16
Lafayette,7/15/16
Zachary,7/15/16
Lake Charles,7/8/16
New Orleans,6/24/16
Lafayette,6/16/16
Independence,6/10/16
Slidell,5/10/16
Kenner,5/10/16
New Orleans,5/10/16
Shreveport,5/20/16
Shreveport,5/10/16
New Orleans,4/29/16
New Orleans,4/29/16
Krotz Springs,4/15/16
Placheville,3/24/16
Lafayette,3/24/16
Lake Charles,3/18/16
Madisonville,2/26/16
Forest Hill,12/5/16
Thibodaux,2/19/16
Alexandria,2/11/16
Lafayette,2/4/16
New Orleans,2/11/16
Metairie,1/14/16
Lafayette (14 mi. E of),1/14/16
Natchitoches,1/14/16
Baton Rouge,1/5/16
Baton Rouge,12/21/15
Pineville,12/17/15
Haughton,11/26/15
New Orleans,2/11/16
Plaquemine,11/19/15
Alexandria,11/19/15
Abita Springs,11/19/15
Lake Charles,11/19/15
Pierre Part,10/29/15
Hammond,10/16/15
Baton Rouge,10/9/15
Logansport,10/9/15
Shreveport,9/25/15
Lafayette,9/25/15
Shreveport,9/17/15
Mandeville,9/17/15
Ponchatoula,9/11/15
Baton Rouge,9/2/15
Metairie,8/27/15
Shreveport,8/27/15
New Orleans,12/10/15
Metairie,8/27/15
New Orleans,8/6/15
Gonzales,8/6/15
Many,7/31/15
Lake Charles,7/23/15
Thibodaux,7/23/15
Garyville,7/17/15
Winnfield,7/17/15
Walker,7/6/15
Calhoun,7/3/15
Kenner,7/3/15
Patterson,7/3/15
Baton Rouge,6/19/15
New Orleans,6/15/15
Lake Charles,6/15/15
Metairie,6/15/15
Pineville,11/12/15
Shreveport,5/29/15
Denham Springs,5/29/15
Metairie,5/13/15
Shreveport,5/8/15
Glenmora,4/17/15
Glenmora,4/17/15
Kenner,4/3/15
Covington,4/3/15
Ruston,4/3/15
Lake Charles,3/26/15
