date,city
Lanesboro,8/24/17
Becket,8/17/17
Salem,8/17/17
Essex,8/17/17
Onset,8/17/17
Leicester,8/17/17
Fall River,8/4/17
Marstons Mills,8/4/17
Worcester,8/4/17
Plymouth,7/23/17
Buzzards Bay,7/27/17
Revere,7/27/17
Woburn,7/23/17
Methuen,7/23/17
Hyannis,7/23/17
Nickerson State Park. Brewster,7/14/17
Wakefield,7/14/17
Canton,7/14/17
Plymouth,7/7/17
East Longmeadow,7/7/17
Attleboro,7/7/17
Peabody,6/22/17
Boston,6/15/17
Rowley,6/2/17
Auburn,6/2/17
South Easton,6/2/17
Springfield,6/2/17
Tewksbury,6/15/17
Mansfield,5/6/17
Woods Hole,5/6/17
Great Barrington,4/20/17
Plymouth,4/20/17
Amherst,4/7/17
Orleans,4/20/17
Framingham,3/23/17
Brockton,3/10/17
South Dennis,2/22/17
Shrewsbury,2/22/17
Franklin,2/17/17
Somerville,2/10/17
Abington,2/3/17
Duxbury,2/3/17
Tewksbury,2/3/17
Leominster,1/26/17
Dedham,1/19/17
Amherst,1/12/17
West Newbury,1/12/17
Uxbridge,7/7/17
North Dartmouth,1/6/17
Marlborough,2/17/17
Exit 8 mass pike,12/30/16
Ludlow,12/30/16
Erving,12/15/16
Tewksbury,12/15/16
Plymouth,12/21/16
Osterville,12/15/16
Athol,12/5/16
Springfield,12/5/16
Methuen,12/5/16
Leominster,11/11/16
Leominster,11/11/16
Amherst,11/11/16
Boston,11/11/16
Sheffield,11/11/16
Framingham,11/4/16
Newton,11/4/16
Fairhaven,11/4/16
Stow,10/21/16
North Dartmouth,10/21/16
South Hadley,10/21/16
Norwood,10/11/16
Gardner,10/11/16
South Gardner,10/11/16
Belchertown,10/11/16
Rutland,9/30/16
Boston,9/30/16
Quincy,9/30/16
Wilmington,9/22/16
Lowell,9/22/16
North Brookfield,9/22/16
Pittsfield,9/22/16
Hopedale,9/22/16
Medford,9/22/16
Stoughton,9/22/16
Hyannis,9/22/16
Hingham,9/22/16
Gardner,9/15/16
North Andover,12/5/16
Dedham,9/9/16
Seekonk,9/9/16
Holden,9/2/16
Pittsfielsd,9/2/16
Sheffield,8/29/16
Carver,8/25/16
Westwood,8/25/16
Brockton,8/25/16
Stoughton,8/16/16
Nantucket,8/19/16
Framingham,8/16/16
Avon,8/16/16
Barre,8/16/16
Ludlow,8/16/16
Lowell,8/4/16
Carver,8/4/16
Somerville,8/4/16
Lawrence,8/2/16
Marlborough,8/2/16
Attleboro,8/2/16
Amesbury,8/2/16
Centerville,8/2/16
Quincy,8/2/16
Pittsfield,7/15/16
Tyngsboro,7/8/16
Wakefield,7/8/16
Millbury,7/8/16
New Bedford,7/8/16
Dudley,7/8/16
Hanson,7/8/16
Webster,6/24/16
Southbridge,6/24/16
Watertown,6/16/16
Bourne,7/8/16
Danvers,6/16/16
Cambridge,6/16/16
Longmeadow,6/10/16
Medford,6/10/16
North Adams,6/10/16
Athol,6/16/16
Hyannis,6/10/16
Concord,6/1/16
West Springfield,6/1/16
Shrewsbury,5/20/16
Nantucket,5/20/16
Leicester,5/20/16
Raynham,5/20/16
Belmont,5/20/16
Quincy,4/29/16
Dartmouth,4/15/16
Stoneham,4/15/16
Westfield,4/15/16
Burlington,4/22/16
Taunton,4/15/16
