date,city
Rochester Hills,8/24/17
Traverse City,8/24/17
Muskegon,8/17/17
Warren,8/11/17
Grosse Pointe Farms,8/11/17
Martin,8/11/17
Macomb,8/4/17
Grayling,8/4/17
North Muskegon,7/27/17
Rochester Hills,7/27/17
Cadillac,7/23/17
Clinton Township,7/23/17
Midland,7/23/17
Honor,7/27/17
Bellaire,7/14/17
Sterling Heights,7/14/17
Royal Oak,7/14/17
Plymouth,7/14/17
Port Sanilac,7/14/17
Port Sanilac,7/7/17
Dearborn,7/7/17
Greenville,7/7/17
Waters,7/7/17
Lansing,7/7/17
Grand Rapids,7/7/17
Grand Rapids,7/7/17
St. Louis,7/7/17
Romulus,6/22/17
Saginaw,6/22/17
Lapeer,6/22/17
Lapeer,6/15/17
Novi,7/14/17
Ann Arbor,8/4/17
Leota,6/22/17
Allen Park,6/15/17
Kalamazoo,6/9/17
Canton,6/22/17
Brighton,6/9/17
Adrian,6/9/17
Monroe,6/2/17
Keego Harbor,6/2/17
Marysville,6/2/17
Lansing,5/15/17
Auburn,5/11/17
Northville,5/11/17
Comstock Park,5/11/17
Newport,5/6/17
Lansing,4/28/17
Grant,4/20/17
Marne,8/24/17
Marne,8/24/17
Monroe,4/7/17
Frankenmuth,4/7/17
Grand Rapids,4/7/17
Allendale,4/7/17
Wyoming,4/7/17
Brighton,4/7/17
Gull Lake,3/17/17
Wyandotte,3/17/17
Paw Paw,3/17/17
Detroit,3/23/17
Battle Creek,3/10/17
Ypsilanti,3/10/17
St. Clair,3/10/17
Grand Rapids,5/6/17
Manistee,3/10/17
Grandville,2/22/17
Sawyer,2/22/17
Troy,2/22/17
Holland,3/23/17
Detroit,2/17/17
Howell,2/17/17
Whitehall,2/10/17
Athens,2/10/17
Grand Rapids,1/19/17
St. Clair,1/19/17
Southfield,1/12/17
Waterford,1/12/17
Shepherd,1/12/17
Decatur,1/6/17
Center Line,12/30/16
Hale,12/15/16
Macomb,3/17/17
Belmont,12/5/16
Midland,12/5/16
Allen Park,12/5/16
Grand Rapids,12/5/16
Chesterfield,12/5/16
Bloomfield Hills,12/5/16
Detroit,11/11/16
Romulus,1/19/17
Stevensville,11/11/16
Lansing,11/4/16
Lansing,11/4/16
Lansing,10/27/16
Grand Rapids,10/27/16
Sterling Heights,11/4/16
Ypsilanti,10/21/16
Lake Orion,10/21/16
Pinckney,10/21/16
Ortonville,10/21/16
Detroit,12/5/16
Vicksburg,10/11/16
Madison Heights,10/11/16
Warren,10/11/16
Hanover,10/11/16
Grand Blanc,10/11/16
Grand Rapids,9/30/16
Stering Heights,9/30/16
Fenton,9/30/16
Lansing,9/30/16
Assumption,9/22/16
Grand Rapids,9/22/16
Grayling,9/22/16
Wyoming,9/22/16
Warren,9/22/16
Gladwin,9/22/16
Highland,9/15/16
South Haven,10/11/16
South Haven,9/15/16
Rose City,9/9/16
Muskegon,9/9/16
Royal Oak,9/9/16
Roseville,9/9/16
Manistique,10/11/16
Lake Orion,9/9/16
Harbor Springs,9/9/16
Dollar Bay,9/2/16
South Marquette County,9/9/16
Zeeland,9/2/16
Detroit,8/29/16
Holland,8/25/16
Ann Arbor,8/25/16
Ann Arbor,9/30/16
Warren,8/19/16
Gaylord,8/19/16
Gaylord,8/25/16
Charlevoix,2/10/17
Jackson,8/16/16
Inkster,8/16/16
Three Oaks,8/16/16
Ypsilanti,8/16/16
Detroit,8/16/16
Cement City,8/16/16
Grand Blanc,8/16/16
Clinton,8/16/16
Shelby,12/30/16
Mackinaw City,8/16/16
Garden City,8/2/16
Grand Rapids,8/2/16
Livonia,8/2/16
Commerce Township,8/2/16
Farmington Hills,8/2/16
Garden City,7/22/16
Clinton Township,7/22/16
Saginaw,7/15/16
Coloma,7/15/16
I-196 at Mile Marker 7,7/15/16
Dearborn,7/15/16
Oscoda,7/15/16
Traverse City,7/15/16
Holland,7/8/16
Detour Village,7/8/16
Rochester Hills,7/8/16
Sterling,7/15/16
Michigan (Central Upper),7/8/16
Fenton,7/8/16
Grand Rapids,7/8/16
Swartz Creek,7/8/16
Grand Rapids,7/8/16
Plainwell,7/8/16
