date,city
Brainerd,8/24/17
Litchfield,8/11/17
Arden Hills,8/11/17
Rosemount,8/11/17
Corcoran,8/4/17
Chanhassen,8/4/17
Ramsey,8/4/17
Grand Marais,7/27/17
Rushford,7/27/17
Hutchinson,7/23/17
Lakeville,7/23/17
Brainerd,7/23/17
Vadnis Heights/white bear lake,7/14/17
Wabasha,7/7/17
Savage,7/7/17
Forest Lake,7/7/17
Trimont,7/7/17
Duluth,7/7/17
Cambridge,7/7/17
Shakopee,7/7/17
Minneapolis,7/7/17
Plymouth,7/7/17
St. Paul,6/22/17
Minnetonka,6/15/17
Elk River,6/9/17
Saint Peter,6/2/17
Arden Hills,6/2/17
Oak Grove,6/2/17
Shakopee,6/2/17
West Lakeland,5/15/17
Zimmerman,5/15/17
Brooklyn Park,5/11/17
Minneapolis,5/11/17
Hibbing,5/11/17
Eden Prairie,5/6/17
Minneapolis,5/6/17
Edina,5/6/17
Eden Prairie,5/6/17
Excelsior,5/6/17
Roseville,4/28/17
Little Falls,4/13/17
Gheen,4/13/17
Rosemount,4/7/17
Floodwood,3/10/17
Cloquet,3/10/17
Stacy,2/22/17
St. Paul,2/22/17
Apple valley,3/10/17
Chanhassen (east of),2/22/17
Saint Paul,2/17/17
Brook Park,2/17/17
Anoka,7/23/17
Eagan,2/10/17
Minneapolis,2/10/17
Marshall,2/10/17
Cohasset,2/10/17
Minneapolis/Bryn Mawr/ Theodore Wirth Golf Course area,1/26/17
Minneapolis,1/19/17
Randall,1/19/17
Elk River,1/19/17
Wabasha,1/12/17
Coon Rapids,1/12/17
Deer River,12/30/16
Eden Prarie,12/15/16
Sauk Rapids,12/5/16
Redwood Falls,12/5/16
Blaine,12/5/16
Minneapolis,3/10/17
Maple Grove,12/5/16
Owatonna,12/5/16
Lester Prairie,11/11/16
Hutchinson,10/27/16
Stillwater,10/27/16
St. Paul,10/21/16
Lake Elmo-Oakdale,11/11/16
Saginaw,10/11/16
North Mankato,10/11/16
Minneapolis,10/11/16
Elko New Market,9/30/16
Minneapolis,9/9/16
St. Paul,9/9/16
Lake Crystal,9/9/16
Shoreview,9/2/16
Hibbing,8/25/16
Pine island,3/10/17
Alexandria,8/16/16
Mankato,8/19/16
Hastings/Revanna Townships,8/16/16
Bemidji,8/16/16
St. Paul,8/16/16
Watkins,8/2/16
Blaine,8/2/16
Norwood Young America,7/22/16
Shoreview,7/15/16
East Grand Forks,7/8/16
Stillwater,7/8/16
Ham Lake,7/8/16
Minneapolis,7/8/16
Oak Park,6/22/17
Lake Vermilion (near tower),6/24/16
New Hope,6/16/16
Park Rapids,7/8/16
Shakopee,6/16/16
Fredenberg Township,6/16/16
Litchfield,6/1/16
Ely,9/15/16
Taylors Falls,6/10/16
Wyoming,5/26/16
Maple Grove,5/26/16
Minneapolis-Uptown,5/20/16
Woodbury,5/6/16
Big Lake,5/6/16
Saint Paul,5/6/16
Scanlon,5/6/16
New York Mills,5/6/16
Oakdale,4/29/16
Minneapolis,4/29/16
Hermantown,4/22/16
Rothsay,4/22/16
Grand Marais,4/15/16
Lamberton,6/10/16
Two Harbors,4/15/16
Lamberton,4/15/16
Renville,9/2/16
St. Paul,4/1/16
Minneapolis,3/24/16
Eden Prairie,3/18/16
St. Paul,3/18/16
Long Prairie,3/11/16
Lamberton,6/10/16
Lamberton,3/11/16
Battle Lake,3/4/16
Faribault,5/6/16
Preston,2/26/16
Esko,2/26/16
Monticello,2/19/16
New London,2/11/16
Hopkins,2/4/16
Orono,2/11/16
Lakveville,1/29/16
Foley,1/20/16
Woodbury,1/8/16
St. Paul,1/5/16
Eagan,1/5/16
Blaine,1/5/16
St. Paul,1/5/16
North Minneapolis,12/21/15
St. Paul,1/5/16
St. Paul,12/17/15
Fridley,12/10/15
Brooklyn Center,11/26/15
Morris,11/26/15
Ferguson Falls,11/19/15
Woodbury,11/19/15
Shoreview,11/19/15
New Prague,11/19/15
Edina,11/19/15
St. Paul,11/19/15
Lamberton,12/3/15
St. Cloud,11/6/15
Minneapolis,11/6/15
Otsego,11/6/15
Fridley,2/4/16
Otsego,10/29/15
Forest lake,10/29/15
Silver Bay,10/29/15
Lutsen,10/29/15
Rochester,10/16/15
Roseville/St paul,10/9/15
Eagan,10/9/15
Shoreview,10/9/15
Proctor,10/9/15
Saint Paul,10/9/15
Little Canada,10/2/15
Rogers,5/6/17
Saint Paul,10/9/15
Minneapolis,10/2/15
Scandia,9/29/15
Coon Rapids,9/29/15
St. Cloud,9/29/15
Owatonna,9/25/15
Barnum,9/25/15
Minneapolis,9/17/15
Prior Lake,9/17/15
Eden Prairie,10/9/15
Burnsville,9/11/15
Carver,9/11/15
Gibbon,9/11/15
Gibbon,9/11/15
Isabella,9/11/15
Wyoming,9/2/15
St. Paul (around),8/27/15
Rosemount,8/27/15
Eden Prairie,9/2/15
Minneapolis,8/27/15
Brooklyn Park,8/27/15
Saint Cloud,8/27/15
