date,city
Bridgeton,8/24/17
Belton,8/11/17
Overland,8/11/17
Wheatland,8/4/17
Moscow Mills,7/27/17
Nixa,7/27/17
Columbia,7/27/17
Jefferson City,7/23/17
Chesterfield,7/23/17
Deepwater,7/23/17
Jefferson City,7/23/17
Kirbyville,7/23/17
Pulaski,7/23/17
Independence,7/23/17
Osage Beach,7/14/17
Chamois,7/14/17
Florissant,7/7/17
Springfield,7/14/17
Camdenton,7/7/17
O'Fallon,7/7/17
Sullivan,7/7/17
Ballwin,7/7/17
Lampe,7/7/17
Independence,7/7/17
New Bloomfield,7/7/17
Independence,6/22/17
Mountain Grove,6/22/17
Kansas City,7/7/17
Lee's Summit,6/22/17
St. Peters,6/22/17
St. Louis,6/22/17
St. Louis,6/15/17
Waynesville,6/15/17
Springfield,6/15/17
St. Peters,6/22/17
Independence,6/15/17
Birch Tree,6/2/17
Eminence,6/2/17
St. Ann,6/2/17
St. Louis County,6/2/17
Normandy,8/24/17
Lake St. Louis,5/11/17
Wentzville,5/6/17
Fenton,4/28/17
Columbia,5/6/17
Columbia,5/6/17
Cape Girardeau,4/20/17
Saint James,4/20/17
Creve Couer,4/13/17
St. Louis,4/7/17
Kansas City,4/20/17
Springfield,4/7/17
Kansas City,3/23/17
St. Louis,3/23/17
Rolla,3/23/17
Rolla,3/23/17
Bartlett,3/23/17
Springfield,3/17/17
St. Robert,3/23/17
St. Louis,3/17/17
Saint Joseph,3/17/17
Lockwood,3/10/17
Springfield,3/10/17
Festus,8/24/17
Raymore,3/10/17
Cape Girardeau,2/17/17
Bridgeton,2/17/17
St. Charles,2/10/17
Eureka,2/10/17
Fort Leonard Wood,2/3/17
Strafford,2/10/17
Steelville,1/26/17
Ozark,1/19/17
Hillsboro,1/12/17
Columbia,12/30/16
Springfield,12/30/16
Town and Country,12/21/16
Smithville,12/15/16
St. Clair,12/15/16
Ste. Genevieve,12/15/16
Waynesville,12/5/16
Jefferson City,12/5/16
Independence,11/11/16
Independence,11/11/16
Mountain View,11/11/16
Palmyra,11/11/16
Trenton,10/27/16
Springfield,10/27/16
Florissant,10/21/16
St. Peters,10/21/16
Hayti,10/13/16
Lake of the Ozarks,12/5/16
Branson,10/11/16
High Ridge,10/11/16
St. Louis,9/30/16
Lathrop,9/30/16
Kansas City,9/30/16
Charleston,9/22/16
Nevada,10/11/16
O'Fallon,9/15/16
Dixon,9/15/16
Camdenton,9/9/16
St. Louis,9/9/16
Hurley,9/9/16
High Ridge,9/9/16
Springfield,9/9/16
Brookline Station,9/15/16
St. Louis,9/2/16
Kansas City/Columbia (between),8/25/16
Oak Grove,8/25/16
Columbia,8/25/16
Windsor,8/25/16
Kansas City,8/19/16
St. Peters,8/16/16
Morse Mill,8/16/16
St. Louis,8/4/16
St. Louis,8/16/16
Florissant,8/4/16
Foristell,8/2/16
Springfield,7/22/16
O'Fallon,7/22/16
Chesterfield,7/15/16
Lathrop,7/15/16
Arrow Rock,7/8/16
Jasper,7/8/16
Sarcoxie,7/15/16
Union,7/15/16
Lees Summit,8/16/16
Lake of the Ozarks,7/8/16
St. Peters,7/8/16
Brookline Station,6/24/16
Des Peres,6/16/16
St. Louis,6/16/16
Buffalo,6/10/16
St. Charles,6/10/16
Troy (NW of),6/10/16
Elkland,6/10/16
Cedarcreek,6/10/16
Troy,6/1/16
Warsaw,5/26/16
Camdenton,6/1/16
Camdenton,6/16/16
Lee's Summit,5/20/16
Montreal,5/20/16
Montreal,5/6/16
Independence,5/26/16
Kansas City,4/29/16
Mount Vernon,4/29/16
Branson,4/29/16
Dederick,4/29/16
Jefferson City,4/29/16
Dederick,4/22/16
St. Robert,4/22/16
Branson ((possibly; unsure)),5/6/16
St. Louis,4/15/16
St. Charles,4/15/16
Wentzvillle,7/8/16
Independence,3/24/16
Marshall,3/18/16
Jefferson City,3/11/16
California,3/4/16
Stover,3/11/16
Clinton,3/4/16
Stover,3/4/16
"Bolivar, Hermitage, and Urbana",3/4/16
LaMonte,3/4/16
Marshfield,3/4/16
Farmington,3/4/16
Cedar Hill/Burnsmill,3/4/16
Gainesville,3/4/16
Lebanon,2/26/16
Gainesville,3/4/16
Fenton,2/11/16
Lake Ozark,2/4/16
Springfield,2/4/16
Camdenton,1/29/16
St. Louis,1/29/16
Longview,1/14/16
Houston,1/14/16
Joplin,1/14/16
St. Louis,1/14/16
Warrensburg,1/5/16
