date,city
Missoula,8/24/17
Kalispell,8/11/17
Wilsall,7/23/17
Florence,7/14/17
Billings,7/7/17
Butte,7/7/17
Butte,7/7/17
Butte,7/7/17
Havre,6/22/17
Missoula,6/9/17
Hamilton,6/9/17
Big Timber,5/6/17
,4/7/17
Absarokee,3/10/17
Billings,3/10/17
Glendive,3/10/17
Whitefish,3/10/17
Butte,2/22/17
Hays,2/22/17
Billings,2/22/17
Stevensville,2/17/17
Bozeman,2/17/17
Victor,1/6/17
Kalispell,12/30/16
Great Falls,2/10/17
Helena,12/15/16
Gallatin Gateway,12/15/16
Billings,12/5/16
Billings,12/5/16
Jordan,12/5/16
Helena,11/11/16
Billings,11/11/16
Helena,11/4/16
Creston,10/27/16
Darby,10/11/16
Whitefish,10/11/16
Missoula,9/30/16
Missoula,9/22/16
Bigfork,9/22/16
Whitefish,9/22/16
Alberton,9/15/16
Florence,8/16/16
Missoula,8/2/16
Poplar,8/2/16
Butte,8/2/16
Billings,7/22/16
Missoula,7/22/16
Bozeman,8/2/16
Helena,7/15/16
Missoula,7/15/16
Alberton,7/8/16
Corvallis,7/8/16
Thompson Falls,6/22/17
Montana City,7/8/16
Billings,6/24/16
Creston,6/16/16
Poplar,6/3/16
Missoula,6/10/16
Bozeman,5/26/16
Hamilton,4/22/16
Florence,4/15/16
Billings,4/15/16
Kalispell,4/15/16
Kalispell,4/15/16
Lakside,4/1/16
Pray/Livingston (between),3/4/16
White Sulphur Springs,3/4/16
Hamilton,2/26/16
White Sulphur Springs,2/19/16
Missoula,2/11/16
Billings,1/5/16
Kalispell,1/5/16
Billings,12/3/15
Kalispell,11/26/15
Polson (north of),12/17/15
Belgrade,11/26/15
Billings,11/26/15
Great Falls,11/19/15
Lolo,12/3/15
Missoula,11/19/15
Great Falls,11/19/15
Kalispell,11/19/15
Clancy,11/19/15
Poplar,1/23/16
Clinton,10/9/15
Butte,10/9/15
Ronan,10/9/15
Great Falls,9/29/15
Livingston,9/29/15
Great Falls,9/29/15
Missoula,9/25/15
Billings,9/25/15
Helena,8/29/16
Helena,9/17/15
Billings,9/11/15
Billings,9/11/15
Bozeman,8/6/15
Billings,7/31/15
Browning,7/31/15
Missoula,7/31/15
Sidney,7/17/15
Sidney,7/3/15
Trout Creek,7/3/15
Billings,6/24/15
Mildred,6/5/15
Tracy,5/29/15
Tracy,5/29/15
Livingston,5/22/15
Belgrade,5/8/15
Red Lodge,5/13/15
Missoula,4/30/15
Missoula,4/23/15
Helena,4/23/15
Missoula,4/17/15
Missoula,4/8/15
Darby,3/26/15
Stevensville,3/13/15
Kalispell,3/20/15
Columbia Falls,3/6/15
