date,city
Mitchell,8/11/17
Bennington,8/4/17
Lincoln,8/4/17
Gretna,7/23/17
Omaha,7/7/17
Omaha,7/7/17
La Vista,6/22/17
Omaha,6/9/17
Lincoln,6/2/17
Lincoln,5/15/17
York,5/6/17
Omaha,4/20/17
Ashland,3/10/17
Omaha,3/10/17
Omaha,1/19/17
Raymond,12/5/16
Lincoln,12/5/16
Central City,12/5/16
Pawnee County (location unspecified),11/11/16
Gretna,11/4/16
Ashland,11/4/16
Bellevue,10/11/16
Elkhorn,8/25/16
Ogallala,8/16/16
Omaha,8/2/16
La Vista,8/4/16
Lincoln,8/2/16
Galloway,5/20/16
Lincoln,3/24/16
Lincoln,3/18/16
Ashland,3/18/16
Omaha,1/5/16
York,12/10/15
Lincoln,12/4/15
Fremont,11/26/15
Lincoln/Omaha (between),11/6/15
Omaha,10/16/15
Omaha,10/2/15
Lincoln,10/9/15
Omaha,9/11/15
Bellevue,8/27/15
Lemoyne,8/27/15
Lincoln,7/31/15
La Junta,7/23/15
Auburn,7/6/15
Lincoln,8/6/15
York,7/6/15
Omaha,7/3/15
Lexington,7/3/15
Richlands,4/17/15
Lincoln,4/3/15
Grand Island,5/22/15
Norfolk,3/20/15
Omaha,2/20/15
Lincoln,11/21/14
Lincoln,11/21/14
Central City,11/14/14
Lincoln,11/14/14
Omaha,11/6/14
Omaha,10/10/14
Omaha,9/25/14
Omaha,9/18/14
Omaha,9/18/14
Neligh,9/5/14
Neligh,9/5/14
Scribner,9/5/14
Ogallala,9/10/14
Enders,9/5/14
Lincoln,8/29/14
Omaha,8/29/14
Omaha,8/8/14
Hooper,12/12/14
Ogallala,8/1/14
Lincoln,7/20/14
Omaha,6/20/14
Omaha,6/13/14
Lincoln,6/4/14
Reno,6/4/14
Hastings (south of),7/4/14
Omaha,1/10/14
Lincoln,12/2/13
Bladen,11/20/13
Omaha,11/12/15
Ralston,11/11/13
Bellevue,10/14/13
Lincoln,10/14/13
Omaha,10/14/13
South Sioux City,9/30/13
South Sioux City,9/30/13
Lincoln,9/9/13
Lincoln,9/9/13
Bradshaw,9/9/13
Ogallala,9/9/13
Gering,8/30/13
Lincoln,7/5/13
Gothenburg,7/5/13
North Platte,7/5/13
Lincoln,7/14/13
North Platte,7/5/13
North Platte,7/5/13
Hershey,7/3/13
Gretna,7/3/13
Omaha,7/3/13
Lincoln,7/3/13
Lincoln,7/3/13
Exeter,5/15/13
Kearney/Lexington,2/28/13
Omaha,2/4/13
Kearney,2/4/13
Omaha,9/9/13
Omaha,12/20/12
Omaha,12/20/12
Kearney,12/20/12
Omaha,11/19/12
Brainard (6 mi. E of; on Hwy. 92),11/19/12
Omaha,11/19/12
Scotts Bluff,11/19/12
Omaha,11/19/12
North Platte,11/19/12
Omaha,11/4/12
Omaha,11/4/12
Omaha,11/4/12
Loretto,4/18/14
Omaha,5/15/13
Omaha,10/30/12
Omaha,10/30/12
Omaha,9/24/12
North Platte,9/24/12
Ponca,11/19/12
Omaha,1/10/14
North Platte,10/30/12
Hampton,9/24/12
Omaha,9/24/12
Omaha,9/24/12
Omaha,8/5/12
Papillion,8/5/12
Omaha,8/5/12
Millard,7/4/12
Omaha,8/5/12
York,7/4/12
Omaha,6/14/12
Scottsbluff,6/5/12
Omaha,5/29/12
Omaha,5/29/12
Exeter,6/5/12
Omaha,5/29/12
Omaha,5/29/12
O'neil,5/29/12
Valley-Omaha,12/20/12
Omaha,5/13/12
Ainsworth,3/13/12
Elkhorn,3/13/12
Tecumseh,5/13/12
Papillion,1/24/12
Plattesmouth,1/12/12
Milford,12/12/11
Burwell,10/25/11
Omaha,10/19/11
Valley,10/25/11
North Platte,12/12/11
Omaha,10/10/11
Omaha,10/10/11
Bellevue,10/10/11
Scottsbluff,10/10/11
Omaha,10/10/11
La Vista,10/10/11
Bellevue,10/10/11
Ogallala,10/10/11
Beatrice,8/21/11
Kenesaw,8/7/11
Ogallala,7/6/11
Omaha,8/21/11
Lincoln,7/6/11
Lincoln,7/6/11
Waverly,7/4/11
Omaha,6/8/12
Ord,5/29/11
Omaha,12/12/11
North Platte,3/23/11
Omaha,2/23/11
Humphrey,1/5/11
Exeter,1/5/11
Omaha,1/5/11
Silver Creek,11/21/10
Omaha,11/21/10
Milford,2/8/11
Stanton,11/21/10
Omaha,11/21/10
Omaha,11/21/10
Omaha,11/21/10
Omaha,11/21/10
Murry,8/30/10
Omaha,8/30/10
Omaha,8/24/10
Omaha,8/7/11
Palisade,8/24/10
Omaha,7/19/10
Valentine,3/11/16
Winnebago,7/10/10
Kearney,7/10/10
North Platte,7/6/10
Bennington,7/10/10
Lincoln,7/6/10
Kearney,7/10/10
Columbus,7/6/10
Fort Calhoun,7/19/10
Milford,7/10/10
North Bend,7/6/10
Clear Creek East Resort,7/10/10
Omaha,7/6/10
Papillion,7/19/10
Lincoln,7/6/10
Omaha,6/23/10
