date,city
Ely,8/24/17
Montello,8/24/17
Henderson,8/17/17
Las Vegas,8/24/17
Stagecoach,8/17/17
Las Vegas,8/17/17
North Las Vegas,8/17/17
Henderson,8/4/17
Reno,7/27/17
Reno,7/23/17
Yerington,7/23/17
Majors Place (south of),7/14/17
Reno,6/9/17
Reno,6/9/17
Reno,6/9/17
Las Vegas,6/9/17
Las Vegas,6/2/17
Las Vegas,6/9/17
North Las Vegas,6/2/17
Las Vegas,5/11/17
Las Vegas,5/6/17
Las Vegas,4/28/17
Las Vegas,4/20/17
Reno,4/7/17
Las Vegas,3/17/17
Las Vegas,3/10/17
Crescent Valley,3/10/17
las vegas,3/10/17
Austin,2/17/17
Reno,2/10/17
Las Vegas,1/19/17
Yerington,1/19/17
Las Vegas,1/12/17
North Las Vegas,12/30/16
North Las Vegas,1/6/17
Las Vegas,12/30/16
Carson City,12/30/16
Carson City,12/21/16
Las Vegas,12/15/16
Austin,12/15/16
Austin,12/15/16
Nevada (eastern),12/5/16
Reno,12/5/16
Las Vegas,11/11/16
Reno,10/11/16
Fernley,10/11/16
Las Vegas,10/11/16
Las Vegas,9/30/16
Las Vegas,9/22/16
Summerlin/Las Vegas,9/22/16
Denio (south of),9/15/16
Reno,9/9/16
North Las Vegas,9/9/16
Las Vegas,8/16/16
Winnemucca,8/4/16
Las Vegas,8/4/16
Winnemucca,8/2/16
Beowawe,8/2/16
Mesquite,8/2/16
Tonopah,8/2/16
Reno,8/2/16
Reno,8/2/16
Reno,8/2/16
Minden,8/2/16
Incline Village,8/2/16
Pahrump,8/2/16
Las Vegas,8/2/16
Las Vegas,7/22/16
Las Vegas,8/2/16
Henderson,7/15/16
Henderson,7/8/16
Yerington,7/8/16
Las Vegas,7/8/16
Gardnerville,6/24/16
Cold Creek,6/24/16
Henderson,8/29/16
Las Vegas,6/16/16
Las Vegas,6/10/16
Las Vegas,6/3/16
Las Vegas,6/3/16
Fallon,7/8/16
Fernley,5/26/16
Stateline,5/20/16
Las Vegas,5/6/16
Las Vegas,4/15/16
Las Vegas,3/11/16
Las Vegas,3/4/16
Spring Creek,2/19/16
Reno,2/11/16
Henderson,1/29/16
Reno,2/11/16
Las Vegas,1/29/16
Carson City,1/20/16
Las Vegas,1/8/16
Las Vegas,1/14/16
Las Vegas,1/5/16
Las Vegas,1/5/16
Las Vegas,1/5/16
Reno,1/5/16
Mesquite,1/5/16
Las Vegas,1/5/16
Las Vegas,1/5/16
Las Vegas,1/5/16
Las Vegas,1/5/16
Boulder City,1/5/16
Las Vegas,12/4/15
Las Vegas,12/3/15
Reno,11/26/15
Reno,11/19/15
Reno,12/10/15
Reno,12/10/15
Elko,11/19/15
Spring Creek,11/19/15
Spring Creek,11/19/15
Las Vegas,11/19/15
Gardnerville,11/19/15
Las Vegas/Summerlin,11/19/15
Las Vegas,11/19/15
Overton,11/12/15
Pahrump,11/12/15
Las Vegas,11/12/15
Henderson,11/19/15
Mesquite,11/19/15
Sparks,12/10/15
Las Vegas,11/6/15
Henderson,11/19/15
Elko,10/29/15
Las Vegas,10/29/15
Some where between Fernley and shurz,10/29/15
Reno/Stead,10/29/15
Las Vegas,10/29/15
Las Vegas,10/16/15
Las Vegas,10/16/15
Las Vegas,10/16/15
Fernley,10/9/15
Hendersom,9/29/15
Las Vegas,9/29/15
Crystal Bay,9/25/15
Pumpernickel Valley,9/25/15
Mesquite,9/17/15
Las Vega,9/11/15
Henderson,9/11/15
Reno,9/11/15
Las Vegas,9/11/15
Las Vegas,9/2/15
Las Vegas,8/27/15
Gardnerville,8/27/15
Sparks/Spanish Springs,9/11/15
Sparks,8/13/15
Las Vegas,8/13/15
Reno,8/13/15
Las Vegas,8/6/15
Las Vegas,8/6/15
Reno,8/6/15
Reno,8/6/15
North Las Vegas,7/23/15
Henderson,7/17/15
Ely,7/17/15
Las Vegas,7/17/15
Reno,7/10/15
Las Vegas,8/27/15
Las Vegas,7/6/15
Carson city,7/10/15
Red Rock (Las Vegas),7/10/15
Las Vegas,7/6/15
Las Vegas,4/20/17
Reno,7/17/15
Las Vegas,7/3/15
Las Vegas,6/24/15
North Las Vegas,6/24/15
Henderson,4/20/17
Coaldale,6/24/15
North Las Vegas,6/15/15
Henderson,6/24/15
Henderson,5/22/15
Henderson,5/22/15
Henderson,5/22/15
Las Vegas,5/8/15
Las Vegas,5/8/15
Las Vegas,4/23/15
Lake Tahoe,6/15/15
South Lake Tahoe,6/15/15
Reno,4/17/15
Groom Lake (near),4/17/15
Las Vegas,4/8/15
Las Vegas,4/17/15
Minden,4/3/15
Reno (100 miles south of),4/3/15
Fallon,3/13/15
Las Vegas,3/13/15
Red Rock Canyon,3/13/15
Blue Diamond,3/13/15
North Las Vegas,3/6/15
Fallon,3/6/15
Reno,2/20/15
Sparks,3/6/15
Reno/Sun Valley,2/20/15
North Las Vegas,6/15/15
Las Vegas,2/20/15
Las Vegas,2/20/15
Las Vegas,2/12/15
Las Vegas,2/12/15
Las Vegas,2/6/15
Reno,2/6/15
Reno,1/26/15
Laughlin,1/26/15
Gardnerville,1/26/15
Las Vegas,1/16/15
Reno,1/7/15
Las Vegas,1/16/15
Carson City,12/18/14
I-80 (47 miles west of UT),12/5/14
Carson City,12/5/14
Fernley,11/21/14
Reno,11/14/14
Las Vegas,11/14/14
Boulder City,11/14/14
Las Vegas,11/6/14
Moapa,11/6/14
Las Vegas,11/6/14
Las Vegas,11/6/14
Carson City,11/6/14
Reno,11/6/14
Las Vegas,10/10/14
Las Vegas,10/10/14
Las Vegas,10/10/14
Las Vegas,10/10/14
Carson City,10/3/14
Las Vegas,10/3/14
Las Vegas,10/3/14
Reno,10/3/14
East Las Vegas,9/25/14
Las Vegas,9/25/14
Las Vegas,9/25/14
Las Vegas,9/18/14
Reno,9/18/14
Incline Village,9/18/14
Las Vegas,9/18/14
Las Vegas,9/18/14
"Mount Rose Wilderness, Reno",8/29/14
Battle Mountain,8/29/14
Las Vegas,8/15/14
Las Vegas,8/15/14
Henderson,8/15/14
Las Vegas,8/1/14
Sparks,8/1/14
Mercury,7/23/15
Mercury,5/20/16
Stagecoach,7/26/14
Las Vegas,7/11/14
Pahrump,7/11/14
Las Vegas,7/5/14
Las Vegas,7/20/14
Las Vegas,6/24/14
Las Vegas,7/11/14
Sparks,6/24/14
Bahrain,8/8/14
Reno,6/13/14
Las Vegas,6/13/14
Reno,6/6/14
Carson City,6/4/14
North Las Vegas,6/6/14
Las Vegas,6/4/14
Gardnerville,6/4/14
Sparks,6/4/14
Henderson,6/4/14
Reno,6/4/14
Las Vegas,6/4/14
North Las Vegas,6/4/14
Incline Village,6/4/14
Las Vegas,6/4/14
Reno,6/13/14
Henderson,5/8/14
Las Vegas,5/2/14
Tonopah,5/2/14
Henderson/Las Vegas,5/2/14
Las Vegas,4/24/14
Las Vegas,4/24/14
Las Vegas,5/8/14
I-95 (4 miles S of Hwy 163),9/18/14
Las Vegas,4/18/14
Ashe Fork,4/18/14
Henderson,4/11/14
Henderson,4/11/14
Reno,4/4/14
Las Vegas,3/27/14
Logandale,6/4/14
Henderson,3/18/14
Las Vegas,2/27/14
Las Vegas,2/21/14
Las Vegas,2/21/14
Las Vegas (north of),2/14/14
Las Vegas,2/14/14
Boulder City,2/14/14
Henderson,2/7/14
Las Vegas,2/7/14
Las Vegas,2/7/14
North Las Vegas,2/7/14
Mesquite,2/21/14
Tonopah,2/7/14
Sparks,2/7/14
Las Vegas,1/30/14
Overton,2/7/14
Las Vegas,1/24/14
Henderson,1/10/14
Las Vegas,1/10/14
Elko,1/10/14
Las Vegas,1/24/14
Stateline,1/10/14
Carson City,1/10/14
Sparks,12/23/13
Las Vegas,12/23/13
Reno,12/23/13
Henderson,12/12/13
Reno,12/12/13
