date,city
Hampton Beach,8/17/17
Loudon,8/24/17
Brookline,8/17/17
Sandown,8/11/17
Nelson,8/11/17
Durham,8/4/17
Pelham,7/23/17
Strafford,7/23/17
Hampton,7/14/17
Penacook,7/7/17
Acworth,7/14/17
Farmington,7/7/17
Barrington,6/22/17
Goffstown,6/15/17
Plaistow,6/9/17
Northfield,6/2/17
"Weare ,",6/2/17
Sandown,5/15/17
Dover,4/28/17
Merrimack,4/28/17
Woodsville,4/20/17
Nashua,4/13/17
Raymond,4/13/17
Merrimack,4/13/17
Dover,3/23/17
Portsmouth,3/23/17
Nashua,3/10/17
Brookline,3/10/17
Plymouth,3/10/17
Londonderry,3/10/17
Franklin,2/17/17
Concord - Penecook,2/17/17
Somersworth,2/3/17
Merrimack,2/3/17
Londonderry/Hudson,2/3/17
Farmington/New Durham,2/3/17
Warner,1/19/17
Sandown,12/30/16
Westmoreland,12/15/16
Atkinson/Kingston,12/5/16
Farmington,12/5/16
Nashua,12/5/16
Derry,11/11/16
Manchester,11/11/16
Nashua,10/21/16
Nashua,10/21/16
Gilford,10/21/16
New Ipswich,10/21/16
Brentwood,10/11/16
Nashua,9/22/16
Wakefield,9/2/16
Stoddard,8/25/16
Atkinson,8/25/16
Northfield,8/19/16
Nashua,8/16/16
Rochester,8/16/16
Rochester,8/16/16
Exeter,8/16/16
Freedom,8/16/16
Dorchester,8/4/16
Concord,8/2/16
Milan,7/22/16
Concord,7/22/16
Rochester,7/22/16
Rochester,7/15/16
Rochester,8/16/16
Salem,7/8/16
Sandown,7/8/16
Loudon,6/10/16
Wakefield,6/1/16
Sandown,5/20/16
Bow,5/20/16
Nashua,5/6/16
Gilford,4/29/16
Rumney,4/15/16
Windham,4/1/16
Epping,4/1/16
Stratham,3/24/16
Manchester,3/18/16
New Hampton,3/11/16
Concord,3/11/16
Hanover,3/11/16
Nashua,3/18/16
Milford,2/26/16
Salem,2/26/16
New Hampton,2/19/16
Seabrook,2/19/16
Bow,2/4/16
Canaan,1/5/16
Londonderry,1/5/16
Londonderry,1/5/16
Derry,12/21/15
Keene,1/5/16
Derry,12/4/15
Alton,12/3/15
Manchester,11/26/15
Hampton,11/26/15
Rochester,1/5/16
Campton,12/10/15
Wolfeboro,11/19/15
Salem,11/19/15
"Manchester to Baltimore, MD",11/19/15
Nashua,11/6/15
Newport,12/3/15
Dover,11/6/15
Bedford,11/6/15
Dover,11/19/15
Salem,11/6/15
Rochester,10/16/15
Exeter,7/15/16
Goffstown,10/16/15
Tilton,11/12/15
Salem,10/9/15
Bedford,9/29/15
Lowell,9/29/15
Nashua,10/2/15
Nashua,10/2/15
Manchester,10/16/15
Manchester,9/25/15
Manchester,9/25/15
Concord,12/15/16
Sandown,9/17/15
Rochester,9/17/15
Hudson,9/17/15
Kingston,1/14/16
Nashua,9/11/15
Alton,9/11/15
Pittsburg,9/11/15
Nashua,9/2/15
Nashua,9/11/15
Portsmouth,8/27/15
Salem,8/27/15
Ashland,8/27/15
North Salem,8/27/15
Dover,8/27/15
Manchester,8/27/15
Salem,8/6/15
Salem,7/31/15
Gorham,7/23/15
Tilton,7/17/15
Hampton,7/17/15
Franklin,7/6/15
Walpole,7/3/15
Rochester,6/24/15
Enfield,6/5/15
Franklin,12/3/15
Bristol,5/29/15
Merrimack,5/29/15
Dover,10/29/15
Moultonboro,9/11/15
Concord,5/22/15
Belmont,5/8/15
Meredith,5/8/15
Concord,5/8/15
Kingston,5/8/15
Dalton,4/17/15
Dalton,4/17/15
Canterbury,4/17/15
West Lebanon,4/8/15
Manchester,4/3/15
Merrimack,3/13/15
Concord,3/13/15
Manchester,11/11/16
Danville,2/20/15
Durham,2/12/15
Milford,2/6/15
Boscawen,2/6/15
Somersworth,1/26/15
Hampton,1/26/15
Lancaster,2/6/15
Etna,1/16/15
Lincoln,1/9/15
Somersworth,1/7/15
Keene,1/7/15
Penacook,1/7/15
Sandown,12/22/14
Hillsborough,1/26/15
Manchester,12/18/14
Concord,1/7/15
Rochester,12/12/14
Dover,11/26/14
Dover,11/26/14
Concord,11/21/14
Ashland,11/14/14
Rochester,11/14/14
Dover,11/14/14
Dover,11/14/14
Laconia,11/14/14
Ossipee,11/6/14
Tuftonboro,11/6/14
Chocorua,11/6/14
,11/6/14
Alexandria,11/6/14
New Hampton,11/6/14
Lancaster,11/6/14
Whitefield,11/6/14
Rochester,11/6/14
Litchfield,10/10/14
Manchester,10/10/14
Sanbornville,10/10/14
Nashua,10/3/14
Hillsborough,9/25/14
Wilmont/Andover,9/25/14
Derry,9/18/14
Hudson,9/18/14
Salem,9/18/14
Nashua,10/10/14
Laconia,9/5/14
Kingston,9/5/14
Londonderry,8/31/14
Weirs Beach,8/31/14
Salem,8/29/14
Merrimack,8/29/14
Salem,8/22/14
Franklin,8/22/14
New Hampton,8/15/14
Merrimack,8/8/14
Milford,8/1/14
Groton,8/8/14
Manchester,8/8/14
Belmont,8/1/14
Laconia/Gilford,8/1/14
Nashua,7/26/14
Keene,7/20/14
Exeter,7/20/14
Meriden,7/20/14
Sullivan,7/11/14
Lincoln,7/11/14
Lincoln,7/20/14
Windham,7/11/14
Nashua,7/11/14
Nashua,7/11/14
Milford,7/4/14
Berlin,7/11/14
Hudson,7/4/14
Franklin,7/4/14
Canaan,6/27/14
Londonderry/Merrimac/Nashua,6/20/14
Manchester/Hooksett,6/20/14
Gilford,6/20/14
Milford,6/20/14
Hampton Beach,6/13/14
Jackson,6/13/14
Keene,6/4/14
Campton,6/20/14
South Tamworth,5/8/14
Atkinson,5/8/14
Boscawen,4/11/14
Concord,4/4/14
Keene,4/4/14
Londonderry,3/27/14
Raymond,3/18/14
Hudson,3/18/14
Salem,3/18/14
Manchester,2/27/14
Newport,6/24/14
Manchester,2/14/14
Laconia,2/7/14
Strafford,2/7/14
Hooksett,2/7/14
Boscawen,1/30/14
Plaistow,1/30/14
Whitefield,1/30/14
Hudson,1/24/14
Hudson,1/24/14
North Sutton,1/16/14
Meredith,1/16/14
Chocorua,12/12/13
West Ossipee,12/12/13
Laconia,12/12/13
Hampstead,12/2/13
Pelham,12/2/13
Swanzey,12/2/13
Freedom,12/2/13
New Hampton/Bri,12/2/13
Bristol,12/2/13
Merrimack,11/20/13
North Conway,11/20/13
Londonderry,12/12/13
Nottingham,11/11/13
Londonderry,11/11/13
Stratham,11/11/13
Milford,11/11/13
Ossipee,10/23/13
Kensington,10/23/13
Salem,10/23/13
Bedford,10/23/13
Litchfield,10/23/13
Hampton,10/14/13
Hudson,10/14/13
Hudson,10/14/13
Nashua,9/30/13
Hudson,9/30/13
Salem,9/30/13
Canterbury,11/11/13
Kingston,9/30/13
Merrimack,9/30/13
Merrimcak,10/3/13
Manchester,9/9/13
Rochester,9/9/13
Manchester,9/9/13
Enfield,8/30/13
Claremont,8/30/13
Madison,8/30/13
Milford,8/30/13
Bristol,8/30/13
Belmont,8/30/13
Manchester,8/30/13
Keene,8/30/13
Laconia,7/22/13
Manchester,7/14/13
Bristol,7/14/13
Franklin,7/14/13
Hampton/Rye,7/5/13
Canterbury,7/3/13
Canterbury,7/3/13
North Conway,7/3/13
Berlin,7/3/13
Hampton,7/3/13
Surry,7/3/13
Hampstead,7/3/13
Manchester,5/15/13
Hooksett,5/15/13
Merrimack,5/15/13
Bartlett,5/15/13
New Durham,7/14/13
Nashua,5/15/13
Merrimack,2/18/13
Nashua,2/18/13
Portsmouth,2/4/13
Nashua,2/4/13
Londonderry,2/4/13
Claremont,2/4/13
Londonderry,2/4/13
Troy,2/4/13
Sanbornton,2/4/13
Pelham,12/21/12
Manchester,12/20/12
New London,12/20/12
Warner,12/20/12
Hopkinton,2/4/13
North Conway,12/20/12
Nashua,12/20/12
Berlin,12/20/12
New Durham,12/20/12
New Durham,12/20/12
Dover,12/20/12
NASA TV,12/20/12
Hooksett,11/19/12
Rochester,11/19/12
Portsmouth,11/19/12
Concord,11/19/12
Wentworth,2/28/13
Hampton,10/30/12
Salem,10/30/12
Dover,10/30/12
Plainfeild,9/24/12
Epsom,9/24/12
Rumney,11/14/14
Lee,9/24/12
Lancaster,2/4/13
Hampton,9/24/12
Berlin,9/24/12
Milton,9/24/12
Londonderry,9/24/12
Bristol,9/24/12
Dover,9/24/12
Henniker,9/24/12
Nottingham,9/24/12
Hampton,9/24/12
Londonderry,9/24/12
Newport,9/24/12
Portsmouth,8/19/12
Epping,8/19/12
Nashua,9/24/12
Laconia,8/19/12
Concord,8/19/12
New Hampton,8/19/12
Exeter,8/5/12
Hampton,8/19/12
Nashua,8/5/12
Brentwood,8/5/12
Hampstead,8/5/12
Meredith,8/5/12
Nottingham,8/5/12
Portsmouth,7/4/12
Lee,6/20/14
Lee,6/20/14
North Woodstock,7/4/12
Exeter,8/5/12
Moultonborough,7/4/12
Manchester,6/20/12
Nashua,6/14/12
Thornton,5/29/12
Webster,5/13/12
Danbury,5/13/12
Keene,4/18/12
Greenland,4/18/12
Kensington,5/13/12
Nashua,5/13/12
Claremont,5/13/12
Hooksett,5/13/12
Alton,3/13/12
Dover,3/13/12
Pembroke,3/13/12
Portsmouth,3/13/12
Rochester,3/13/12
Somersworth,2/3/12
Manchester,1/24/12
Manchester,1/24/12
Berlin,1/24/12
Wakefield,1/12/12
Keene,1/12/12
Alton Bay,1/12/12
Portsmouth,1/12/12
New London,1/12/12
Nashua,1/12/12
Troy,12/12/11
Stratham,12/12/11
Exeter,1/12/12
Brentwood,12/12/11
Portsmouth,12/12/11
Farmington,12/12/11
Dover,12/12/11
Meredith,12/12/11
Hanover,12/12/11
Litchfield,10/25/11
West Ossipee,10/10/11
Center Barnstead,10/10/11
Salem,10/19/11
Freedom,10/10/11
Hampton Beach,10/10/11
Exeter,10/10/11
New Castle,8/21/11
Troy,8/7/11
White Mountains,3/16/12
Dover,8/7/11
Seabrook,7/17/11
Dover,8/7/11
Portsmouth area,5/29/11
Center Barnstead,5/2/11
Concord,3/23/11
Moultonborough,6/9/17
Hampton,5/15/13
Center Conway,2/18/11
Hampstead,1/31/11
Fremont,1/5/11
Pinkham Notch,1/5/11
Springfield,1/5/11
Twin Mountain,1/5/11
Manchester,11/21/10
Meredith,11/21/10
Warren,8/24/10
Warren,8/24/10
Milton,8/24/10
Alstead,8/24/10
Keene,8/24/10
Rochester,11/21/10
Penacook,7/10/10
Plymouth,7/6/10
Durham,5/29/11
Lancaster,6/3/11
Kingston,5/12/10
Laconia,4/13/10
Laconia,4/13/10
Bath,4/13/10
New Hampshire??,4/13/10
Concord,4/13/10
Windham,2/14/10
Loon Mountain Ski Club,8/21/11
Francestown,2/14/10
Woodsville,12/12/09
Conway,12/12/09
Rumney,12/12/09
West Lebanon,12/12/09
Hooksett,12/12/09
Warner,12/12/09
Dover,12/12/09
Manchester,12/12/09
Cambridge,12/12/09
Franklin,12/12/09
Hudson,12/12/09
Plainfield,12/12/09
Portsmouth,12/12/09
Somersworth,12/12/09
Colebrook,12/12/09
Keene,8/27/09
Londonderry,8/27/09
Kensington,8/5/09
Colebrook,6/9/09
East Derry,5/12/09
Canaan,4/14/09
Londonderry,4/14/09
Holderness,3/19/09
Unity,3/19/09
Auburn,3/19/09
Nashua,1/10/09
Nashua,10/31/08
Salisbury,10/31/08
Bretton Woods,10/31/08
Berlin,10/31/08
North Conway,10/31/08
Rumney,10/31/08
Canterberry,10/31/08
Wentworth,10/31/08
Whitefield,10/31/08
Ashland,10/31/08
Bedford,5/2/14
Ashland,10/31/08
Ossipee,8/12/08
Hinsdale,8/12/08
Hampton Beach,1/10/09
Coos County,7/5/08
Plymouth,6/12/08
Swanzey,6/12/08
Lee,6/12/08
Hinsdale,6/12/08
Hampton Beach,6/12/08
Windham,6/12/08
Salisbury,4/17/08
Hampton,3/31/08
Keene,9/24/12
Alton,3/31/08
New Durham,3/4/08
Sharon,3/4/08
Sharon,3/4/08
Concord,2/14/08
Tilton,2/14/08
Effingham,1/21/08
Hampstead,1/21/08
Littleton,3/4/08
Greenville,3/4/08
Londonderry,11/28/07
Franconia Notch,10/8/07
Franconia Notch State Park,6/12/08
Salem,10/8/07
Bethlehem,10/8/07
Bethlehen,10/8/07
Bethlehem,10/8/07
Contoocook,10/8/07
Alton,10/8/07
Raymond,10/8/07
Eaton,10/8/07
Laconia,7/23/15
Warner,10/8/07
Whitefield,10/8/07
Littleton,10/8/07
Meredith,8/14/07
Success,8/7/07
Salisbury,8/7/07
Littleton,8/7/07
Glen House,3/4/08
South Kingston,4/27/07
New Ipswich,4/27/07
Hanover,4/27/07
Raymond,4/27/07
Kensington,3/8/07
Durham,2/24/07
Laconia,2/24/07
Exeter,2/1/07
Lisbon,2/1/07
Rochester,12/14/06
Laconia,12/7/06
Jaffrey,10/30/06
Wilton,10/30/06
Dover,10/30/06
Hampton,10/30/06
Roxbury,10/30/06
Jackson,10/30/06
Exeter,10/30/06
Swanzey,2/21/14
New Hampton,7/16/06
Sanbornton,5/15/06
Contoocook,5/15/06
Hampstead/Plaistow,5/15/06
Hudson,2/14/06
Hampstead,3/11/06
Brentwood,11/3/05
Brentwood,1/10/09
Danbury,8/11/17
Whitefield,10/11/05
Goffstown,10/11/05
Gorham,2/24/07
Randolph,10/11/05
Sanbornton,10/11/05
Winnisquam,10/11/05
Gorham,12/16/05
Exeter,10/11/05
Laconia,10/11/05
Laconia,10/11/05
Laconia,10/11/05
Penacook,10/11/05
Laconia,10/11/05
Henniker,10/11/05
Laconia,10/11/05
Tilton,10/11/05
Belmont,10/11/05
Exeter,9/2/05
Nashua,9/2/05
Lee,10/11/05
Sanbornton,10/11/05
Exeter,9/2/05
Conway,9/2/05
Exeter,3/4/08
Montcalm,5/24/05
Laconia,10/11/05
Contocook,5/11/05
Laconia,10/11/05
Laconia,10/11/05
Ringe,5/15/06
Nashua,4/16/05
Hopkinton,4/16/05
Rochester,5/11/05
Plymouth,5/11/05
Pittsburg,2/22/05
Lyndeborough,5/11/05
Center Harbor,4/16/05
Keene,10/27/04
Manchester,9/29/04
Wakefield,9/1/04
Wakefield,9/1/04
Manchester,8/24/04
Lebanon,8/24/04
West Lebanon,12/3/04
Lincoln,7/25/04
Bow,2/24/05
Hollis,5/24/05
Bow,6/23/04
Durham,5/29/11
Manchester,10/20/05
Merrimack,3/17/04
Dover,3/17/04
Colebrook,2/12/04
Wolfeboro,2/12/04
Multiple,1/17/04
Stratham,12/19/03
Portsmouth,7/3/13
Cornish,11/26/03
Nashua,10/31/03
Intervalle,10/15/03
Northwood,9/24/03
Bristol,9/24/03
Gilmanton,10/17/03
Hampton Beach,8/28/03
Manchester,11/26/03
Woodsville,5/24/05
Londonderry,4/9/04
Londonderry,7/16/03
Manchester,6/10/03
New Ipswich,5/27/03
Franconia Notch (I-93 southbound),12/19/03
Bristol,5/24/05
Madbury,3/21/03
Portsmouth,3/11/03
Rollingsford,5/13/03
Nashua,3/4/03
Windham,3/4/03
Windham,3/4/03
Derry,3/11/03
Unity,6/12/08
Derry,11/4/02
Lyndeborough,10/8/07
Derry,9/6/02
Derry,9/6/02
Loudon,8/16/02
Manchester,7/16/03
Moultonboro,11/11/16
Moultonborough,7/1/02
Gilford,7/1/02
Moultonborough,7/1/02
Laconia,7/1/02
Plymouth,7/1/02
Plymouth,7/1/02
Moultonboro,7/1/02
Albany,12/23/02
Manchester,6/12/02
Portsmouth,6/12/02
Indian Springs,6/12/02
Nashua,4/25/02
Nashua,4/25/02
Gorham,4/8/02
Durham,6/12/02
Heniker,2/22/02
Weare,1/29/02
Fremont,1/29/02
Wentworth,1/11/02
Hooksett,1/29/02
Concord,1/11/02
Warner,1/29/02
Manchester,11/20/01
"Franconia Notch (I-93, southbound)",1/11/02
Franconia Notch/White Mountains,1/11/02
Lincoln,10/12/01
Groton,3/4/03
Errol,10/12/01
Somersworth,10/29/15
Concord,8/5/01
North Conway,8/5/01
Passaconway,5/15/06
Canterbury,4/1/01
Salem,2/18/01
Wolfeboro,2/18/01
Littleton,2/18/01
New Hampshire (southeastern),2/18/01
Franklin,7/26/02
Walpole,1/3/01
Walpole,2/18/01
Concord,12/20/00
Auburn,12/2/00
Seabrook,12/2/00
Waterville Valley,4/20/17
Hampton Beach,3/21/03
Londonderry,9/17/00
Concord (SE),8/19/00
Colebrook,7/23/00
Newmarket,8/25/00
Newton,6/6/00
Newfields,4/15/00
Greenville,2/22/05
Raymond,8/5/01
Barrington,10/2/99
Columbia,4/28/01
Durham,10/2/99
Canterbury,9/2/05
North Hampton,7/14/99
Salem,6/23/99
Manchester,6/23/99
Portsmouth,4/15/00
Manchester,8/28/03
Wolfeboro,6/23/99
Derry,9/28/02
East Derry,5/24/99
Contocook,9/2/05
Stratham,2/16/99
New Boston,1/28/99
Alton Bay,1/28/99
Manchester,11/1/98
Hampton,5/15/06
Center Harbor,4/1/00
Salem,1/22/00
Holderness,1/28/99
Greenland,3/19/02
Ossipee,1/28/99
Londonderry,7/5/99
I-95 (outside the Maine state border,6/2/98
Franklin,8/16/02
Twin Mountain,8/16/02
Lincoln,5/24/05
Salem,7/25/04
Exeter/Kingston,1/28/99
Manchester,2/10/12
Londonderry,9/24/03
Manchester,2/14/10
Weare,4/12/13
Dover,9/24/03
Ashland,12/2/00
Nashua,8/7/07
Salem,6/18/98
New Hampshire (rural),9/24/03
Cannon,11/2/99
Windham,2/14/08
Portsmouth,1/31/04
Exeter,6/3/03
Windham,11/2/04
South Conway,8/5/09
Nashua,2/14/08
New Durham,12/5/16
Hampstead,12/19/03
Derry,9/19/02
Milford,2/28/13
New London,6/20/05
