date,city
Glenwood,8/24/17
Cape May Wildwood Crest,8/24/17
Cape May (headed toward on Parkway South),8/24/17
Ridgewood,8/11/17
Linwood,8/11/17
Toms River,8/11/17
Woodbridge,8/17/17
Wildwood,8/11/17
Spring Lake,8/11/17
Piscataway,8/4/17
Glassboro,7/23/17
Parlin,7/23/17
Augusta,7/14/17
Manchester,7/7/17
Linden,7/7/17
Manalapan,7/7/17
Delaware Township,7/7/17
West Windsor,7/7/17
West Deptford,7/7/17
Williamstown,7/7/17
Mystic Island,6/22/17
Old Bridge,6/22/17
Mount Laurel,6/15/17
Turnersville,6/22/17
Manalapan,6/15/17
Edison,6/2/17
Northvale,6/2/17
Newark,6/2/17
Randolph,6/2/17
Delmont,6/2/17
Camden,6/2/17
Old Bridge,6/2/17
Hoboken,6/2/17
Howell,5/15/17
Atlantic City,6/9/17
Vineland,5/11/17
Old Bridge,5/11/17
Lawrenceville,5/6/17
Millville,7/7/17
Fords,5/6/17
Burl County,5/6/17
New Brunswick,5/6/17
Palmyra,4/20/17
Fort Lee,4/20/17
Linden,4/20/17
Lincoln Park,5/11/17
Vineland,4/13/17
Williamstown,4/13/17
Bridgewater,4/7/17
Montague,3/23/17
Bayville,3/23/17
Lavallette,3/17/17
Lavallette,3/17/17
Belvidere,3/23/17
Riverdale,3/10/17
Upper Freehold Township,3/10/17
Fremont,3/10/17
Lindenwold,2/22/17
Mananlapan,2/22/17
Jersey City,2/17/17
Wall,2/17/17
Brick,2/17/17
Red Bank,2/10/17
Manalapan,2/10/17
Cape May Court House,2/10/17
Howell,2/10/17
Mays Landing,2/3/17
Berkeley Heights,2/3/17
Pennington,2/3/17
Cinnaminson,1/26/17
Skillman,1/19/17
Bridgewater,1/19/17
Newark,2/3/17
Hardyston Township,1/12/17
West Deptford,1/6/17
East Orange,1/6/17
Burlington,1/6/17
Monroe Twp,12/15/16
West Collingswood,12/15/16
Haskell,12/15/16
Matawan,12/5/16
Asbury Park,12/5/16
Vineland,12/5/16
West New York,12/5/16
Woodbridge,12/5/16
Woodbridge,12/5/16
Tinton Falls,12/5/16
Egg Harbor Township,12/5/16
West Orange,11/11/16
Redbank,11/11/16
Voorhees,11/11/16
Hackensack,11/4/16
Tuckerton,11/4/16
Bayonne,11/4/16
Dover,10/21/16
Edison,10/21/16
South Orange,10/21/16
Secaucus,10/11/16
Union,10/11/16
Howell,10/11/16
Marlton,10/11/16
Somerville (toward; on Route 287),9/30/16
Cranford,9/30/16
East Brunswick,9/30/16
Hamilton,9/30/16
Livingston,9/22/16
Bridgewater,9/22/16
Smithville,9/22/16
Sea Isle City,9/15/16
Ocean City,9/15/16
Ventnor,1/6/17
Haworth,9/9/16
Deptford,9/9/16
Pittsgrove,9/9/16
National Park,9/22/16
Mount royal,9/9/16
Manalapan,9/9/16
Hamburg,9/9/16
Greenwood Lake,9/15/16
Runnemede,8/29/16
Piscataway,9/2/16
Piscataway,9/2/16
Camden,8/29/16
Surf City,8/29/16
Mantua,8/25/16
Swedesboro,8/25/16
Burlington,8/25/16
South Amboy,8/25/16
Lebanon,8/25/16
Atlantic City,8/19/16
Edison,8/16/16
Camden,8/16/16
Bayonne,9/2/16
Washington,8/16/16
Bradley Beach,8/16/16
Cliffside Park,8/4/16
Bamber Lakes,8/25/16
Franklinville,8/2/16
Howell,8/2/16
Marlton,8/2/16
Hamilton Square,7/22/16
Rahway,7/22/16
Stockholm,7/22/16
Oakland,7/22/16
Burlington,7/15/16
Jackson,7/15/16
Blackwood,7/15/16
Blue Star Memorial Highway,7/15/16
Bay Head,7/22/16
Newark,7/15/16
Newark,7/8/16
Millville,7/8/16
Jersey city,8/29/16
Medford,7/8/16
Newton,7/8/16
New Egypt,7/8/16
Bloomfield,7/8/16
Woodbridge,7/8/16
Brigantine,7/8/16
Bridgewater,6/24/16
Mount Laurel,6/16/16
Brigantine,6/1/16
Dorothy,5/26/16
Lafayette,5/20/16
Linden,5/20/16
Linden,5/20/16
Hillsborough,5/10/16
Passaic,4/29/16
North Bergen,4/29/16
Millville,4/22/16
Blackwood,4/22/16
Long Branch,4/22/16
Lakehurst,4/22/16
Fort Lee,4/15/16
Mount Holly,4/22/16
Millville,4/15/16
Warren,4/15/16
High Point,4/15/16
Allentown,4/15/16
Lakewood,4/1/16
Voorhees,4/1/16
Stirling,3/11/16
Bayonne,3/11/16
Pittstown,3/4/16
Belleville,2/26/16
Bridgewater,2/19/16
Watchung,2/26/16
Waretown,2/4/16
Toms River,2/19/16
West Orange,2/4/16
Atlantic City,2/4/16
Clark,2/4/16
Barrington,2/4/16
Forked River,2/4/16
Absecon (most reports),2/4/16
Ocean & Monmouth Counties,1/29/16
Millville,1/23/16
Denvile,1/20/16
Florham Park,1/20/16
Woodland Township,1/20/16
Jackson,1/8/16
Maurice River TWP,1/5/16
Bayville,1/14/16
Elizabeth,1/5/16
Ewing,1/5/16
Robbinsville,12/17/15
Harding,12/3/15
Colts Neck,12/3/15
Cranford,12/3/15
Kenvil,11/26/15
Manchester,12/3/15
Somerset,12/4/15
Sussex,11/19/15
Clifton,11/12/15
Union,11/19/15
Villas,11/19/15
Barnegat,11/12/15
East Rutherford,11/19/15
Mount Laurel,11/6/15
Berlin,11/6/15
Jersey City,11/6/15
Parlin,11/6/15
Wyckoff,11/6/15
West Deptford,11/6/15
Sicklerviller/Turnersville,11/6/15
Lakewood,11/6/15
Paterson,10/29/15
Berlin,10/29/15
Williamstown,10/16/15
Park Ridge,10/16/15
Jackson,10/9/15
Oxford,10/9/15
Flanders,9/29/15
Bayonne,9/29/15
Woodbridge,9/29/15
Paterson,9/29/15
Beach Haven,10/2/15
Edison,9/25/15
Paramus,9/25/15
Lavalette,9/29/15
Andover,9/17/15
Freehold,9/11/15
Barnegat,9/11/15
Newark,9/11/15
Toms River,9/2/15
Wildwood Crest,8/27/15
Jackson,8/27/15
Lavallette,8/27/15
Princeton,8/27/15
Woodbridge,8/27/15
Woodbridge,4/20/17
New Brunswick,8/27/15
Haven Beach,8/13/15
Haven Beach,8/27/15
Runnemede,8/13/15
Wildwood Crest,8/6/15
Lumberton,8/6/15
New Jersey,8/6/15
Phillipsburg,8/6/15
Long Beach Island (North Beach),8/6/15
Edison,8/6/15
Somerville,8/6/15
Whiting,8/6/15
Aberdeen,7/31/15
Wildwood Crest,7/31/15
Wildwood Crest,7/31/15
Freehold,7/23/15
South River,9/2/15
Northfield,7/17/15
Rahway,7/6/15
Freehold,7/6/15
Brick,7/6/15
Scotch Plains,7/6/15
Keansburgh,7/23/15
Toms River,7/6/15
Seacaucus,7/6/15
Pompton Lakes,7/3/15
Forked River,7/17/15
Palmyra,7/3/15
Jackson,7/3/15
Deptford,6/24/15
Spring Lake,7/3/15
Clifton,6/19/15
"Hurffville/Sewell (I-55, MM 55)",6/15/15
Bedminster,6/15/15
Park Ridge,6/15/15
Haledon,7/10/15
Ventnor,6/5/15
Blackwood,6/5/15
Bloomingdale,6/5/15
Clifton,5/29/15
Vernon Township,5/22/15
Butler,5/13/15
Clark,5/8/15
Scotch Plains,4/30/15
Florence,4/30/15
Berlin,4/23/15
Blackwood,6/5/15
Englishtown-Manalapan,4/17/15
Trenton,4/30/15
Beachwood,4/17/15
Sicklerville,4/17/15
Collingswood,4/17/15
Wallington/Passaic,4/8/15
Lebanon,4/3/15
Turnersville,4/3/15
Washington,4/3/15
Villas,3/26/15
Garfield,4/3/15
NJ Parkway (south)(Exit 109),3/20/15
Maple Shade,3/20/15
Clifton,4/17/15
Cherry Hill,3/20/15
Bayonne,3/20/15
Manville,3/20/15
Bayville,3/13/15
Old Tappan,3/13/15
Montclair,3/13/15
Newton,3/13/15
Robbinsville,2/20/15
Hopelawn,2/20/15
Cinnaminson,2/12/15
Hackettstown,2/6/15
Forked River,1/30/15
Basking Ridge,1/30/15
Middlesex,1/26/15
Montclair,1/26/15
Bamber Lakes,1/26/15
Frenchtown,1/16/15
Clementon,1/9/15
Livingston,1/8/16
Egg Harbor Twp,1/7/15
Phillipsburg,1/7/15
Wayne,1/7/15
Belleville,1/7/15
Oak Ridge,12/22/14
West Milford,12/12/14
Vineland,11/26/14
West Deptford,1/26/15
Somerset (?),11/21/14
Bayonne,11/21/14
Somers Point,11/14/14
Wanaque,11/14/14
Carneys Point,11/21/14
Berlin,11/14/14
Cranbury/East Windsor,11/6/14
Nortvale,12/12/14
Cape May,11/6/14
Atlantic City,11/6/14
Mount Laurel,11/6/14
Mahwah/Ramsey border,11/6/14
Cherry Hill,11/6/14
Lawrence,11/6/14
Paramus,11/6/14
Lakewood,11/6/14
Freehold,11/6/14
East Hanover,10/10/14
Califon,10/10/14
Mays Landing,10/10/14
Waretown,10/10/14
Mount Laurel,10/10/14
Pompton Plains,10/10/14
Toms River,10/10/14
Pompton Plains,10/10/14
Keyport,10/3/14
Ocean City,10/3/14
Cape May,10/3/14
Wildwood,10/3/14
Manahawkin,10/3/14
Hamilton,10/3/14
Ocean View,10/3/14
Robbinsville,10/3/14
Newton,10/3/14
Long Hill Township,10/3/14
Butler,9/25/14
Monmouth County,9/17/15
Unknown,9/18/14
Estelle Manor,9/18/14
Watchung,9/18/14
Morganville,9/10/14
Edison,9/10/14
Manahawkin (?),9/5/14
Rossmoor,9/5/14
Galloway,9/5/14
Pompton Lakes,9/5/14
Cherry Hill,8/31/14
Monroe,8/29/14
Woodbridge,9/10/14
Colonia,8/29/14
Newark (near; on NJ Turnpike),8/29/14
Piscataway,8/29/14
Brick,8/29/14
Ringoes,8/29/14
Sayreville,8/29/14
Colonia,8/22/14
