date,city
Santa Fe,8/4/17
Las Cruces,7/27/17
Rock Springs,7/27/17
Roswell,7/23/17
Las Cruces,7/14/17
Gallup,7/14/17
Artesia,7/14/17
Alto,7/14/17
Jal,7/23/17
Taos,7/14/17
Lovington,6/9/17
Belen,6/2/17
Las Cruces,6/2/17
Gallup,6/2/17
Santa Fe,6/2/17
Alamogordo,5/15/17
Camp McGregor,5/6/17
Edgewood,6/2/17
Albuquerque,5/6/17
Albuquerque,5/6/17
Albuquerque,5/6/17
Albuquerque,5/11/17
Albuquerque,4/20/17
Albuquerque,4/20/17
Albuquerque,4/13/17
Hernandez,4/7/17
Shiprock,4/7/17
Albuquerque,4/7/17
Corrales,4/7/17
Albuquerque,4/7/17
Ilfeld,4/7/17
Las Cruces,3/17/17
Santa Fe,3/10/17
Albuquerque,3/10/17
Santa Fe/Eldorado,2/17/17
Espanola,2/17/17
Espanola,2/17/17
Albuquerque,2/10/17
Rivera Maya,2/10/17
Albuquerque,2/3/17
Las Cruces,2/3/17
Los Lunas,1/26/17
Gila,1/26/17
Roswell,1/26/17
Lincoln,1/26/17
Carrizo,4/20/17
San Rafael,1/19/17
Albuquerque,1/19/17
Magdalena,1/12/17
Mountainair,1/19/17
Santa Fe,1/6/17
Rio Rancho,12/21/16
Taos,12/15/16
Navajo,12/15/16
Santa Fe,12/15/16
Roswell,1/19/17
Raton,4/7/17
Albuquerque,8/11/17
Socorro,10/21/16
Mountainair,10/13/16
Las Cruces,10/11/16
Lemitar,10/21/16
Gila,9/22/16
Cloverdale,9/22/16
Tesuque,4/28/17
Los Alamos,9/22/16
Albuquerque,9/22/16
Albuquerque,9/15/16
Jal (15 miles E of),9/15/16
Albuquerque,9/9/16
Santa Fe,9/9/16
Grants,10/11/16
Albuquerque,9/15/16
White Sands,9/22/16
Albuquerque,8/16/16
Tijeras,8/16/16
Rio Rancho,8/16/16
Las Cruces,8/16/16
Philmont Scout Ranch,8/16/16
Clovis,8/16/16
Las Cruces,7/22/16
Albuquerque,7/15/16
Santa Fe,7/8/16
placitas,7/8/16
Rodeo,6/24/16
Santa Fe,6/16/16
Bloomfield,6/1/16
Albuquerque,5/26/16
Santa Fe,6/1/16
Moriarty,5/26/16
Las Cruces,6/16/16
Albuquerque,5/20/16
Santa Fe,5/20/16
Socorro,11/11/16
Santa Fe,5/6/16
Socorro,5/26/16
Alto,4/29/16
"Cibola County (SR 117, MM32)",4/29/16
Los Lunas,4/22/16
Albuquerque,4/15/16
Albuquerque,4/15/16
Albuquerque,4/15/16
Abiquiu,4/15/16
Albuquerque,4/1/16
Albuquerque,5/10/16
Albuquerque,3/24/16
Santa Fe,3/24/16
Nogal,3/18/16
Farmington,3/24/16
West Farmington,3/11/16
"Gage (I-10, Exit 67)",3/11/16
Alamogordo,2/26/16
Waterflow,2/26/16
Alamogordo,2/26/16
Ojo Caliente,2/19/16
Alamogordo,2/26/16
Los Ranchos de Albuquerque,2/11/16
Rio Rancho,2/4/16
Taos,1/29/16
La Luz,1/29/16
