date,city
Buffalo,8/24/17
New York City (Jamaica),8/24/17
Staten Island,8/24/17
Bayshore,8/17/17
Patchogue,8/17/17
Kenmore,8/17/17
Manlius,8/17/17
New York,8/17/17
West Islip,8/11/17
Rotterdam,8/11/17
Troy,8/11/17
Buffalo,8/4/17
Buffalo,8/4/17
Westfield,7/27/17
New York City (Manhattan),7/27/17
Buffalo,7/27/17
Copake,7/23/17
Fulton,7/23/17
Selden,7/23/17
New York City (Manhattan),7/23/17
New York City (Manhattan),7/23/17
Wappingers Falls,7/14/17
Vernon,7/23/17
Somerset,7/14/17
Larmont,7/14/17
New York City (Queens)(Hollis),7/7/17
Franklin Square,7/7/17
Buffalo,7/14/17
Levittown,7/7/17
Patchogue,7/7/17
Lakeville,7/7/17
Lindenhurst,7/7/17
Massapequa,7/7/17
Huntington,7/7/17
Huntington,7/7/17
Mastic Beach,7/7/17
East Norwich,7/7/17
Lisbon,7/7/17
Gloversville,7/7/17
New York City (Bronx),7/7/17
New York City (Manhattan),7/7/17
Holbrook,6/22/17
Colonie,6/22/17
New York City (Queens)(Flushing Meadows),6/22/17
Brushton,6/9/17
Bellmore,6/9/17
Huntington,6/9/17
Little Neck,6/9/17
Slingerlands,6/2/17
Macedon,6/2/17
Buffalo,6/2/17
Marine park Bklyn,6/2/17
Clarence,6/2/17
Webster,6/9/17
Greece,6/2/17
New Windsor,6/2/17
Hudson,6/2/17
Fulton,5/15/17
Higginsville,5/11/17
Greenville,5/11/17
Onchiota,5/6/17
New York City (Brooklyn),5/6/17
Rochester,4/28/17
New York City (upper West Side),4/20/17
Ronkonkoma,4/20/17
Woodbury,4/20/17
Ronkonkoma,4/20/17
Massapequa,4/13/17
New York City (Brooklyn),4/7/17
New York City (Queens),4/7/17
,3/23/17
New Paltz,3/23/17
Livonia,3/23/17
Holbrook,3/10/17
Islip Terrace,3/10/17
Freeport,3/10/17
Beacon,3/10/17
Rosendale,3/10/17
Syracuse,3/10/17
Queensbury,2/22/17
Penfield,2/22/17
New York City (Brooklyn),2/22/17
Massena,2/22/17
Johnson City,2/22/17
Auburn,2/17/17
New York City,2/17/17
Long Beach,2/17/17
Buffalo,2/3/17
Williamsville,2/3/17
Angola,2/3/17
Walden,2/3/17
New York City (Brooklyn),2/3/17
New York City (Brooklyn),1/26/17
New York City (Brooklyn),1/26/17
Wilson,1/19/17
New Paltz,1/26/17
Bloomingburg,1/19/17
New York City (Brooklyn),1/19/17
Chester,1/12/17
Rochester,1/6/17
New York,1/6/17
Deer Park,1/6/17
New York,12/30/16
Syracuse,12/30/16
Syracuse,12/21/16
Fishkill,3/10/17
Binghamton,1/12/17
New York City (Manhattan),12/15/16
Webster,12/15/16
Amherst,12/5/16
Bay Shore,12/5/16
Bergen,12/5/16
Middletown,12/5/16
New York City (Brooklyn),12/5/16
Central Square,12/5/16
New York City (Brooklyn),12/5/16
Obernburg,12/5/16
New York City (Bronx),12/5/16
New York City,12/5/16
Schenectady,12/5/16
Freeport,12/5/16
Watervliet,12/5/16
Staten Island,11/11/16
Ithaca,11/11/16
Rochester,11/11/16
Holland,11/11/16
Wantagh,11/4/16
Miller Place,11/4/16
Albany,11/4/16
Mastic Beach,11/4/16
Schaghticoke,10/27/16
Deer Park,6/2/17
New York City,1/6/17
New York City (Queens),10/21/16
New York City (Brooklyn),10/21/16
New York City,10/27/16
Middletown,10/21/16
Smithtown,5/6/17
Lido Beach,11/4/16
Vestal,10/11/16
New York City (Brooklyn),10/11/16
Hicksville,4/28/17
Slate Hill,10/11/16
Ticonderoga,10/11/16
Hilton,10/11/16
Wappingers Falls,10/11/16
Long Island,10/11/16
Geneva,11/4/16
Sanborn,9/30/16
Penfield,9/30/16
Buffalo,9/30/16
White Plains,9/30/16
Niagara Falls,9/30/16
Buffalo,9/30/16
Syracuse to Phoenix,9/30/16
Cicero,9/22/16
Cicero,9/22/16
Cicero,9/22/16
New York City (Brooklyn),9/22/16
Amherst/Tonawanda,10/11/16
Phoenix to Syracuse,9/22/16
Colton,9/22/16
Baldwinsville,9/22/16
Fort Edward,9/15/16
Granville,9/15/16
Hartsdale,9/15/16
Farmington,9/15/16
Albany,9/22/16
Saratoga Springs,9/15/16
Harrison,9/15/16
Syracuse,9/9/16
Kingston,9/9/16
Albany,9/9/16
Webster,11/4/16
New York City (Bronx),12/5/16
Utica,9/2/16
New York,9/2/16
Pomona,9/2/16
New York City (Bronx),8/29/16
Camden,8/29/16
Spencerport,8/29/16
Malverne,8/29/16
Whitehall,8/25/16
Syracuse,8/25/16
Cleveland (Oneida Lake),9/9/16
Waterloo,8/19/16
New York City (Manhattan),8/16/16
Wassaic,8/16/16
New York City (Middle Village),8/16/16
New York City (Brooklyn),8/16/16
Kingston,8/16/16
Yonkers,8/16/16
Saugerties,8/16/16
Windham (Catskills),8/16/16
Cold Spring,8/4/16
Russia,8/25/16
Centereach,8/4/16
Lancaster,8/2/16
Deer Park,8/2/16
Clarence Center,8/4/16
Mohawk,8/2/16
Fulton,8/2/16
Kingston,8/2/16
Mexico,8/2/16
Owego,7/22/16
New York City (over the Hudson),7/22/16
New York City (Bronx),7/22/16
Syracuse,8/29/16
St. James,7/22/16
New York City (Manhattan),7/22/16
New York City,7/22/16
Syracuse,7/15/16
Hicksville,7/15/16
St. James,7/8/16
Syracuse,7/8/16
New York City (Bronx),9/15/16
Herkimer,7/8/16
Wingdale,7/8/16
Kerhonkson,7/8/16
Belleville,7/8/16
Commack,7/8/16
Amsterdam,7/8/16
Dix Hills,6/24/16
Mount Sinai,6/24/16
New York,7/8/16
Endicott,6/24/16
New York City,6/24/16
Canton,6/24/16
East Northport,6/24/16
Farmingdale,6/24/16
West Babylon,6/24/16
West Babylon,6/24/16
New York,7/8/16
New York City,7/8/16
Flanders,6/10/16
Flanders,6/10/16
Central Square,6/10/16
North Syracuse,6/1/16
Central Square,6/1/16
Albany,6/1/16
Sylvan Beach,6/1/16
New York,6/24/16
New York City (Brooklyn),5/26/16
New York City,5/26/16
New York City,7/15/16
Ronkonkoma,5/26/16
Ronkonkoma,5/26/16
Baldwinsville,5/20/16
Syracuse,5/20/16
Massena,5/20/16
Riverhead,5/20/16
Willard,7/8/16
Johnson City,5/20/16
Pomona,5/6/16
Stony Point,4/29/16
Deer Park,4/29/16
Albany,4/22/16
Alden,4/22/16
Potsdam,4/22/16
Corona (Queens),4/15/16
Tappan,4/15/16
Oneonta,4/15/16
New York City (Yonkers),4/15/16
Lancaster,6/24/16
Pomona,4/15/16
New York City (Queens),4/1/16
Irondequoit,4/1/16
Auburn,4/1/16
New York City (Queens),3/24/16
Lagrange,3/24/16
New York City (Bronx),3/24/16
Lagrange,3/18/16
Ravena,3/18/16
Farmingdale,3/11/16
New York City (Brooklyn),3/11/16
College Point (Queens),3/11/16
Watertown,3/11/16
Pine Bush,3/4/16
Farmingville,3/4/16
New York City (Queens),3/4/16
Suffern,3/4/16
New York City,3/4/16
Binghamton,2/26/16
Harrison,2/26/16
Glens Falls,2/19/16
Gallatin (town of; Red Hook zip),2/26/16
Yonkers,2/19/16
East Aurora,2/19/16
Pottersville,2/26/16
East Hampton,2/19/16
Farmingdale,2/19/16
Staten Island,2/26/16
Batavia,2/11/16
Selkirk,2/11/16
Staten Island,2/11/16
Cheektowaga,2/11/16
Rochester,2/4/16
Hampton Bays,2/11/16
Dansville,2/3/17
Amsterdam,1/29/16
East Aurora,1/29/16
Whitestone,1/29/16
Bolton,2/4/16
Middle Village,1/23/16
New York City (Manhattan),1/20/16
Accord,1/20/16
Woodside,1/20/16
Woodside,1/20/16
Liverpool,1/20/16
Rifton,1/14/16
Cooperstown,1/14/16
New York City (Brooklyn),1/14/16
Pound Ridge,1/5/16
Medford,1/5/16
Elmhurst,1/5/16
Greene,1/5/16
Angola,1/5/16
Cicero,1/5/16
Rochester,1/5/16
Angola,12/21/15
Kenmore,12/17/15
Clifton Park,12/4/15
Staten Island,12/3/15
New York City (Brooklyn),12/3/15
Jamestown,11/26/15
Tuscarora Indian Reservation,11/26/15
New York,12/3/15
Massapequa,11/19/15
Circleville,11/19/15
Middletown,11/19/15
Canton,11/19/15
Canandaigua,11/19/15
Horseheads,11/19/15
Wilson,11/19/15
Baldwinsville,11/19/15
Wynanskill,11/19/15
Massapequa,11/19/15
Albany,11/19/15
Baldwinsville,11/19/15
Hauppauge,11/12/15
Rotterdam/Amsterdam,11/19/15
Morrisville,11/19/15
Buffalo,11/19/15
Swain,11/19/15
East Irondequoit,4/22/16
East Northport,11/19/15
Batavia,11/19/15
Batavia,11/19/15
East Northport,11/12/15
East Northport,11/19/15
Cicero,11/6/15
Ticonderoga,11/6/15
Rensselaer,11/6/15
Wellsville,11/6/15
Saratoga Springs,11/6/15
New York City (Brooklyn),10/29/15
Buffalo,10/29/15
Tonawanda,10/29/15
Ogdensburg,1/12/17
Rochester,10/29/15
Yonkers,10/29/15
Plattsburgh,10/29/15
New York City (Bronx),10/29/15
Patchogue,10/29/15
Tarrytown,10/29/15
Mountain Rd,10/29/15
Buffalo,10/29/15
East Aurora,10/29/15
Schenectady,10/29/15
Ashville,7/8/16
North Tonawanda,10/16/15
Poughkeepsie,10/16/15
Binghamton,10/16/15
Mexico,10/16/15
North Tonawanda,10/16/15
Eden,10/9/15
Massapequa,10/9/15
New York City (Manhattan),10/9/15
Rochester,10/9/15
Kendall,11/6/15
Croghan,10/29/15
Buffalo,10/2/15
East Setauket,10/9/15
Syracuse (20-30 mins away from),9/29/15
New York City (Manhattan),9/29/15
Batavia,9/29/15
Huntington,10/9/15
Bay Shore (Long Island),9/29/15
Rexford,9/29/15
Rochester,10/2/15
Modena,9/29/15
New York City (Brooklyn),9/25/15
Astoria,9/25/15
New York City (Brooklyn),9/25/15
New York City (Brooklyn),9/25/15
New York City,11/19/15
Brunswick,9/17/15
Clifton Park,9/17/15
Staten Island,9/17/15
Peru,9/17/15
Clarence,9/17/15
Buffalo,9/11/15
Staten Island,9/11/15
Red Hook,9/11/15
Valley Stream,9/11/15
Bayville,9/11/15
Chazy Lake,9/11/15
New York City (Manhattan),9/11/15
Black Creek,9/11/15
New York City,9/17/15
Forestburgh,9/11/15
Forestburgh,9/11/15
Bayville,9/2/15
Hicksville,9/2/15
Syracuse,9/2/15
Selden,9/2/15
Syracuse,9/2/15
New City,9/2/15
Staten Island,9/2/15
Oceanside,9/2/15
Port Chester,9/2/15
Orangeburg,8/27/15
Kenmore,8/27/15
Rochester,8/27/15
New York City,8/27/15
New York City (Brooklyn),8/27/15
New York City (Manhattan),9/2/15
North Babylon,8/27/15
Staten Island,8/27/15
New York City (East Harlem),12/21/15
Rome,8/27/15
Centereach,8/27/15
Rochester,8/27/15
Bel,8/27/15
Utica,8/27/15
Liverpool,8/27/15
Delmar,8/27/15
Buffalo,8/27/15
Brantingham,8/27/15
Fonda,8/13/15
Old Bethpage (Long Island),8/13/15
West Falls,9/17/15
New York City (Brooklyn),8/13/15
Sayville/Blue Point (general area),8/13/15
Cortland,8/13/15
Olmsteadville,11/6/15
Old Field,8/13/15
Irondequoit,8/6/15
Hicksville,8/6/15
Mastic Beach,8/6/15
Lagrange,8/6/15
Auburn,8/6/15
Long Beach,8/6/15
Castleton,7/31/15
Weedsport,8/6/15
Diamond Point,7/31/15
Alden,7/31/15
New York City,7/31/15
Merrick,7/31/15
Bohemia,9/29/15
Staten Island,7/31/15
Wantagh,7/31/15
Wantagh,7/31/15
Monroe,7/23/15
Amherst,7/23/15
New Paltz,7/23/15
Monroe,7/23/15
Centerport,7/31/15
Wilson,7/23/15
Asbury Park,7/23/15
Sag Harbor,7/23/15
Cicero,7/17/15
Lake George (Lake George Village ),9/11/15
Patchogue,7/17/15
Fishkill,7/17/15
North Tonawanda,7/17/15
Syracuse,7/17/15
New York City (Bronx),7/17/15
Farmingville,7/17/15
Coram,12/21/16
East Amherst,7/17/15
Mastic Beach,7/17/15
Mastic Beach,7/17/15
Rochester,7/10/15
Palermo,7/6/15
Schuylerville,7/6/15
Lindenhurst,7/17/15
Rochester,7/6/15
New York City (Maspeth),7/6/15
Middletown,7/6/15
Middletown,8/27/15
New York City (Manhattan),7/6/15
Middletown,7/6/15
New York City (Brooklyn),7/6/15
Patchogue,7/10/15
Webster,7/6/15
Levittown,7/6/15
Dix Hills,7/6/15
Syracuse,7/6/15
Maspeth,8/6/15
Syracuse,7/17/15
Poughkeepsie,7/6/15
Plainview,7/6/15
Syracuse,7/6/15
Henderson Bay,7/6/15
Phoenix,7/6/15
Sugar Loaf,7/3/15
Poughkeepsie,7/3/15
Floral Park,7/3/15
High Falls,7/17/15
Angola,7/3/15
Albany,7/3/15
Rochester,7/3/15
Forest Hills,7/3/15
Forest Hills,7/3/15
Endwell,6/24/15
East Meadow,6/24/15
New York City,6/24/15
Amherst,6/24/15
Wilton,6/24/15
Pottersville,6/24/15
Webster,6/19/15
Raleigh,6/15/15
Jamestown,6/19/15
New Berlin,6/15/15
Oakdale,6/15/15
Springville,6/15/15
Lake George,6/15/15
Bethpage,6/5/15
Pendleton,6/5/15
Bouckville,6/5/15
Webster,9/11/15
Hamburg,6/5/15
Coram,6/5/15
Minoa,6/15/15
Middletown (west of),5/29/15
Middle Grove,5/29/15
North Tonnawanda,6/15/15
Niagara Falls,11/19/15
Utica,5/29/15
Auburn,5/29/15
Webster,5/29/15
Middle Island,5/29/15
Melville,5/22/15
Rockville Centre,5/22/15
Hartsdale,6/15/15
Rochester,5/15/17
Akron,5/22/15
Tonawanda,5/13/15
Floral Park,5/13/15
Buffalo,5/8/15
New York City (Manhattan),5/13/15
Port Crane,5/8/15
West Seneca,6/5/15
Syracuse,5/8/15
New Hartford,5/8/15
Cazenovia,5/8/15
Lake George,4/30/15
Thompson Ridge,4/30/15
Fredonia,6/5/15
Johnson City,4/23/15
Herkimer,4/30/15
Staten Island,4/23/15
Garden City,4/23/15
Queensbury,4/23/15
Niagara Falls,4/17/15
Long Beach (Long Island),4/23/15
Fullerville,4/17/15
Syracuse,4/17/15
San Francisco,4/3/15
Yonkers,4/3/15
Rocky Point,4/3/15
Staten Island (near Verezano Bridge),4/23/15
Valley Stream,1/20/16
Holtsville,4/3/15
Lockport,4/17/15
New York City (Bronx),3/26/15
Staten Island,3/26/15
Albany,3/26/15
Wappingers Falls (over The Hudson River),3/20/15
Fishkill,3/20/15
Kendall,3/20/15
Medford,3/13/15
Beacon,3/13/15
Lansing,3/13/15
Albany,3/13/15
Corning,3/13/15
Rensselaer,3/13/15
Syracuse,3/6/15
Phelps,3/6/15
Jackson Heights,2/20/15
Guilderland,2/20/15
Lockport,7/31/15
West Babylon,2/6/15
"Jackson Heights (NYC, Queens)",2/6/15
Stormville,2/6/15
Yorktown/Jefferson Valley,2/6/15
Staten Island,1/30/15
Highlany,2/6/15
New York City (Bronx),1/26/15
East Rockaway,1/26/15
Buffalo,1/26/15
Mount Morris,2/6/15
Johnstown,1/16/15
Kingston,2/20/15
Rochester,1/16/15
Staten Island,1/7/15
West Babylon,1/7/15
Carmel,1/7/15
New York City (Bronx),1/7/15
Yorktown,1/7/15
Ballston Lake,1/7/15
Carmel,1/7/15
Millbrook,1/7/15
Oswego,1/7/15
Hempstead,1/7/15
Harrison,6/5/15
Centereach/Bohemia,1/7/15
Rocky Poiint,1/7/15
Kenmore,1/7/15
New York City (Manhattan),1/7/15
West Hempstead,12/22/14
Staten Island,12/22/14
Staten Island,1/26/15
Staten Island,12/22/14
Sherburne,12/18/14
Pawling,12/18/14
New York City,12/18/14
New York City (Brooklyn),12/18/14
Yorktown Heights,12/12/14
Patterson,12/12/14
Stony Point,12/5/14
New York City (Brooklyn),12/5/14
New York City (Brooklyn),12/5/14
Rochester,11/26/14
Waterloo,11/26/14
Albany,11/21/14
Elmira,11/21/14
Astoria (Queens),11/21/14
New York City,11/21/14
Cambria,11/21/14
Holtsville,11/14/14
Holmes,11/6/14
Tarrytown,11/6/14
Johnson City,11/6/14
Lake Luzerne,11/6/14
New York City (Brooklyn),11/6/14
Utica,11/6/14
Gouverneur,11/6/14
Wappinger's Falls,11/6/14
Canton,11/6/14
Dix Hills,11/6/14
Niagara Falls,4/23/15
Spencer,11/6/14
Schenectady,11/6/14
Parishville,11/6/14
Parishville,11/6/14
Staten Island,11/6/14
Barryville,11/6/14
Fishkill,11/6/14
Batavia,11/6/14
New York City (Manhattan),11/6/14
Pearl River,11/6/14
Shirley,11/6/14
Branchport,11/6/14
Amherst,10/10/14
New York City (Brooklyn),10/10/14
Newburgh,10/10/14
Mastic,10/10/14
Ronkonkoma,10/10/14
Colonie,10/10/14
New York City (Brooklyn),10/10/14
Mexico,10/3/14
Baldwinsville,10/3/14
New York City (Brooklyn),10/3/14
New York City (Ridgewood; Queens),10/3/14
Orchard Park,10/3/14
Grand Island,11/6/14
White Plains,10/3/14
Buffalo,10/3/14
Rotterdam,11/6/14
Port Jefferson,10/3/14
Grand Island,10/3/14
North Greenbush,9/25/14
Saratoga Springs,9/25/14
Forestville,9/25/14
Corinth,9/25/14
Rochester,10/3/14
New York City (Jamaica),9/25/14
North Tonawanda,9/25/14
Patchogue,9/25/14
Balmville,2/20/15
Newburgh,9/18/14
Goshen,9/18/14
Dansville,9/18/14
Duanesburg,9/18/14
New York City (Queens),9/18/14
Levittown,9/18/14
New York City (Brooklyn),9/18/14
New York (Remsaleer Train Station),9/18/14
New York City (Bronx),9/18/14
Fulton,9/10/14
Binghamton,9/10/14
Liberty,9/10/14
Schenectady,9/10/14
Fort Edward,9/10/14
Lisbon,9/10/14
Lackawanna,9/10/14
Clarence,9/5/14
New York City,9/5/14
Brentwood,9/5/14
Glens Falls,9/18/14
Syracuse,9/5/14
North Tonawanda,8/31/14
New York City (Bronx),9/18/14
Syracuse,8/31/14
Liverpool (north Syracuse),9/5/14
New York City (Brooklyn),8/31/14
Syracuse,8/29/14
Clarence Center,8/29/14
East Northport,8/31/14
Lockport,8/29/14
Merrick,8/29/14
Sayville,8/31/14
Massapequa,8/31/14
Riverhead,8/29/14
Red Hook,8/29/14
New York City (Manhattan),10/29/15
Westmoreland,8/29/14
Pine Bush,9/10/14
Rochester,8/29/14
Peru,8/29/14
Central Islip,8/29/14
Port Crane,9/25/14
Morrisonville,8/29/14
Auburn,8/29/14
Watkins Glen,8/29/14
New York City (Brooklyn),8/29/14
Oceanside,8/29/14
Kingston,8/29/14
Wantagh,8/29/14
Colden,8/29/14
New York City,8/22/14
Pendleton,8/29/14
Corinth,8/31/14
Tonawanda,8/22/14
Buffalo,8/22/14
Astoria,8/22/14
Rome,8/22/14
Adams,8/22/14
Rochester,8/22/14
Westbury,8/22/14
Warrensburg,8/22/14
Selkirk,4/30/15
Clifton Park,8/15/14
Clifton Park,8/15/14
New York City (Brooklyn; Williamsburg),10/21/16
Tonawanda,8/15/14
New York City (Manhattan),8/15/14
Youngstown,8/15/14
Holtsville,8/15/14
Sacket's Harbor,3/6/15
Buffalo,9/10/14
Rochester,8/8/14
Greece,8/8/14
Fishkill,8/8/14
Freeport,8/8/14
