date,city
Charlotte,8/24/17
Lake Wiley,8/24/17
Oakboro,8/17/17
Louisburg,8/11/17
Greensboro,8/11/17
Fayetteville,8/24/17
Pikeville,8/4/17
Lexington,8/4/17
Weaverville,8/11/17
Cornelius,7/27/17
Epsom,7/27/17
Asheboro,7/23/17
Washington,7/23/17
Charlotte,7/14/17
Beaufort,7/23/17
Morehead City,7/14/17
Hendersonville,7/14/17
New Bern,7/7/17
Candler,7/23/17
Goldsboro,7/7/17
Swansboro,7/7/17
Kinston,6/22/17
Durham,6/15/17
Emerald Isle,7/14/17
Cherokee,6/15/17
Bessemer City,6/9/17
Durham,6/9/17
Wilmington,6/2/17
Salisbury,6/2/17
Statesville,5/15/17
Durham,5/11/17
Taylorsville,4/13/17
Asheboro,4/13/17
Fayetteville,4/20/17
Snow Camp,4/13/17
Stem,4/13/17
Statesville,4/13/17
Fontana,4/13/17
Clyde,5/6/17
Pittsboro,4/7/17
Thomasville,4/7/17
Asheville,3/23/17
Raeford,3/23/17
Currie,3/23/17
Carthage,3/23/17
Charlotte,6/2/17
Mount Airy,3/17/17
Sanford,3/17/17
Concord,3/17/17
Mt. Airy,3/17/17
Greensboro,3/10/17
Siler City,2/22/17
Grifton,3/10/17
Winterville,2/17/17
Grifton,3/10/17
Aberdeen,2/17/17
Highlands,2/17/17
King,2/17/17
Fuquay Varina,2/17/17
Hurdle Mills,2/17/17
Richlands,2/3/17
Fletcher,8/4/17
Greenville,2/3/17
Trinity,2/3/17
Wendell,2/3/17
Hillsborough,2/3/17
Hickory,2/3/17
Greensboro,1/26/17
Greensboro,1/26/17
Fayetteville,1/26/17
Concord,1/19/17
Edneyville,1/19/17
Greensboro,4/20/17
Asheboro,1/19/17
Troy,1/19/17
Franklinton,1/19/17
Hendersonville,1/12/17
Hope Mills,1/6/17
Fuquay,1/6/17
Millers Creek,12/30/16
Hillsborough,12/30/16
Hickory/Conover,12/15/16
High Point,12/15/16
Reidsville,12/5/16
Mooresville,12/5/16
Charlotte,12/5/16
Shallotte,12/5/16
Graham,12/5/16
Zebulon,12/5/16
Fletcher,12/5/16
High Point,12/5/16
Wilkesboro,12/5/16
Durham,12/5/16
Raleigh,12/5/16
Albemarle,11/11/16
Wilmington,11/11/16
Delco,12/5/16
Sanford,11/11/16
Goldhill,11/11/16
Charlotte,11/11/16
Whittier,11/4/16
Corolla,11/4/16
Mt. Pleasant,11/4/16
Greensboro,11/4/16
Hickory,11/4/16
Cherryville,11/4/16
Asheboro,10/27/16
Ayden,11/11/16
Winston-Salem,10/27/16
Kannapolis/Mooresville,10/27/16
Kannapolis/Mooresville,10/27/16
North Topsail Beach,10/27/16
High Point,12/5/16
Wallace,10/21/16
Charlotte,10/21/16
Dobson,10/21/16
Winston-Salem,10/21/16
High Point,12/5/16
Charlotte,10/27/16
Gates,10/13/16
Greensboro,10/13/16
Carrboro,10/11/16
Candor,10/11/16
Mooresville,10/11/16
Black Mountain,9/30/16
Walkertown,9/30/16
Mebane,9/22/16
Charlotte,9/22/16
Richlands,9/22/16
Belmont,9/22/16
Lewisville,9/30/16
Carolina Beach,9/15/16
Wilmington,9/15/16
Atlantic Beach,9/15/16
Kure Beach,9/15/16
Emerald isl,9/15/16
Charlotte,9/15/16
Erwin,9/9/16
Fayetteville,9/9/16
Raleigh,9/9/16
Durham,9/15/16
Wake Forest,9/15/16
Raleigh,9/9/16
Mebane,9/9/16
Franklin,9/9/16
Asheboro,9/9/16
Wake Forest,9/9/16
Vale,9/2/16
Concord,9/9/16
Fayetteville,9/2/16
Surf City,9/22/16
Raeford,1/26/17
Surf City,9/15/16
Wilson,8/29/16
Goldsboro,8/29/16
Asheboro,8/25/16
Monroe,8/25/16
Hamlet,8/19/16
Cornelius,8/16/16
Elizabeth City,8/25/16
Raleigh,8/16/16
Indian Trail,8/16/16
Gastonia,8/25/16
Angier,8/16/16
Durham,8/16/16
Emerald Isle,8/16/16
Wilmington,8/16/16
Garner,12/15/16
Fayetteville,8/2/16
Gastonia,8/2/16
Charlotte,8/4/16
Asheville,8/2/16
Topsail,8/2/16
Pittsboro,8/2/16
Kure Beach,8/2/16
Candler,8/2/16
Cornelius,8/2/16
Fayetteville,7/22/16
Shallotte,8/2/16
Holden Beach,7/22/16
Ash,7/22/16
Winston-Salem,7/22/16
Tryon Equestrian Center,7/22/16
Charlotte,7/22/16
Waves,7/22/16
Clemmons,7/15/16
Fayetteville,7/15/16
Wilmington,7/15/16
Fayetteville,7/8/16
Myrtle Beach,7/8/16
Salisbury,7/8/16
Lexington,7/8/16
Charlotte,7/8/16
Fayetteville,6/24/16
Mooresville,6/24/16
Bogie Sound (Emerald Isle Bridge),6/24/16
Fuquay Varina,6/24/16
Avon,6/24/16
Mills River,6/24/16
Mills River,6/24/16
Greensboro,7/15/16
Kure Beach,6/16/16
Garner,6/24/16
Indian Trail,6/16/16
Apex,6/16/16
Greensboro,6/16/16
Mooresville,6/10/16
Thomasville/Greensboro,6/16/16
Charlotte,6/10/16
Fuquay Varina,6/10/16
Boone,6/10/16
Como,6/10/16
Thomasville,6/10/16
Hickory,6/3/16
Johnsonville,6/1/16
Franklinton,6/1/16
Fayetteville,5/26/16
Sunny View,6/1/16
Emerald Isle,5/26/16
Concord,5/26/16
Otto,5/20/16
Fayetteville,5/20/16
Raleigh,5/20/16
Charlotte,5/20/16
Columbus,6/1/16
Winston-Salem/Lexington,5/20/16
Maxton,5/20/16
Norwood,5/10/16
Hertford,5/10/16
Calabash,5/6/16
Summerfield,5/6/16
Oak Island,4/29/16
Oak Island,4/29/16
Oak Island,4/29/16
Henderson,4/29/16
Oak Island,4/22/16
Nags Head,4/22/16
Summerfield,4/22/16
Raleigh,4/29/16
Statesville,4/15/16
Richlands,4/22/16
Red Cross,4/15/16
Walkertown,4/15/16
High Point,4/1/16
Winston-Salem,4/1/16
Monroe,4/1/16
Ocean Isle Beach,4/1/16
Indian Trail,8/29/16
Kernersville,3/18/16
Smithfield,3/18/16
Raleigh,3/18/16
Mineral Springs,3/18/16
Rosman,3/18/16
Charlotte,3/18/16
Biscoe,3/11/16
Graham,3/11/16
Nags Head,3/11/16
Kill Devil Hills,3/11/16
Wilmington,3/11/16
Hurdle Mills,3/11/16
Hayesville,3/11/16
Princeton,3/24/16
Cherryville,3/4/16
Charlotte (outside of; I-485),3/4/16
Durham,2/26/16
Oak Island,4/29/16
Kill Devil Hills,2/19/16
Hertford,2/19/16
Greensboro,2/19/16
Henderson,2/26/16
Graham,2/11/16
Winston-Salem,2/11/16
Southmont,2/11/16
Cooleemee,2/19/16
Durham,2/11/16
Durham,2/11/16
Raleigh,2/11/16
Arden,1/29/16
Four Oaks,1/29/16
Durham,2/4/16
Asheville,2/4/16
Asheville,1/23/16
Mill Spring,1/20/16
Mount Airy,1/20/16
Hendersonville,1/14/16
Nashville,1/14/16
Ivanhoe,1/14/16
Raleigh,1/14/16
Four Oaks,1/14/16
Candler,1/8/16
Carolina Beach,1/8/16
Fuquay Varina,1/5/16
Matthews,1/5/16
Bessemer City,1/5/16
Weaverville,1/5/16
Troutman,1/5/16
Four Oaks,1/5/16
Four Oaks,12/21/15
Elizabeth City,12/21/15
Raleigh,12/17/15
Durham,1/5/16
Mooresville,12/17/15
Mooresville,12/17/15
Wilmington,12/17/15
Troutman,12/17/15
Fayetteville,12/17/15
Buxton,12/17/15
Holly Springs,12/10/15
Pittsboro,12/17/15
Morehead city,12/10/15
Wilmington (?),12/10/15
Angier,12/3/15
Wake Forest,12/3/15
Winston-Salem,12/3/15
Asheville,11/26/15
Gibsonville,11/26/15
Hickory,11/26/15
Snow Camp,11/20/15
Charlotte,11/20/15
Cary,11/20/15
Hickory,11/20/15
Charlotte,11/19/15
Charlotte,11/19/15
Boone,11/19/15
Boone,11/19/15
Charlotte,11/19/15
Marshallberg,11/19/15
Clemmons,11/19/15
Boiling Springs,11/19/15
Wilmington,11/19/15
Swannanoa,11/19/15
Walkertown (Johns Road),11/19/15
Elm City,11/19/15
Hendersonville,11/20/15
Mount Airy,11/6/15
Surf City,11/6/15
Salisbury,10/29/15
Greenville,10/29/15
Mount Holly,10/29/15
Kannapolis,10/29/15
Rockingham,10/29/15
Boiling Springs Lake,10/29/15
Durham,10/29/15
Raleigh,10/16/15
Burlington,10/16/15
Hertford,10/16/15
Currie,11/6/15
Raleigh,9/29/15
Greensboro,9/25/15
Gastonia,9/17/15
Raleigh,9/17/15
North Topsail Beach,9/17/15
Hickory,9/17/15
Waynesville,9/11/15
Charlotte,9/11/15
Franklinton,10/9/15
Burnsville,9/17/15
Wake Forest,9/11/15
Graham,9/2/15
Raleigh,8/27/15
Harrisburg,8/27/15
Charlotte,9/2/15
Weverville,8/27/15
Raleigh,8/27/15
Burlington,8/27/15
West Jefferson,8/27/15
Asheville,8/13/15
Concord,8/13/15
Raeford,8/13/15
Weddington/Wesley Chapel,8/6/15
Newton,8/6/15
Maiden,8/6/15
Franklin,8/6/15
Salvo,8/6/15
Southern Pines,7/31/15
Cameron,8/27/15
Durham,7/31/15
Monroe,7/31/15
