date,city
Cavalier,7/14/17
Fargo,7/7/17
Wahpeton,6/2/17
Ruso,3/17/17
Bismarck,12/5/16
Fargo,12/5/16
Lidgerwood,11/11/16
Lidgerwood,11/11/16
Sarles,11/11/16
Cary,10/27/16
Fargo,8/16/16
Grand Forks,7/8/16
Sentinel Butte,6/24/16
Grand Forks,3/11/16
Hillsboro,1/20/16
Dickinson,1/5/16
Surrey,1/5/16
Minot,11/19/15
Bismarck,9/25/15
Bismarck,9/25/15
Fargo,9/25/15
Bismarck,8/27/15
Davenport,8/13/15
Valley City,8/13/15
West Fargo,6/15/15
Rugby,4/8/15
Newtown,3/6/15
Minot,11/6/14
Bismarck,4/17/15
Mandan,1/7/15
Trenton,4/7/17
Trenton,9/18/14
Devils Lake,9/18/14
Grand Fork,8/1/14
Grand Forks,7/26/14
Thompson,7/26/14
Minot,6/4/14
Washburn,1/30/14
Grand Forks,12/12/13
Langdon,9/30/13
Hazen,9/30/13
Hazen,8/30/13
Bismarck,8/30/13
Fargo,8/11/17
Fargo,7/5/13
Grand Forks,9/24/12
Penn,8/5/12
Grand Forks,1/10/14
Belcourt,7/4/12
Minot,6/14/12
New Town (near; on Hwy 23 between city and Hwy 83),5/29/12
Bismarck,5/13/12
Fargo,5/13/12
Belcourt,2/4/13
Casselton,5/13/12
Casselton,4/18/12
Williston,11/19/12
Mayville,1/12/12
Fargo/Valley City (between),12/12/11
Bismarck,10/10/11
Minot AFB,10/10/11
Minot,10/10/11
Fargo,8/21/11
Halliday,8/21/11
Minot,11/19/12
Dickinson,11/14/14
Minot,5/2/11
Grand Forks,5/2/11
North Bismarck,5/13/12
Williston,7/28/10
Devils Lake,8/5/12
Richardton,7/6/10
Bismarck,6/10/10
Fargo,4/13/10
Garrison,12/12/09
Grand Forks,3/27/14
Mandan,8/27/09
Minot,8/27/09
Grand Forks,8/27/09
Minot AFB,9/24/12
Grand Forks,6/9/09
Fargo,6/9/09
Bismarck,5/12/09
Langdon,1/10/09
Minot,10/31/08
Bismarck,10/31/08
Williston,10/31/08
Casselton,10/31/08
Grand Forks AFB,10/31/08
Hazen,8/12/08
Bismarck,7/5/08
Colfax,7/29/10
Hope,1/21/08
Minot,10/8/07
Hazelton,8/14/07
Wheatland,8/7/07
Williston,8/7/07
Fargo,6/12/07
Grand Forks,4/27/07
Strasburg,12/7/06
Mandan,12/7/06
Fargo,10/30/06
Fargo,10/30/06
Max,3/4/08
Grand Forks,5/15/06
West Fargo,5/15/06
Grand Forks,2/14/06
Fargo,12/16/05
Underwood,7/5/05
Tuttle,6/20/05
Glen Ullin,4/16/05
Max,12/3/04
Minot,12/3/04
Jamestown,3/19/09
Minot,6/12/08
Bismarck,8/24/04
Fort Yates,8/24/04
Fargo,8/11/04
West Fargo,7/8/04
"North Dakota (over, inflight)",3/2/04
Dickinson,12/9/03
Bismarck,12/9/03
Wahpeton,8/28/03
Minot,7/16/06
Minot (Burlington actually but put minot bc its 7 miles a),3/2/04
Tioga,8/4/03
Tioga,8/1/03
Wildrose,3/21/03
Hebron,8/5/09
Mercer,12/23/02
Dickinson,9/6/02
Hickson,6/12/02
Aneta (by/near),1/11/02
Napoleon,1/11/02
Napoleon,11/20/01
Wahpeton,8/16/02
Fort Totten,8/5/01
White Butte (near),10/31/03
Devils Lake,12/5/01
Fargo,12/2/00
Belfield,8/28/02
Bismarck,12/2/00
West Fargo,10/30/06
Mandaree,12/9/00
Fargo,9/12/99
Theodore Roosevelt National Park exit 32 on I-94 North Dakot,6/23/99
Cartwright,4/27/07
Fargo,12/16/99
Fargo,11/20/02
Fargo,4/26/99
Burlington,5/15/13
Mandan,11/1/98
Fargo,8/28/03
Minot,1/28/99
Belfield,7/25/04
Jamestown,10/12/01
Bismarck,11/2/99
Bismarck,11/2/99
Bismarck,11/8/05
Beach,11/2/99
Menoken,1/28/99
Minot,2/18/11
Washburn,11/28/07
Brunswick County,11/2/99
Williston,11/2/99
McKenzie,11/2/99
Mandan (south of),3/18/14
Fargo,11/2/99
"Central U.S. (enroute, in-flight)",4/2/99
Fargo,11/2/99
Wishek,2/21/14
Forest River Colony,8/17/17
Belfield,6/1/16
Valley City,5/4/04
Nome,11/1/98
Minot,12/9/03
Fargo,1/28/99
Amenia,2/14/08
Grand Forks,5/12/09
Grand Forks,4/29/16
Berthold,11/28/07
Fargo,11/21/10
Williston,12/16/05
Minot,1/10/09
Kindred,8/5/01
Minot,6/18/04
Minot,4/27/07
Minot AFB,5/20/16
Williston,1/28/99
Dickinson,3/21/03
Arthur,10/31/03
Fargo,5/27/03
Gackle,12/3/04
Valley City (6.5 miles east of),6/12/08
