date,city
Carlisle,8/24/17
Spring Valley,8/24/17
Oxford,8/24/17
North Ridgeville,8/17/17
Cincinnati,8/17/17
Mount Pleasant,8/24/17
Mount Pleasant,8/17/17
Cincinnati,8/17/17
Mayfield Hts,8/17/17
Cincinnati,8/17/17
Cleveland (east side of),8/17/17
La Rue,8/11/17
Kent,8/11/17
Carrollton,8/11/17
Newbury,8/4/17
Mayfield,8/4/17
Winterset,7/27/17
Columbus,8/4/17
Loveland,7/27/17
West Chester,7/23/17
Columbus,7/23/17
Canal Winchester,7/23/17
Gallipolis,7/23/17
North Canton,7/23/17
Bowling Green,7/14/17
Mentor,7/14/17
Columbus,7/23/17
Broadview Heights,7/7/17
Waters,7/7/17
Marysville,7/7/17
Miamiville,7/7/17
Columbus,7/7/17
Paulding,7/7/17
Waverly,6/22/17
Streetsboro,6/22/17
Bucyrus,6/22/17
Aurora,6/22/17
Circleville,6/22/17
Massillon,6/15/17
Roseville,6/15/17
New Philadelphia,6/9/17
Fairfield,6/9/17
Boardman,6/9/17
Columbus,6/2/17
Delaware,6/2/17
Fort Loramie,5/15/17
Minster,6/2/17
Toledo,5/15/17
Belpre,5/15/17
Centerville,5/15/17
Gallipolis,5/15/17
Ontario,5/11/17
Canton,5/11/17
Amanda,5/11/17
West Union,5/6/17
Georgesville,8/17/17
Vienna,4/28/17
Marysville,4/28/17
Hanging Rock,4/28/17
Uniontown/Kent,4/20/17
Portsmouth,4/20/17
Jackson,4/20/17
Columbus,4/13/17
Chesapeake,4/20/17
Columbus,4/7/17
Hamilton,4/7/17
Fairborn,4/7/17
Lewis center,3/17/17
Cleveland,3/10/17
Hamilton,3/10/17
Ravenna,3/10/17
Brook Park,3/10/17
Marietta,3/10/17
Cuyahoga Falls,2/22/17
Toledo,2/22/17
Mt. Orab,2/17/17
Chillicothe,2/17/17
Chillicothe,2/17/17
Bethel,2/17/17
Ashtabula,2/17/17
Medina,2/17/17
Mt. Orab,2/17/17
Novelty,2/17/17
Youngstown,2/10/17
Reynoldsburg,2/10/17
Chardon,2/3/17
Holland,1/26/17
Holiday,1/19/17
Girard,12/30/16
Huber Heights,12/21/16
Lancaster,12/21/16
Zanesvill,4/28/17
Columbus,12/5/16
Stone Creek,12/5/16
Carrollton,12/5/16
Athens,12/5/16
Barberton/Akron,4/13/17
Old Washington,12/5/16
Columbus,12/5/16
Centerville,12/5/16
Vienna,12/5/16
Findlay,11/11/16
Columbus,11/11/16
Junction City,11/4/16
Canton,11/4/16
Circleville,11/11/16
Kettering,4/7/17
Mayfield Heights,11/4/16
Jeromesville,11/4/16
Pickerington,10/27/16
Waverly/Chillicothe,11/11/16
Madison,10/21/16
Centerburg,10/21/16
Hamilton,10/11/16
Marietta,10/27/16
Marietta,10/21/16
Cincinnati,10/11/16
Marietta,11/4/16
Kettering,10/11/16
Columbus,10/11/16
Greenfield,10/21/16
Coshocton,10/11/16
Kettering,10/11/16
Navarre,9/30/16
Montville,9/30/16
Cincinnati,9/30/16
Akron,9/30/16
New Holland,9/30/16
Cleveland,9/30/16
Cincinnati,9/22/16
Columbus,9/22/16
Lewis center,9/22/16
Soringfield,9/15/16
Blanchester,9/15/16
Blanchester,9/15/16
Mount Orab,9/15/16
Waverly,9/15/16
Dayton,9/15/16
West Portsmouth,9/15/16
Riverside,9/15/16
Lima,9/22/16
Eaton,9/15/16
Brilliant,9/9/16
Fairborn,9/9/16
Dayton,9/9/16
Fairborn,9/15/16
Kettering,9/22/16
Nashport,9/9/16
Columbus,9/2/16
Columbus,9/2/16
Canton,8/29/16
Hilliard,8/25/16
Sylvania,8/25/16
Perrysburgh,8/19/16
Cadiz,8/19/16
Hilliard,8/25/16
Berea,8/16/16
Reynoldsburg,8/16/16
Stone Creek,8/16/16
Ashland,8/16/16
East Liverpool,8/16/16
Galion,8/16/16
Dresden (near),8/29/16
Elyria,8/16/16
Fairborn,11/11/16
Englewood,8/4/16
Mount Gilead,8/4/16
Baltimore,8/4/16
Toledo,8/2/16
Toledo,8/4/16
Massillon,8/2/16
Canton,8/2/16
Xenia,7/22/16
Fairborn,7/15/16
Galion,7/15/16
Wilmington,7/15/16
North Canton,7/8/16
Warren,7/8/16
Cleveland,7/8/16
Rootstown,7/8/16
Akron,7/8/16
Toledo,7/8/16
Cairo,7/8/16
Columbus,7/8/16
Columbus,7/8/16
Newton Falls,7/8/16
Novelty,7/8/16
Spencerville,6/24/16
Centerburg,6/24/16
Lancaster,6/24/16
Lancaster,6/16/16
Mount Vernon,6/16/16
Columbus,6/10/16
Toledo,6/10/16
Elyria,6/1/16
Port Clinton,6/1/16
Northfield,6/1/16
Geneva,5/26/16
Pataskala,5/26/16
Mentor,5/26/16
Mantua,5/6/16
Beavercreek,6/1/16
Pataskala,4/22/16
Lewis Center,4/22/16
Liberty Township,4/29/16
Reading,4/22/16
Hilliard,4/22/16
Boardman,3/10/17
Hamilton,4/15/16
Dayton/Fairborn,4/15/16
Cleveland,4/15/16
Elyria,4/1/16
New Lexington,4/1/16
Cincinnati,3/24/16
Franklin Furnace,3/18/16
Columbus,3/11/16
Columbus,3/4/16
Jacksonville,3/4/16
Cincinnati,2/26/16
Lordstown,2/26/16
Colerain Township,2/26/16
Newtown,2/26/16
Columbus,2/26/16
Columbus,2/19/16
Pataskala,2/11/16
Akron,2/11/16
North Canton,2/19/16
Medina,3/11/16
Uniontown,1/29/16
Concord,1/29/16
Lancaster,7/23/17
North Canton,1/23/16
Burbank,1/20/16
Columbus,1/14/16
Lordstown (near; on I-80),1/14/16
McComb,1/5/16
Dayton,12/17/15
Columbus,12/17/15
Marietta,12/17/15
New Bloomington,12/10/15
Bexley,12/10/15
Sugar Grove,11/26/15
Canton,11/26/15
Lucasville,11/26/15
Dayton,11/26/15
Miamisburg,11/26/15
Chillicothe,11/26/15
west union,11/26/15
Springfield,11/20/15
New Richmond,11/19/15
Chardon,11/19/15
Xenia,11/19/15
Gary,11/19/15
Columbus,11/19/15
Trotwood/Englewood,11/19/15
Gahanna,11/19/15
Bremen,11/6/15
Hilliard,11/6/15
Campbell,11/6/15
Copley,11/6/15
Cleveland Heights,11/6/15
Toledo,11/6/15
Toledo,11/6/15
Chillicothe,11/6/15
Parma Heights,10/29/15
North Ridgeville,10/29/15
Hilliard,10/29/15
Dayton,10/29/15
Mismisburg,10/29/15
Pickerington,10/29/15
Franklin,10/29/15
Cincinnati,10/29/15
Medina,10/29/15
Cincinnati,11/6/15
Grove City,10/29/15
Springfield,10/16/15
Kettering,3/18/16
Kent,10/16/15
Genoa,10/16/15
Monroe,10/9/15
Hamilton,10/9/15
Cortland,10/9/15
Kenton,10/9/15
Athens,10/9/15
Kettering,9/29/15
Fremont (west of; on I-90 ),9/29/15
Howard,9/29/15
Pataskala,10/9/15
Athens,9/25/15
Crown City,9/25/15
Fairborn,9/25/15
Columbus,9/25/15
Jefferson,10/9/15
Dublin,9/25/15
Circleville,11/4/16
Pataskala,9/25/15
Ashtabula,9/17/15
Miamisburg,9/17/15
Chardon,9/25/15
Dublin,9/17/15
Twinsburg,9/17/15
Columbus,9/11/15
Westerville,10/2/15
Amelia,9/11/15
Elyria,9/11/15
Dublin,9/11/15
Wadsworth,9/11/15
Dayton,9/2/15
Louisville,9/2/15
Twinsburg,9/2/15
Blacklick,9/2/15
Lynchburg,8/27/15
Delaware,8/27/15
Urbana,8/27/15
Chillicothe,8/27/15
Lima,8/27/15
Lima,8/27/15
Lakewood,8/27/15
Cincinnati,8/27/15
Loveland,8/27/15
Wooster,9/17/15
Lima,8/27/15
Delaware,8/13/15
Sunset Beach,8/27/15
Hilliard,9/2/15
Streetsboro,8/13/15
East Fultonham,8/27/15
Tuscarawas County,8/13/15
Groveport,8/6/15
Hudson,8/6/15
Reynoldsburg,8/6/15
Johnstown,8/13/15
Powell,8/6/15
Miamisburg,8/6/15
Dublin,8/6/15
Medina,7/31/15
Grove City,7/31/15
Mentor,8/13/15
Delaware,7/31/15
Akron,7/31/15
Sagamore Hills,7/31/15
North Ridgeville,7/31/15
Eton,7/17/15
Columbus,7/17/15
Negley,7/17/15
Oregonia,7/17/15
Miamisburg (west of),7/17/15
Cleveland,7/17/15
Fairborn,7/17/15
Monroe,7/23/15
Delaware,7/17/15
Lima,7/10/15
Columbus,7/6/15
Springfield,7/6/15
Sandusky,7/10/15
West Chester,7/6/15
Sandusky,7/6/15
Perrysburg,7/23/15
Brunswick,7/6/15
Cincinnati,8/27/15
Strasburg,7/6/15
Strasburg,7/6/15
Toledo,7/6/15
Columbus,7/10/15
Columbus,7/6/15
Crown City,7/3/15
Cincinnati,7/3/15
Mineral Ridge,7/3/15
Youngstown,7/3/15
Youngstown,7/3/15
Blue Ash,7/3/15
Coshocron,6/24/15
Medina,6/19/15
Oregon,6/19/15
St. Clairsville,6/15/15
Akron,6/15/15
Tiffin,6/5/15
Columbus,6/5/15
Wooster,9/17/15
Trenton,5/29/15
Cincinnati,5/29/15
Toledo,5/29/15
Miamisburg,5/29/15
North Canton,5/29/15
Columbus,5/29/15
Ross,7/31/15
Cincinnati,5/22/15
Dayton,5/22/15
Hamilton,5/22/15
Springfield,5/13/15
Van Wert,5/13/15
Springfield,5/13/15
Williamsfield,5/22/15
New Waterford,5/8/15
Goshen,5/8/15
North Canton,5/8/15
Williamsfield,5/8/15
Dayton,7/23/15
Fairborn,4/30/15
Fremont,4/30/15
Dayton,4/30/15
Mt. Orab,4/23/15
North Ridgeville,4/23/15
Richfield,4/23/15
West Chester,4/23/15
Steubenville,4/17/15
Reynoldsburg,4/17/15
Painesville,4/17/15
Bellbrook,4/17/15
Newark,4/17/15
Glouster,4/17/15
Parma,4/8/15
Columbus,4/3/15
Blacklick,4/3/15
North Ridgeville,3/26/15
Kettering,3/26/15
Lima,3/20/15
Chillicothe,3/20/15
Toledo,3/20/15
Massillon,3/13/15
Carrollton,3/13/15
Marion,8/27/15
Stout,3/6/15
Wilmington,3/6/15
Madison,3/6/15
Gallipolis,2/20/15
Dayton,2/12/15
Columbus (New Albany),2/12/15
North Canton,2/12/15
Parma,2/6/15
Ravenna,2/4/16
Streetsboro,1/30/15
North Ridgeville,1/26/15
Mentor,1/26/15
Miamisburg,1/26/15
Columbus,1/26/15
Sunbury,1/16/15
Euclid,1/16/15
Iberia (outside of; rural),1/16/15
Iberia,1/16/15
Harrison,1/16/15
Toledo,1/16/15
Mt. Vernon,1/16/15
Miamisburg,1/16/15
Vandalia,1/7/15
Blanchester,1/9/15
Toledo,1/7/15
Lima,1/7/15
