date,city
Moraine,8/17/17
Alex,8/11/17
Newcastle,8/4/17
Tulsa,7/27/17
Owasso,7/27/17
Tulsa,7/14/17
Glenpool,7/7/17
Oklahoma City,7/14/17
Oklahoma City (South),7/7/17
Stillwater,6/22/17
Norman,6/15/17
Claremore,6/2/17
Enid,5/15/17
Norman,6/2/17
Tulsa,5/6/17
Ponca City,4/28/17
Vance AFB,4/28/17
Midwest city,4/28/17
Norman,4/20/17
"Lawton (between Lawton and Duncan, hwy 7 west going east)",4/13/17
Rogers County,4/7/17
Oklahoma City,4/7/17
Oklahoma City,4/7/17
Bartlesville,2/17/17
Jenks,2/3/17
Spencer,2/3/17
Tulsa,1/26/17
Centerview,1/12/17
Skiatook,12/21/16
Balko,12/5/16
Poteau,12/5/16
Balko,12/5/16
Tahlequah,12/5/16
Tulsa,12/5/16
Norman,11/4/16
Edmond,11/4/16
Stillwater,10/27/16
Shawnee,11/4/16
Tulsa,10/21/16
Oklahoma City,10/13/16
Coweta,10/11/16
Antlers,10/11/16
Yukon,10/11/16
Yukon,9/22/16
Tulsa,10/21/16
Oklahoma City,9/22/16
Duncan/Comanche area,9/9/16
Oklahoma city,9/30/16
Wilburton,8/16/16
Sand Springs,8/16/16
Sand Springs,8/16/16
Coweta,8/29/16
Howe,8/2/16
Yukon,7/22/16
Mountain View,7/15/16
Tulsa,7/15/16
Tulsa,7/15/16
Oklahoma City,7/8/16
Midwest City,7/8/16
Okmulgee,6/10/16
Oklahoma City,5/26/16
Tulsa,5/20/16
Tulsa,4/15/16
Moore,4/15/16
Tulsa,4/1/16
Oklahoma City,4/1/16
Copan,2/26/16
Tulsa,2/19/16
Oklahoma City,2/11/16
Tulsa,2/11/16
Tulsa,2/19/16
Broken Arrow,12/17/15
Elk City,1/20/16
Elk City,12/17/15
Cowlington,12/10/15
Oklahoma City,2/4/16
Ardmore,11/19/15
Bartlesville,11/19/15
Norman,11/19/15
Tahlequah,11/6/15
Tulsa,11/6/15
Oklahoma City,10/29/15
Altus,2/19/16
LANGLEY,10/29/15
Oklahoma City,10/29/15
Owasso,10/16/15
Bartlesville,10/16/15
Broken Arrow,10/16/15
Sallisaw,10/9/15
Sapulpa,9/17/15
Barnsdall,9/25/15
Coalgate,9/17/15
Yukon,9/11/15
Muskogee,9/11/15
Edmond,9/2/15
Edmond,8/27/15
Skiatook,8/27/15
Midwest City,8/27/15
Thackerville,8/27/15
Owasso,8/13/15
Guthrie,8/13/15
Tulsa,8/6/15
Bethany,7/23/15
Moore,7/10/15
Glenpool,7/10/15
Grove,7/10/15
Long,7/17/15
Tulsa,2/22/17
Tuttle,6/15/15
Keota,5/29/15
Bixby,6/5/15
Oklahoma City,5/22/15
Tulsa,5/22/15
Oklahoma City,5/13/15
Lahoma,5/8/15
Broken Arrow,5/8/15
Lahoma,5/8/15
Talihina,11/4/16
Tulsa,4/23/15
Cleveland,4/23/15
Muskogee,4/23/15
Stillwater,4/17/15
Sand Springs,4/17/15
Muskogee,4/23/15
Bristow,4/3/15
Moore,3/20/15
Bixby,3/20/15
Oklahoma City,3/20/15
Moore,3/13/15
Tulsa,3/6/15
Sulphur,3/6/15
Tulsa,2/20/15
Bristow,2/12/15
Oklahoma City,2/6/15
Edmond,1/30/15
Lawton,1/26/15
Edmond,1/26/15
Tulsa,2/12/15
Yukon/Oklahoma City,1/7/15
Oklahoma City,12/18/14
Canadian County,8/2/16
Hooker,12/12/14
Broken Arrow,12/5/14
Ponca City,12/5/14
Adel,12/5/14
Oklahoma City,11/26/14
Tahlequah,11/21/14
Tulsa,11/21/14
Sulphur,11/21/14
Wyandotte,7/17/15
Edmond,1/26/15
Quapaw,11/14/14
Oklahoma City,11/6/14
Edmond,11/6/14
McAlester,11/6/14
Tulsa,11/6/14
Perkins,11/6/14
Oklahoma City,11/6/14
Ada,11/6/14
Oklahoma City,11/6/14
Ardmore,2/17/17
Oklahoma City,10/10/14
Kingston,10/10/14
Oklahoma City,10/3/14
Norman,10/3/14
Del City,10/10/14
Tulsa,10/3/14
Milton,10/3/14
Guymon (west of),10/3/14
Midwest City,9/25/14
Ada,9/18/14
Muskogee,9/10/14
Broken Arrow,9/10/14
Glenpool,9/5/14
Oklahoma City,8/31/14
Henryetta,8/29/14
Barnsdall,8/29/14
Tulsa,8/29/14
Ochelata,8/22/14
Owasso,8/22/14
Glenpool,8/22/14
Cleveland,8/22/14
Harrah,8/22/14
Tulsa,8/15/14
Moore,8/15/14
Tulsa,8/15/14
Oklahoma City,8/8/14
Tulsa,8/22/14
Catoosa,7/26/14
Tulsa,7/20/14
Durant,7/20/14
Tulsa,7/11/14
Supulpa,7/11/14
Chickasha,7/11/14
Miami,11/6/14
Oklahoma City,7/4/14
West Tulsa,7/4/14
Oklahoma City (NW part of city),6/27/14
Edmond,6/24/14
Tulsa,7/11/14
Broken Arrow,6/20/14
Sand Springs,6/20/14
Talala,6/20/14
Tulsa,6/20/14
Watonga,5/29/15
Pryor,6/4/14
