date,city
Mulino,8/24/17
Silverton,8/17/17
Portland,8/17/17
Dallas,8/17/17
Albany,8/17/17
Portland,8/11/17
Portland,8/11/17
Springfield,8/11/17
Portland,8/11/17
Portland,8/11/17
Estacada,8/4/17
Wilsonville,8/4/17
Lincoln City,7/27/17
Tualatin,7/23/17
Eugene,8/4/17
Portland,7/23/17
Lapine,7/23/17
Lebanon,7/14/17
La Pine,7/14/17
Portland,7/7/17
Hermiston,7/23/17
Portland,7/7/17
Portland,7/7/17
Blue Mountains (in NE Oregon),7/7/17
Diamond Lake/Mt. Thielson,7/7/17
Adair Village,6/22/17
Waldport,7/7/17
Sams Valley,6/22/17
Bend,6/22/17
Hillsboro,6/22/17
Salem,6/15/17
Sutherlin,6/2/17
Portland,6/2/17
Lincoln City,6/2/17
Hillsboro,6/2/17
Beaverton,5/6/17
Portland,5/6/17
Medford,5/6/17
Hillsboro,4/28/17
Portland,4/20/17
Portland,5/6/17
Canby,4/7/17
Medford,4/28/17
Forest Grove,3/23/17
Salem,3/17/17
Colton,3/17/17
Bend,3/10/17
Albany (near),3/10/17
Fall Creek,3/10/17
Tigard,2/17/17
Portland,2/10/17
Bend,2/10/17
Albany,2/3/17
Portland,2/3/17
Portland,2/3/17
Hillsboro,1/26/17
Yachats,2/3/17
Hillsboro,1/19/17
Gresham,1/12/17
Sutherlin,1/12/17
Tigard,1/12/17
"Portland, OR/Vancouver, WA",1/6/17
Redmond,1/6/17
Eugene,1/6/17
Gresham,1/6/17
Eugene,1/26/17
Lincoln City,1/6/17
Bend,12/21/16
Salem,12/15/16
Portland,12/15/16
Bend,3/10/17
La Pine,12/5/16
Happy Valley,12/5/16
Sutherlin,12/5/16
Fairview,12/5/16
Beaverton,12/5/16
Oregon City,12/5/16
Carlton,12/5/16
Wood Village,12/5/16
Shady Cove,12/5/16
Portland,12/5/16
Portland,12/5/16
Hillsboro,12/15/16
West Salem,12/5/16
Keizer,11/11/16
Keizer,12/5/16
Silverton,11/11/16
Eugene,3/23/17
Portland,11/11/16
Oklahoma City,1/6/17
Bend,10/21/16
Astoria,10/13/16
Bend,10/11/16
Canby,10/11/16
Beaverton,9/30/16
Redmond,9/30/16
Keizer,9/30/16
Beaverton,9/30/16
Eugene,9/30/16
Tigard,9/30/16
Portland,9/30/16
Beaverton,9/22/16
Aumsville,9/22/16
Canby,9/22/16
Salem,12/5/16
Eugene,9/15/16
Eugene,9/15/16
Salem,9/15/16
Sandy,9/9/16
Adrian,9/15/16
Forest Grove,9/9/16
Portland,9/9/16
Salem,9/9/16
Eugene,9/9/16
McMinnville,9/9/16
Hillsboro,9/9/16
Portland,9/2/16
Astoria,8/29/16
Aloha,8/29/16
Silverton,8/25/16
Silverton,8/25/16
Milwaukie,8/25/16
Albany,8/19/16
Tygh Valley,8/25/16
Beaverton,8/25/16
Bend,9/9/16
Albany,8/16/16
Portland,8/16/16
Eagle Point,8/16/16
Portland,8/16/16
Bend,8/16/16
Portland,8/4/16
Milwaukie,8/4/16
Gold Hill,8/2/16
Springfield,8/2/16
Sherwood,8/16/16
Canby,8/2/16
Roseburg,8/2/16
Eugene,8/2/16
Roseburg,8/2/16
Grants Pass,8/2/16
Clackamas,8/2/16
Oakridge,8/2/16
Hermiston,8/2/16
Florence,8/2/16
Diamond Lake,8/2/16
Portland,8/2/16
Richland,10/21/16
Eugene,8/2/16
The Dalles,8/2/16
Lincoln City,7/22/16
Eugene,7/22/16
Brooks,5/6/17
Portland,7/15/16
Springfield,7/22/16
Brightwood,7/15/16
Vancouver & Portland,7/8/16
Yachats,7/8/16
Northwest Medford,7/8/16
Tigard,7/8/16
Eugene,7/8/16
Oakridge,7/8/16
Eugene,6/24/16
Gold Beach,6/24/16
Fall Creek,6/10/16
Portland,6/10/16
Portland,6/3/16
McMinnville,5/20/16
Portland,5/20/16
Portland,5/20/16
Gresham,5/20/16
Medford,5/20/16
Portland,5/10/16
Lincoln City,4/22/16
Seaside,4/22/16
Eagle Point,4/22/16
Seaside,4/22/16
Summer Lake,4/22/16
Portland,4/29/16
Salem,4/15/16
Grants Pass,4/15/16
Portland,4/15/16
Brookings,4/15/16
Salem,4/15/16
Portland,4/15/16
Troutdale,4/15/16
Portland,4/15/16
Portland,4/15/16
Portland,4/15/16
St. Helens,4/1/16
Portland,4/1/16
Redmond,4/15/16
Milwaukie,4/1/16
Eugene,3/24/16
Albany,3/24/16
Sutherlin,3/24/16
Grants Pass,3/24/16
Glide,3/18/16
West Linn,3/24/16
Irrigon,3/18/16
Portland,3/18/16
Bandon,3/4/16
Sodaville,2/26/16
Vancouver,2/26/16
Sandy,2/26/16
Gresham,3/11/16
Eugene,2/19/16
Springfield,4/29/16
Beaverton,2/11/16
Newport,2/11/16
Ione,2/11/16
Lebanon,2/11/16
Gresham,2/11/16
Culver,2/11/16
Ashland,2/11/16
Idanha,2/11/16
Oakridge,2/11/16
Clackamas,2/11/16
Roseburg,2/11/16
Roseburg,2/4/16
Emigrant Pass (near; foothills of),2/4/16
Portland,1/29/16
Salem,1/29/16
Neskowin,1/20/16
Bend,1/20/16
Roseburg,1/20/16
Cornelius,1/5/16
Sodaville,1/5/16
Eugene,1/5/16
Monmouth,1/5/16
Portland,1/5/16
Springfield,1/5/16
Orient,1/5/16
Beaverton,1/5/16
Salem,1/5/16
Bend,1/5/16
Beaverton,12/21/15
Milwaukie,12/21/15
Hillsboro,12/17/15
Beaverton,12/10/15
Portland,12/10/15
Portland,12/10/15
Brownsville (on I-5 highway),12/3/15
Medford,12/3/15
Springfield,12/3/15
Salem,11/26/15
Dunes City,11/26/15
Corvallis,11/26/15
Bend,11/26/15
Tualatin,11/26/15
Sutherlin,11/19/15
Bend/Burns (between; on Hwy. 20),11/19/15
West Salem,11/19/15
Portland,11/6/15
Keizer,11/6/15
Oregon City,11/6/15
Dayton,1/5/16
Joseph,11/6/15
Bend,11/6/15
Astoria,11/19/15
Portland,10/29/15
Wilsonville,10/29/15
Milwaukie,10/29/15
Gresham,10/29/15
Keizer,10/29/15
Eugene,10/16/15
Bend,10/16/15
Eugene,10/29/15
Albany,10/16/15
Albany,10/16/15
Albany,10/16/15
Hillsboro/Portland,10/16/15
Portland/Hillsboro,10/16/15
Bend,10/16/15
Sherwood,10/9/15
Woodburn,10/9/15
Cannon Beach,10/9/15
Astoria,10/9/15
Aloha,9/29/15
Gresham,10/2/15
Portland,6/24/16
Eugene,3/10/17
Prineville,10/2/15
Troutdale,9/25/15
Riley,10/16/15
Salem,9/25/15
Albany,9/25/15
Bandon,9/25/15
Salem,10/29/15
Eugene,9/25/15
Eugene,9/25/15
La Grande (atop Mt. Emily),9/29/15
Roseburg,9/17/15
Central Point,9/17/15
Cheshire,9/17/15
Salem,9/17/15
Portland,9/11/15
Newberg,9/17/15
Lebanon,9/11/15
Portland,9/11/15
Ashland,9/11/15
Milton-Freewater,9/11/15
Portland,9/25/15
Beaverton,9/2/15
Beaverton,8/27/15
Silverton,8/27/15
Newport,9/2/15
Salem,8/27/15
Grants Pass,8/27/15
Lebanon,8/27/15
Beaverton,8/27/15
Medford,1/14/16
Eagle Point,8/27/15
Sprague River,9/17/15
Astoria,8/27/15
Lebanon,8/13/15
Salem,8/13/15
Seaside,8/13/15
Portland,8/6/15
Portland,8/6/15
Portland,9/11/15
Bend,8/2/16
Gearhart,8/6/15
Florence,8/6/15
Bandon,8/6/15
Bend,8/6/15
Troutdale,7/31/15
Eagle Point,7/31/15
Redmond,7/31/15
Dexter,7/17/15
Salem,7/17/15
Portland,7/10/15
St. Helens,7/10/15
St. Helens,7/17/15
Astoria,7/10/15
Central Point,7/17/15
Ashland,7/6/15
Seaside,7/6/15
Lakeside,7/6/15
Eugene,7/3/15
Portland,7/3/15
Eagle Point,7/3/15
Sutherlin,12/15/16
Portland (far east; Corbett),7/3/15
Eugene,7/23/15
Seaside,7/3/15
Banks,7/3/15
Myrtle Point,6/24/15
La Grande,6/24/15
Portland,6/24/15
Albany,6/24/15
Depoe Bay,6/19/15
Florence,6/19/15
Banks,7/3/15
Winston,6/15/15
North Plains,6/19/15
North Plains,6/19/15
Grants Pass,6/15/15
Salem,6/15/15
Portland,6/15/15
Corvallis/Newport (between),6/15/15
Gresham,6/15/15
Gresham,6/15/15
Gresham,6/15/15
Salem,6/5/15
Aumsville,5/29/15
Springfield,5/22/15
Pendleton,5/22/15
Cornelius,5/29/15
Baker City,5/22/15
Portland,5/22/15
Portland,5/22/15
Prineville,5/13/15
Portland,5/8/15
Portland,4/30/15
Culver,5/13/15
Beaverton,4/30/15
Eugene,4/30/15
McMinnville,4/30/15
Corvallis,4/30/15
Seaside,4/23/15
Talent,4/23/15
Eugene,4/23/15
Baker City/La Grande (between),5/8/15
Salem,4/17/15
Umpqua Nat. Forest (Idleyld Park),4/23/15
Portland,4/17/15
Milwaukie,6/5/15
Portland,4/17/15
Eugene,4/8/15
