date,city
Duncansville,8/24/17
Reading,8/24/17
Wrightsville,8/24/17
Perkasie,8/17/17
Tobyhanna,8/17/17
Blairsville,8/17/17
Exton,8/11/17
Berks County,8/11/17
Altoona,8/4/17
East Stroudsburg,8/4/17
Tobyhanna,8/4/17
Monroeville,7/27/17
Dingmans Ferry,7/27/17
Coudersport,7/27/17
New Oxford,7/23/17
Everett,8/24/17
Nazareth,7/23/17
Greensburg,7/23/17
Erie,7/23/17
Carlisle,7/14/17
Newville,7/14/17
Richland,7/14/17
Edinburg,7/14/17
West Mifflin,7/14/17
New Kensington,7/14/17
Prospect,7/7/17
Greencastle,7/7/17
Gallitzin,7/7/17
Sinking Spring,7/7/17
Effort,7/7/17
Lancaster County,7/7/17
Brookville,7/7/17
McMurray,7/7/17
Ephrata,7/7/17
Lansdale,7/7/17
Duncannon,6/22/17
Donora,6/15/17
Pocono Lake,6/15/17
Palmyra,6/15/17
Reading,6/15/17
Chester,6/15/17
Derry,6/15/17
Lock Haven,6/9/17
Balliettsville,6/9/17
Montoursville,6/9/17
Mountain Top,6/2/17
Philadelphia,6/2/17
Wilkes-Barre,6/2/17
Wilkes-Barre,6/2/17
Lebanon,5/15/17
Pittsburgh,6/2/17
Rockledge,5/15/17
Rockledge,5/15/17
Williamsport,6/2/17
Philadelphia,5/11/17
Taylor,5/6/17
Chambersburg,5/6/17
Kennett Square,4/28/17
Warminster,4/20/17
Ardsley,4/20/17
Willowdale,4/20/17
Harrisville,4/20/17
Philadelphia,4/13/17
Philadelphia,4/7/17
Camp Hill,3/23/17
Oley,3/17/17
Philadelphia,3/10/17
Honeybrook,3/10/17
Pittsburgh,3/10/17
Thorndale,3/10/17
Easton,3/10/17
Wapwallopen,5/15/17
Uniontown,3/10/17
Greenfield Twp,3/10/17
Reading,3/10/17
Philadelphia,3/10/17
Bensalem,3/10/17
Harrisburg,3/10/17
Tamaqua,3/10/17
Porter township,2/22/17
Chambersburg,7/27/17
Bushkill Township,2/22/17
MckeesRocksr,2/22/17
Gettysburg,2/22/17
Millvale,2/22/17
Moon Township/clinton,2/22/17
Bushkill,2/17/17
Bethlehem,2/17/17
Arnold,2/10/17
Millmont,2/10/17
Lancaster,2/10/17
Mechanicsburg,2/3/17
Gouldsboro,1/12/17
McMurray,4/7/17
Hallam,1/6/17
Philadelphia (100 naut. miles E of; over water),1/12/17
Whitehall,12/30/16
New London,12/30/16
Shrewsbury,12/30/16
Cheltenham,12/30/16
Tamaqua,1/19/17
Chester,12/15/16
Holland,12/15/16
Elizabethtown (near),12/15/16
Philadelphia,12/5/16
Allentown,12/5/16
Cecil,12/5/16
Smithton,12/5/16
Mc Murray,12/5/16
Lower Burrell,12/5/16
Pottstown,3/10/17
Palmyra,12/5/16
Monroeville,12/5/16
Washington,11/11/16
Moon,11/11/16
Reinholds,11/11/16
Pittsburgh,11/11/16
Philadelphia,11/11/16
Marianna,11/11/16
Tarentum,11/4/16
Harrisburg (near; on I-83),12/5/16
Bensalem,11/4/16
Pennsburg,11/4/16
Bethlehem,10/27/16
Willow Grove,10/27/16
Philadelphia,10/27/16
Moon,10/27/16
Elizabethtown,10/27/16
Mountain Top,10/21/16
Philadelphia,10/21/16
Aliquippa,10/21/16
Newfoundland,10/21/16
Elizabethtown,10/21/16
Elizabethtown,10/13/16
Harrison City,10/11/16
Meadville,10/11/16
Lower Burrell,10/11/16
Saylorsburg,10/11/16
Williamsport,10/11/16
West Park,10/11/16
West pittston,9/30/16
Bernville,9/30/16
Pittsburgh,9/30/16
Macungie,9/30/16
Lancaster,9/30/16
Philadelphia,9/30/16
Glenside,9/30/16
Freeland,9/22/16
Harrisburg,9/22/16
Charleroi,9/22/16
Bensalem,9/22/16
Warminster,9/22/16
Pittsburgh,9/15/16
Sugar Grove,9/15/16
Freeland,9/15/16
Warren,9/15/16
Ridley Park,9/15/16
Bangor,9/9/16
South Park Township,9/30/16
Jefferson Hills,9/22/16
West Chester,9/9/16
Donora,9/9/16
Sellersville,9/9/16
Riegelsville,9/9/16
Lehighton,9/2/16
Pittsburgh,9/2/16
Pottstown,9/2/16
Gilbertsville,9/2/16
McConnellsburg,8/29/16
Emporium,8/25/16
Philadelphia,8/25/16
Jamestown,8/25/16
Red Lion,8/25/16
Slatington,8/29/16
Bethlehem,8/19/16
Biglerville,8/19/16
Harrisburg,8/16/16
York,8/16/16
Shrewsbury,8/16/16
Home,8/16/16
Elliottsburg,8/16/16
New Hope,8/16/16
Upper St. Clair,8/16/16
Pittsburgh,8/16/16
Pittsburgh,8/4/16
Saylorsburg,8/4/16
Pittsburgh,8/2/16
Cambridge Springs,8/2/16
Mechanicsburg,8/2/16
State College,8/16/16
Irwin,9/22/16
LaBelle,8/2/16
Pittsburgh,8/2/16
Collegeville,7/22/16
Huntingdon,7/22/16
Lititz,9/9/16
Monroeville,7/15/16
Verona,7/15/16
New Freedom,7/15/16
Jacobus,7/8/16
State College,7/8/16
Bath,7/8/16
Pequea,7/8/16
Philadelphia,7/8/16
Shavertown,7/8/16
West Chester,7/8/16
Zelienople,7/8/16
Warminster,7/8/16
Hollidaysburg,7/8/16
Throop,6/24/16
Manheim,6/24/16
Bradford,6/24/16
Monaca,6/24/16
Bridgewater,6/24/16
Hebe/Klingerstown,6/24/16
Pittsburgh,6/16/16
Warrington,7/8/16
Lower Makefield,6/16/16
West Bangor,6/16/16
Bloomsburg,6/16/16
Philadelphia,6/10/16
Honey Brook,6/3/16
Pittsburgh (near),6/10/16
Susquehanna,6/1/16
Downingtown,5/26/16
Pittsburgh,5/20/16
Morgantown,5/20/16
Reynoldsville,5/20/16
Lewisburg,5/10/16
Philadelphia,5/10/16
Easton,5/6/16
Philadelphia,5/6/16
Philadelphia,5/6/16
Reading,4/22/16
Curwensville,4/22/16
Chadds Ford,5/20/16
Bensalem,4/15/16
Limerick,4/15/16
Bushkill,4/1/16
York,4/1/16
Gouldsboro,4/1/16
Philadelphia,3/24/16
West Grove,3/24/16
West Grove,3/24/16
Sinking Spring,4/1/16
Plymouth Meeting,3/18/16
New Cumberland,3/18/16
Northampton,4/1/16
Nazareth,3/18/16
Pittsburgh,3/18/16
West Chester,4/15/16
Plymouth Meeting,3/4/16
Harrisburg,3/4/16
Salunga/Landisville area right by highway 283,3/4/16
York,3/4/16
Tannersville,3/4/16
Tannersville,3/4/16
DuBois,3/4/16
Washington,3/4/16
Dillsburg,3/4/16
Lower Mount Bethel,2/26/16
Pittsburgh,4/20/17
Hanover,2/26/16
Churchville,2/26/16
Philadelphia,2/19/16
Tunkhannock,3/24/16
Philadelphia,2/19/16
Starview,2/19/16
Morrisville,2/19/16
Fredonia,2/11/16
Allentown,2/11/16
Claysburg,2/11/16
Doylestown,2/11/16
Allentown,2/4/16
Philadelphia,2/4/16
Pennsburg,2/4/16
Coopersburg,2/4/16
Shippensburg,2/4/16
Levittown,1/23/16
Manheim,1/20/16
Effort,1/20/16
Greensburg,1/20/16
Scranton,1/20/16
Philadelphia,1/20/16
Unity,1/14/16
Brodheadsville,1/8/16
Hereford Township,1/8/16
Philadelphia,1/8/16
State College,1/8/16
Langhorne,1/5/16
Hereford Township,1/14/16
Wilkes-Barre/Hazleton (between),1/5/16
Bangor,1/8/16
Plum,1/5/16
Easton,1/5/16
Sligo,1/5/16
Mill Run,1/5/16
Harlansburgh,1/5/16
Schnecksville,12/21/15
Mountatin Top,12/17/15
Penndel,12/17/15
Fogelsville,12/21/15
Bethlehem,12/17/15
Port Allegheny,12/17/15
Jamison,2/4/16
Huntingdon Valley,12/10/15
Beaver Falls,12/10/15
Willow Grove,12/17/15
Bernville,12/3/15
Montrose,12/3/15
Quakertown,12/3/15
Butler,11/26/15
Pittsburgh,11/26/15
Elizabeth,11/26/15
Eagle,11/26/15
Windgap,11/26/15
Erie,11/20/15
Mechanicsburg,11/19/15
Harmonyville,11/20/15
Glenmoore,11/19/15
Ephrata,11/19/15
Pittsburgh,11/26/15
Philadelphia,11/19/15
Mechanicsburg,11/6/15
Latrobe,11/6/15
