date,city
Smithfield,8/24/17
Warwick,8/17/17
Coventry,8/24/17
Narraganssett,8/17/17
West Warwick,8/11/17
Warwick,8/4/17
South Kingstown,7/27/17
Cumberland,7/23/17
South Kingstown,7/7/17
Warren,4/28/17
Warren,4/20/17
South Kingstown,4/13/17
Providence,4/13/17
Middletown,4/7/17
Newport,4/7/17
Cranston,3/23/17
Rumford,1/19/17
Rumford,1/6/17
Providence,1/6/17
Providence,12/30/16
Seekonk (general area),12/5/16
Charlestown,11/11/16
South Kingstown,10/21/16
Providence,9/30/16
Woonsocket,9/30/16
Portsmouth,9/9/16
Smithfield,9/9/16
East Providence,8/25/16
Providence,8/19/16
Providence,8/16/16
Lincoln,8/16/16
Woonsocket,8/16/16
North Providence,8/16/16
Providence (Olneyville),8/2/16
Galilee,8/2/16
Bristol,8/2/16
South Kingstown,7/22/16
Portsmouth,7/8/16
Cranston,7/8/16
Warwick,7/8/16
Cranston,7/8/16
Riverside,1/6/17
Cranston,6/16/16
West Greenwich,6/1/16
Woonsocket,4/29/16
South Kingstown,4/29/16
South Kingston,4/22/16
East Greenwich,3/18/16
North Providence,3/11/16
Lincoln,3/4/16
Ocala,2/11/16
Cranston,1/8/16
Middletown,1/5/16
Woonsocket,12/3/15
Tiverton,11/26/15
Hope Valley,12/3/15
Warwick,3/24/16
Tiverton,11/6/15
North Smithfield,11/6/15
North Kingstown,11/6/15
Cumberland,10/29/15
Warwick,10/16/15
North Smithfield,10/16/15
East Providence,11/12/15
Smithfield,9/29/15
Narragansett,10/2/15
Narragansett,9/29/15
Pawtucket,9/29/15
Pawtucket,10/2/15
Block Island,9/25/15
North Providence,9/17/15
Warwick,9/17/15
East Providence,9/17/15
Westerly,9/17/15
Middletown,9/11/15
Providence,9/11/15
Warwick,9/11/15
Woonsocket,8/27/15
Cumberland,8/13/15
Groton Long Point,8/13/15
Warwick,8/6/15
Bristol,7/31/15
East Providence,7/31/15
Exeter,7/22/16
Narragansett,7/17/15
Johnston,7/10/15
Providence,7/6/15
Pawtucket,7/6/15
Coventry,7/3/15
Providence,7/3/15
South Kingstown,6/15/15
Providence,6/5/15
Tiverton,7/10/15
Providence,6/5/15
Riverside,11/19/15
Pawtucket,5/8/15
Middletown,4/23/15
South Kingstown,3/6/15
North Kingstown,1/7/15
Rumford,12/18/14
Pawtucket,12/18/14
North Providence,12/5/14
Cumberland,12/5/14
Coventry,11/21/14
Charlestown,11/6/14
South Kingstown,11/6/14
Pawtucket/Rumford,11/6/14
Pawtucket,11/6/14
Hope,11/6/14
Kingston,10/10/14
Providence,10/3/14
Warwick,8/31/14
South Kingston,8/29/14
Narragansett,8/22/14
Johnston,8/22/14
Jamestown,8/6/15
Johnston,8/1/14
Middletown,8/1/14
East Greenwich,7/26/14
Warwick,7/20/14
Westerly,3/6/15
Johnston,7/11/14
Bristol,7/11/14
Woonsocket,6/24/14
Pawtucket (Central Falls),6/13/14
Providence,6/13/14
Providence,6/13/14
East Providence,6/4/14
Middletown,6/4/14
Warren,5/2/14
Harrisville,3/21/14
Providence/Johnston (between; traveling),3/21/14
South Kingstown,2/7/14
West Greenwich,2/7/14
Pawtucket,1/24/14
East Providence,1/10/14
Providence,1/10/14
Woonsocket,1/10/14
Providence & Cranston,1/24/14
Coventry,12/2/13
North Providence,12/2/13
North Providence,12/2/13
Coventry,12/2/13
Jamestown,11/20/13
Providence,11/11/13
Wakefield,11/11/13
Woonsocket,10/23/13
Woonsocket,10/14/13
Lincoln,10/3/13
Johnston,9/30/13
Hopkinton,9/30/13
Warwick,9/30/13
West Warwick,9/30/13
Warwick,9/30/13
Coventry,9/9/13
North Providence,9/9/13
Cranston,8/30/13
Woonsocket,3/6/15
Woonsocket,8/30/13
Charlestown,8/30/13
Pawtucket,8/30/13
Pawtucket,8/30/13
Providence,8/30/13
North Providence,4/3/15
North Providence,4/17/15
Woonsocket,7/3/13
Exeter,5/15/13
North Kingstown,5/15/13
Cranston,5/15/13
Providence,5/15/13
Cranston,4/12/13
Providence,2/18/13
Pascoag,10/3/13
North Providence,12/20/12
,12/20/12
Westerly,12/20/12
Richmond,12/20/12
Coventry,12/20/12
North Smithfield,12/20/12
Newport,12/20/12
Providence,12/20/12
South Kingstown,11/19/12
Cranston,11/19/12
Coventry,11/4/12
Woonsocket,11/19/12
Woonsocket,12/20/12
Cranston,10/30/12
Rumford,10/30/12
Cranston,10/30/12
Warwick,9/24/12
Block Island,9/24/12
Warwick,8/19/12
Warwick (6 miles north of),9/24/12
Coventry/Exeter,8/19/12
Pawtucket,8/5/12
Cumberland,8/5/12
Coventry,8/5/12
Newport,8/5/12
Woonsocket,2/17/17
Newport,7/4/12
Riverside,7/4/12
Pawtucket,7/4/12
Cranston,12/20/12
Cranston,6/20/12
Greenville,6/5/12
Narragansett,9/24/12
Woonsocket,5/29/12
Riverside,5/29/12
Kingston,5/13/12
Pawtucket,5/13/12
Warwick,5/13/12
Warwick,5/13/12
Coventry,3/13/12
Coventry,3/13/12
Ashaway,3/13/12
South Kingstown,3/13/12
Warwick/Coventry,2/10/12
Smithfield,1/24/12
Westerly,3/13/12
North Scituate,1/12/12
Providence,12/12/11
Woonsocket,12/12/11
North Kingstown,10/25/11
Johnston,10/10/11
West Warwick,10/10/11
Providence,10/10/11
Narragansett,10/10/11
West Greenwich,5/2/14
Mapillville,7/17/11
Warwick,7/6/11
Exeter,5/29/11
Wakefield,3/10/11
North Kingston,2/18/11
South Kingstown,1/31/11
Warwick,1/31/11
Pawtucket,1/31/11
Wakefield,1/5/11
Coventry/West Greenwich,11/21/10
Westerly,11/21/10
East Greenwich,11/21/10
Providence,8/24/10
Cranston,7/28/10
Newport,6/8/12
West Warwick,7/19/10
Providence,8/5/12
Newport,7/10/10
Charlestown,6/3/10
South Kingstown,6/3/10
South Kingstown,6/3/10
Providence,11/21/10
Warwick,5/12/10
Warwick,4/13/10
Greenville,4/13/10
Westerly,4/13/10
South Kingstown,2/14/10
South Kingstown,2/14/10
South Kingstown,2/14/10
North Smithfield,12/12/09
Providence,12/12/09
Pawtucket,12/12/09
Wakefield,12/12/09
North Kingstown,12/12/09
Cranston,12/12/09
Wakefield,12/12/09
North Smithfield,12/12/09
Providence,12/12/09
Little Compton,12/12/09
Leeds (UK/England),8/27/09
Middletown,8/27/09
Warwick,8/27/09
Providence,6/9/09
Smithfield,6/9/09
Cranston,5/12/09
Providence,3/19/09
Johnston,3/19/09
Tiverton,3/19/09
Warwick,1/10/09
Wakefield,1/10/09
Wakefield,1/10/09
Providence,10/31/08
Warwick,1/5/11
Newport,10/31/08
Newport,10/31/08
Johnston,8/12/08
Cranston,8/12/08
Riverside,8/12/08
Narragansett,6/12/08
Cumberland,6/12/08
Newport,3/31/08
Providence,3/4/08
Cranston,1/21/08
West Warwick,1/21/08
West Warwick,3/4/08
Wyoming,10/31/08
Providence,11/28/07
Kingston,11/28/07
Tiverton,10/8/07
Portsmouth,10/8/07
Charlestown,10/31/08
Little Compton,10/8/07
Cranston,10/8/07
Lincoln,8/7/07
Narragansett,6/12/07
South Kingstown,8/7/07
North Kingstown,6/12/07
Lincoln,2/24/07
East Providence,2/24/07
Warwick,10/30/06
North Kingstown,2/1/07
Providence,10/30/06
West Greenwhich,2/1/07
Pawtucket,10/30/06
Newport,10/30/06
Smithfield,10/30/06
Narragansett,7/16/06
South Kingstown,3/11/06
Middletown,5/15/06
North Kingstown,3/11/06
Wakefield,2/14/06
Providence,2/14/06
South Kingstown,2/14/06
Warwick,2/14/06
Warwick,4/7/17
Kingstown,12/16/05
Cranston,11/8/05
Jamestown,11/8/05
Providence,10/11/05
Cumberland,10/11/05
Warwick,7/13/05
Johnston,5/12/10
Lincoln,6/20/05
Pawtucket,5/11/05
East Greenwich,4/16/05
Cranston,5/11/05
Scituate,2/8/05
Cumberland,1/11/05
Pawtucket,1/11/05
Exeter,12/14/04
West Greenwich,12/3/04
Newport,10/30/06
Providence/Warwick,9/9/04
Providence,9/9/04
North Kingstown,9/9/04
Westerly,9/1/04
Scituate,8/24/04
Cranston,3/31/08
Johnston,2/14/06
