date,city
Columbia,8/17/17
Fort Mill,8/17/17
Aiken,8/4/17
Little River,8/4/17
Beaufort,7/27/17
Williamston,7/27/17
Ladson,7/27/17
Manning,7/23/17
North Myrtle Beach,7/23/17
Donalds,7/23/17
Myrtle Beach,8/4/17
Rock Hill,7/23/17
Marietta,7/14/17
Lancaster,7/14/17
Garden City Beach,7/7/17
West Columbia,7/7/17
Garden City,7/7/17
Myrtle Beach,7/7/17
I-95 (@ MM 54/55),6/22/17
South Myrtle Beach,6/9/17
Myrtle Beach,6/9/17
Gaffney,6/2/17
Conway,6/2/17
North Charleston,6/2/17
North Myrtle Beach,6/2/17
Garden City,5/15/17
Myrtle Beach,6/2/17
Garden City Beach,6/2/17
Myrtle Beach,5/15/17
Myrtle Beach,6/2/17
North Myrtle Beach,6/2/17
Myrtle Beach,6/2/17
Goose Creek,5/6/17
North Charleston,4/28/17
Irmo,4/28/17
Dillon,4/28/17
Hartsville,4/28/17
Surfside Beach,4/28/17
Garden City,4/20/17
North Myrtle Beach,4/20/17
Surfside Beach,4/20/17
Garden City,4/20/17
Columbia,4/20/17
North Myrtle Beach,4/20/17
Mount Pleasant,4/13/17
Surfside Beach,4/13/17
Conway,4/13/17
Beaufort,4/13/17
In-flight (military)(city not specified),4/13/17
North Myrtle Beach,4/7/17
Greenville,3/23/17
Chesnee,3/17/17
Gray Court,3/10/17
Gray Court,3/10/17
Summerville,3/10/17
Beaufort,3/10/17
Simpsonville,2/22/17
Florence,2/17/17
Greer,6/22/17
North Myrtle Beach,2/10/17
Greer,6/22/17
Travelers Rest,2/3/17
Conway,2/3/17
Georgetown,2/3/17
Georgetown,1/26/17
North Myrtle Beach,1/26/17
Sumter,1/26/17
Hilton Head Island,1/19/17
Myrtle Beach,1/19/17
Harleyville,1/12/17
Hemingway,1/12/17
Columbia,1/6/17
Myrtle Beach,1/6/17
Dillon,1/6/17
Aiken,12/30/16
Dillon,1/6/17
Simpsonville,12/30/16
Simpsonville,12/21/16
Conway,12/5/16
Myrtle Beach,12/5/16
Fripp Island,6/9/17
Summerville,12/5/16
Summerville,11/11/16
Johns Island,12/5/16
Columbia,11/4/16
Lexington,10/21/16
Aiken,12/5/16
Columbia,10/13/16
Woodruff,10/11/16
Monetta,10/11/16
Garden City,10/13/16
Columbia,9/30/16
Charleston,10/11/16
Hilton Head,9/30/16
Hilton Head,9/30/16
Hilton Head,9/22/16
Andrews,9/15/16
Easley,9/9/16
Ladson,9/2/16
Seabrook,9/2/16
Charleston,8/25/16
Sumter,8/16/16
Chester,8/16/16
Conway,8/16/16
Pawleys Island,8/16/16
Lexington,8/16/16
Goose Creek,8/4/16
Columbia,8/2/16
Aiken,8/2/16
Mytle Beach,7/22/16
Surfside Beach,7/22/16
Greenville,7/15/16
Columbia,7/8/16
Myrtle Beach,7/8/16
Donalds,6/24/16
Newberry,6/24/16
Gaffney,6/24/16
Pawleys Island,6/24/16
Lancaster,6/16/16
Little River,6/10/16
Myrtle Beach,6/10/16
North Myrtle Beach,6/10/16
Murrells Inlet,6/10/16
North Hardeeville,6/10/16
Cherry Grove,6/10/16
Myrtle Beach,6/10/16
Myrtle Beach,5/26/16
Myrtle Beach,6/10/16
Summerville,5/20/16
Garden City,5/20/16
Goose Creek,5/10/16
South Myrtle Beach/ surfside beach,4/29/16
Myrtle Beach,4/29/16
Cherry  Grove (MCAS),4/29/16
Charleston,4/29/16
Goosecreek,4/29/16
Chester,4/29/16
Myrtle Beach,4/22/16
Folly Beach,4/22/16
Hilton Head,7/8/16
Spartanburg,4/22/16
Millwood Community to the outskirts of Andrews,4/15/16
North Charleston,4/15/16
Myrtle Beach,4/1/16
North Myrtle Beach,4/1/16
Pawleys Island,3/24/16
Myrtle Beach,3/18/16
Myrtle Beach,3/18/16
Irmo,3/18/16
Goose Creek,3/4/16
Lancaster,2/11/16
Charleston,2/4/16
Greenville,2/4/16
Moncks Corner,1/29/16
Columbia,1/29/16
Columbia,1/20/16
Conway,1/20/16
Florence,1/20/16
Greenville,1/8/16
Lake Wylie,1/8/16
Chapin,1/8/16
Taylors,1/5/16
Forest Acres,1/8/16
Whitmire,1/5/16
Irmo,1/5/16
Simpsonville,1/23/16
Campobello,1/5/16
Moncks Corner,1/8/16
Inman,12/17/15
Marietta,12/17/15
Goose Creek,12/4/15
Leesville,1/20/16
Easley,12/3/15
Belton,12/3/15
Salters,11/19/15
Easley,11/19/15
Sumter,11/19/15
Simpsonville,11/6/15
Woodruff,10/29/15
Summerville,10/29/15
Harleyville,10/29/15
North Charleston,10/29/15
Columbia,10/29/15
Aiken,10/29/15
Travelers Rest,10/16/15
Sumter,10/29/15
Greenville,10/16/15
Johnsonville,10/16/15
Summerville,10/11/16
Myrtle Beach,10/29/15
Myrtle Beach,9/17/15
Myrtle Beach,9/11/15
Columbia,9/2/15
Myrtle Beach,9/11/15
Murrells Inlet /  Burgess Community,9/2/15
Lexinton,9/2/15
Georgetown,9/2/15
North Myrtle Beach,9/2/15
Myrtle Beach,8/27/15
Charleston,8/27/15
Lugoff,8/27/15
Greenville,10/16/15
Indian Land,8/13/15
Georgetown,7/31/15
Columbia,7/31/15
Summerville,7/23/15
Goose Creek,7/23/15
West Columbia,7/17/15
Anderson,7/17/15
Charleston,7/17/15
Inman,4/22/16
Lake Wylie,7/6/15
Surfside Beach,7/6/15
Taylors,7/17/15
McCormick,7/3/15
Rock Hill,7/3/15
Chester,7/3/15
McCormick,7/3/15
Columbia,7/6/15
Charleston,6/24/15
Goose Creek,6/24/15
Goose Creek,6/24/15
Florence,6/15/15
Belton,6/15/15
McCormick,7/3/15
Garden City,6/5/15
James Island,6/5/15
Rock Hill,6/5/15
Rock Hill,6/5/15
Summerville,5/29/15
Myrtle Beach,5/29/15
Ridgeland,5/29/15
Union,5/22/15
Columbia,5/22/15
Sumter,5/22/15
Folly Beach,5/22/15
Rockhill,5/13/15
North Myrtle Beach,8/6/15
Travelers Rest,7/23/15
Rock Hill,4/23/15
Columbia,4/23/15
Myrtle Beach,4/17/15
Simpsonville,4/17/15
Simpsonville,4/17/15
Anderson,4/17/15
Charleston,4/17/15
Myrtle Beach,4/8/15
Seneca,4/8/15
Rock Hill,4/3/15
Bethera,4/3/15
North Myrtle Beach,4/3/15
Simpsonville,3/26/15
Ladson,3/26/15
Belton,3/13/15
Longs/Myrtle Beach,3/13/15
Lexington,3/6/15
Columbia,3/6/15
Charleston,2/20/15
Lake Wylie,2/12/15
Simpsonville,2/12/15
Columbia,2/6/15
Conway,2/6/15
Myrtle Beach,1/30/15
Columbia,1/30/15
Florence,1/26/15
