date,city
Pierre,8/11/17
Howard,8/11/17
Sioux Falls,7/27/17
Sioux Falls,7/23/17
Clear Lake,6/22/17
Sioux Falls,5/11/17
Hartford,4/13/17
Sioux Falls,3/10/17
Sioux Falls,2/22/17
Alcester,2/17/17
Brandon,1/19/17
Aberdeen,12/30/16
Hot Springs,12/15/16
Sioux Falls,12/5/16
Spearfish,12/5/16
Sioux Falls,12/5/16
Chester,12/5/16
Sioux Falls,12/30/16
Madison,11/11/16
Sioux Falls,11/11/16
Sioux Falls,10/11/16
North Sioux City,10/11/16
Dell Rapids,9/30/16
Tea,9/22/16
Jefferson,8/29/16
Brookings,9/30/16
Box Elder,7/8/16
Rapid City,6/24/16
Crooks,6/10/16
Rapid City,6/1/16
Brookings,2/26/16
Rapid City,2/19/16
Roberts County,1/5/16
Sioux Falls,11/26/15
Sioux Falls,11/26/15
Dell Rapids,11/6/15
Aberdeen,10/16/15
Wakpala,9/25/15
Sioux Falls,9/17/15
Sioux Falls,9/17/15
Sioux Falls (at UT 33 and Southeastern),8/27/15
Sioux Falls,8/13/15
Sioux Falls,7/31/15
Sioux Falls,7/23/15
Alcester,6/24/15
Sioux Falls,5/29/15
Sioux Falls,5/22/15
Sioux Falls,3/20/15
Egan,3/20/15
Sisseton,4/17/15
Rapid City,1/7/15
Huron,11/14/14
Huron,11/14/14
Rapid City,9/5/14
Spearfish,9/5/14
Sioux Falls,8/31/14
Pierre,8/22/14
Watertown,8/22/14
Rapid City,8/22/14
Sioux Falls,8/15/14
Pierre,8/8/14
Sioux Falls,7/11/14
Huron,7/4/14
Wagner,7/4/14
Rapid City,7/4/14
Brookings,6/20/14
Rapid City,6/13/14
Box Elder,6/6/14
Sioux Falls,4/24/14
Hartford,1/10/14
Yankton,1/10/14
Corona,1/10/14
Rapid City,1/10/14
Mitchell,12/23/13
Rapid City,11/11/13
Mitchell,11/11/13
Mitchell,11/20/15
Rapid City,9/30/13
Huron,11/14/14
Rapid City,7/22/13
Mission Hill,7/22/13
Summerset,7/5/13
Black Hawk,7/14/13
Mission,7/3/13
Huron,7/3/13
Pierre,2/4/13
Yankton,2/4/13
Sioux Falls,2/4/13
Sioux Falls (outskirts of),4/12/13
Sioux Falls,2/4/13
Yankton,2/4/13
Rapid City,2/4/13
Florence,2/4/13
Rapid City,4/4/14
Kaylor,12/20/12
Watertown,12/20/12
Yankton,12/20/12
Mitchell,12/20/12
Wakonda,12/20/12
Sioux Falls,11/19/12
Wagner,10/30/12
Madison,9/24/12
Brandon,8/5/12
Egan,7/4/12
Deadwood,8/19/12
Yankton,7/4/12
Rapid City,6/14/12
Britton,6/5/12
,5/29/12
Watertown,5/29/12
Sioux Falls,5/13/12
Sioux Falls,5/13/12
North Sioux City,6/5/12
Watertown,5/13/12
Rapid City,5/13/12
Arlington,5/13/12
Rapid City,3/13/12
Sioux Falls,1/12/12
Yankton,1/12/12
Mitchell,12/17/11
Beadle County (rural area),12/12/11
Rapid City,12/12/11
Lennox,10/19/11
Renner,10/19/11
Greenwood,10/10/11
Sioux Falls,10/10/11
Yankton,8/21/11
Rapid City,8/21/11
Brookings (near),8/7/11
Custer,8/7/11
Yankton,7/4/11
Scotland,5/29/11
Sioux Falls,5/12/11
Chamberlain,3/23/11
Sioux Falls,11/21/10
Mitchell,11/21/10
Sioux Falls,11/21/10
Sioux Falls,11/21/10
Pierre,11/21/10
Pierre,11/21/10
Hudson,8/30/10
Huron,8/24/10
Sioux Falls,8/24/10
Brandon,8/24/10
Ipswich,7/10/10
Ipswich,7/10/10
Pine Ridge,7/6/10
Rosebud,6/23/10
Aberdeen,2/14/10
Rapid City,12/12/09
Sioux Falls,1/24/12
Keystone,8/5/09
Eagle Butte,8/5/09
Egan,8/5/09
Egan,8/5/09
Rapid City,6/9/09
Rapid City,6/9/09
Rapid City,6/9/09
Huron,1/31/11
Brookings,5/12/09
Rapid City,3/19/09
Gregory,1/10/09
Rapid City,10/31/08
Sioux Falls,8/12/08
Black Hills,3/19/09
Sioux Falls,6/12/08
Sioux Falls,3/31/08
Sioux Falls,3/4/08
Mission,2/14/08
Kennebec,11/28/07
Sioux Falls,11/28/07
"Rapid City, Sioux Falls",11/28/07
"Sioux Falls, SD",11/28/07
,11/28/07
Turkey Ridge,11/28/07
Stephan,11/28/07
Hurley (west of),11/28/07
Ft. Thompson,3/4/08
Mission,3/4/08
Rapid City,10/8/07
Rosebud,11/21/10
Vermillion,8/7/07
Oglala,8/7/07
Rapid City,12/7/06
Spearfish,12/7/06
Rock Hill,10/30/06
Lake Byron,11/14/14
Deadwood,12/7/06
Sioux Falls,5/15/06
Sioux Falls,2/14/06
Huron,12/16/05
Burke (north of),10/11/05
Mitchell,9/2/05
Sturgis,1/10/09
Eagle Butte,4/14/09
Eagle Butte,7/5/05
Rapid City,6/20/05
Rapid City,4/27/07
Salem/Montrose (between),12/3/04
Rapid City/ Box Elder,3/11/06
Dupree VOR (in-flight),12/3/04
Sioux Falls (near),12/3/04
Lead,9/29/04
Sisseton,9/9/04
Watertown,8/11/04
Sturgis,6/18/04
Rapid City,2/1/07
Spearfish Canyon,3/2/04
New Effington,3/2/04
Pickstown,1/17/04
Little River,1/17/04
Webster,4/27/07
Vermillion,9/17/03
Sisseton,9/9/03
Rockerville,8/28/03
Oglala,7/25/04
Hot Springs,4/27/03
Huron,3/21/03
Ft. Thompson,3/21/03
