date,city
Cedar Park,8/24/17
Georgetown,8/17/17
Austin,8/17/17
Austin,8/17/17
Keller,8/4/17
Pilot Point,8/4/17
Pleasanton,7/27/17
Nacogdoches,7/23/17
Grand Saline,7/23/17
McKinney,7/14/17
San Antonio,7/23/17
Denton,7/7/17
Aledo,6/22/17
Leander,6/15/17
Ballinger,6/15/17
Cushing,6/9/17
Houston,6/9/17
Lakeway,6/22/17
Spring,6/2/17
San Antonio,6/2/17
Floresville,6/2/17
Friendswood,6/2/17
Fort Worth,6/22/17
Bryan,6/2/17
Lubbock,6/2/17
Cypress,5/15/17
San Antonio,5/15/17
Katy,5/15/17
Cypress,5/15/17
Abilene,5/15/17
Wylie,5/11/17
Waxahachie,5/11/17
Austin,5/6/17
Houston,5/6/17
Spring,5/6/17
Del Valle,5/6/17
Dallas,4/28/17
Chappell Hill,4/28/17
Galena Park,4/28/17
Sugarland,4/20/17
Dickinson (headed toward Galveston),4/20/17
Gordon,4/20/17
Frisco,4/13/17
Austin,4/13/17
Georgetown,4/13/17
Austin,4/7/17
Granbury,4/7/17
Lockhart,4/7/17
North Richland Hills,3/23/17
San Angelo,4/28/17
Houston,4/7/17
Dallas,3/23/17
Eagle Pass,4/7/17
Austin,3/23/17
Dallas,3/23/17
Grandview,3/23/17
Dallas (Lakewood area),3/17/17
Cherry Springs Community,3/23/17
Frisco,3/17/17
San Angelo,3/10/17
Fort Worth,3/10/17
Lake Conroe,3/10/17
Waco,3/10/17
Ingram,3/10/17
Atascocta,3/10/17
Dallas,3/10/17
Dallas,3/10/17
Irving,2/22/17
Bryan,2/17/17
Longview,2/17/17
Harper,2/17/17
Harper,2/22/17
Liberty Hill,2/10/17
Carmine,3/10/17
Hutto,2/10/17
Katy,2/3/17
Selma,2/3/17
San Antonio,1/26/17
Lakehills,2/3/17
Newport,2/3/17
Uhland,1/19/17
Conroe,1/12/17
Poteet,1/19/17
Austin,1/12/17
Dickinson,1/6/17
San Antonio,1/6/17
San Antonio,1/6/17
Cleburne,1/12/17
San Antonio,1/6/17
Texhoma,12/30/16
Bivins,12/30/16
Garland,12/30/16
Richardson,12/21/16
Pearland,12/15/16
Lake Jackson (Brazoria Co.),12/15/16
Fayetteville,12/5/16
Corpus Christi,12/5/16
Seguin,1/12/17
McKinney,12/5/16
Irving,12/5/16
Euless,11/11/16
Dripping Springs,11/11/16
Alvin,12/5/16
Houston,11/11/16
Robstown,12/5/16
Houston,11/4/16
Seguin,11/4/16
Alvin,11/4/16
Burnet,11/4/16
Fort Worth,10/27/16
Alvord,10/27/16
Krum,10/27/16
Carrollton,10/27/16
Copperas Cove,10/21/16
Mansfield,10/21/16
Houston,10/21/16
San Antonio,12/5/16
Houston,10/21/16
Granbury,10/13/16
Austin,11/4/16
Kerrville,10/13/16
McKinney,10/11/16
Murphy,10/11/16
Houston,10/11/16
Plano,10/11/16
Millsap,10/13/16
Amarillo,9/30/16
Dallas,9/30/16
Dayton,9/30/16
Alice,9/30/16
Austin,9/30/16
Springtown,9/22/16
Frisco,9/22/16
