date,city
Richmond,8/17/17
St. George,8/17/17
St. George,8/11/17
West Valley,8/11/17
Ogden,8/11/17
Riverdale,8/4/17
West Jordan,8/4/17
Pleasant Grove,8/11/17
Saint George,7/27/17
Saratoga Springs,7/23/17
Eureka,7/23/17
Salt Lake City Utah,7/14/17
Salt Lake City,7/14/17
Millcreek,7/7/17
Taylorsville,7/7/17
Park City,6/22/17
Honeyville,6/9/17
Provo,6/2/17
Salt Lake City,6/2/17
North Salt Lake,6/2/17
Provo,5/15/17
Taylorsville,5/6/17
Taylorsville,4/20/17
Murray,4/13/17
Highland,4/13/17
St. George,4/7/17
Taylorsville,3/23/17
Sandy,3/10/17
West Valley City,3/10/17
NSL  ((North Salt Lake??)),2/22/17
,3/10/17
Layton,2/3/17
Hurricane,2/3/17
Bountiful,2/3/17
St. George,2/3/17
St. George,1/19/17
Morgan,1/19/17
West Valley City,7/23/17
Sandy,1/19/17
Midvale,1/12/17
Sandy,1/6/17
Saint George,1/6/17
Salt Lake City,12/21/16
St. George,12/21/16
St. George,12/15/16
Ivins,12/15/16
Santa Clara,12/5/16
Santa Clara,12/5/16
Salt Lake City,12/5/16
Salt Lake City,12/5/16
Centerville,11/11/16
Park City,11/11/16
West Jordan,11/4/16
Virgin,12/5/16
Park City,10/27/16
Park City,10/21/16
Orem,10/21/16
Riverton,10/13/16
Orem,10/11/16
Apple Valley,9/30/16
Salt Lake City,9/22/16
Salt Lake City,9/22/16
Layton,9/22/16
Orem,9/22/16
St. George (40 miles outside of),9/22/16
Taylorsville,9/9/16
Winnemucca,9/9/16
Hyrum,9/2/16
Herriman,9/2/16
Cedar Hills,8/25/16
Salt Lake City,10/13/16
Layton,8/25/16
Salt Lake City,8/16/16
Sandy (suburb of SLC),8/16/16
Monte Crist,8/16/16
Layton,8/16/16
Riverton,3/23/17
St. George,8/2/16
Tooele,8/16/16
St. George,8/2/16
South Jordan,8/2/16
Heber,8/2/16
Salt Lake City,8/2/16
Ogden,8/2/16
West Valley City,8/2/16
Salt Lake City,8/2/16
Heber City Canyon,8/2/16
Salt Lake City,8/2/16
Lindon,8/2/16
St. George,8/2/16
West Valley,8/2/16
Layton,8/2/16
West Valley City,8/2/16
Sandy,8/2/16
Cedar Valley,8/2/16
Centerville,8/2/16
Washington,8/2/16
Delta,8/2/16
St. George,7/22/16
Salt Lake City,7/8/16
Ogden,5/26/16
Salt Lake City,7/15/16
Salt Lake City,5/26/16
Garden City,5/20/16
Clive,5/20/16
Tooele,5/20/16
St. George,4/29/16
Green River,4/29/16
Layton,4/15/16
Ogden,4/15/16
Moab,4/15/16
South Jordan,4/15/16
Ogden,4/15/16
Hildale,4/15/16
Salt Lake City,4/1/16
Roy,6/1/16
Ogden,3/11/16
St. George,4/1/16
Murray,3/11/16
Hurricane,3/11/16
South Jordan,3/4/16
Salt Lake City,2/19/16
Kearns,2/4/16
Kearns,2/4/16
Salt Lake City,1/23/16
South Jordan,9/22/16
Heber City,1/20/16
Salt Lake City,1/5/16
Salem,1/5/16
Saint George,1/20/16
Draper,1/5/16
Cedar City,1/5/16
Layton (south of),12/3/15
Lindon,12/3/15
Salt Lake,11/26/15
Salt Lake City (north of),11/26/15
Provo,11/26/15
Ogden,1/5/16
Kanab,11/19/15
Panguitch,11/19/15
Roosevelt,11/19/15
Lindon,11/19/15
Eagle Mountain,11/19/15
Moab,11/19/15
Eagle Mountain,11/19/15
Logan,11/6/15
Richfield,11/6/15
Salina,10/29/15
Fielding,10/29/15
Murray,10/16/15
Riverdale City,10/16/15
Riverdale,10/29/15
Salt Lake City,10/16/15
Cedar City,10/2/15
Layton,10/29/15
Salt Lake City,9/25/15
Vernal,9/11/15
Eureka,9/11/15
Eagle Mountain,10/16/15
Holladay,9/2/15
Bountiful,9/2/15
Sandy,9/2/15
Kearns,8/27/15
Roy,2/4/16
North Ogden,8/13/15
American Fork,8/6/15
Tooele,8/6/15
Midvale/Sandy,7/23/15
Antelope Island,8/13/15
Provo,7/6/15
St. George,7/3/15
Salt Lake City,6/24/15
West Valley City,6/24/15
Tooele Valley (above Oquirrh Mtns. & Dugway),6/19/15
Spanish Fork,6/19/15
Salt Lake City,6/5/15
East Carbon,6/5/15
Zion National Park,9/11/15
Lehi,7/31/15
Salt Lake City,4/30/15
Salt Lake City,4/23/15
Lehi,4/15/16
Springville,4/17/15
Salt Lake City,4/3/15
Salt Lake City,3/20/15
Centerville,4/15/16
Layton,3/13/15
Orem,3/13/15
Salt Lake City,3/13/15
Bountiful,3/6/15
Salt Lake City,3/26/15
Bountiful,2/20/15
Magna,2/20/15
Salt Lake City,2/12/15
Farmington,2/6/15
Milford,2/6/15
West Valley City,2/6/15
Garden City,1/26/15
Cottonwood Heights,1/26/15
Garden City,1/26/15
Draper,1/16/15
Garden City,1/26/15
Salem,1/5/16
Bear Lake,1/7/15
Garden City,1/26/15
