date,city
Orange County,8/4/17
Colchester,7/27/17
Benson,7/7/17
Troy,6/9/17
Milton,6/2/17
Springfield,4/28/17
Bennington,3/10/17
Windsor,3/10/17
Montpelier,12/30/16
South Burlington,12/15/16
Ferrisburgh,12/5/16
Benson,12/5/16
Manchester,10/11/16
South Burlington,9/30/16
Stamford,9/15/16
West Windsor,5/11/17
Windsor,9/9/16
Rutland (near; Griffith Lake),8/29/16
West Pawlet,8/25/16
Wells,8/16/16
Sharon,8/16/16
Vergennes,7/22/16
Thetford,3/11/16
Fairlee,3/11/16
West Topsham,3/4/16
West Topsham,3/11/16
Barre Town,1/20/16
Norwich/Thetford,1/23/16
Montpelier,1/20/16
Plainfield,1/23/16
Barre,11/19/15
Williston,11/19/15
Barre,11/19/15
Burlington,11/6/15
Hinesburg,10/29/15
Waterbury,11/12/15
Essex Center,9/17/15
Washington,8/27/15
Eden,8/27/15
Guilford,8/13/15
Westford,8/13/15
Lincoln,8/6/15
Saint Johnsbury,8/6/15
Enosburg Falls,7/10/15
Montpelier,7/6/15
Montpelier,7/3/15
Colchester,7/3/15
Newbury,11/12/15
Londonderry/Andover,5/29/15
Londonderry/Andover,5/29/15
Manchester,5/8/15
Washington,5/8/15
Milton,5/8/15
Burlington,5/8/15
Rockies,5/22/15
South Burlington,4/30/15
Lyndonville,4/17/15
Jericho,4/17/15
South Burlington,4/17/15
,4/17/15
Richmond (near),4/8/15
Milton,5/22/15
Colchester,3/26/15
Castleton,3/26/15
North Hero,3/20/15
Barre,1/19/17
West Danville,1/23/16
Fairlee,1/16/15
Hartford/Dothan,1/26/15
Rutland,1/16/15
Rutland,1/16/15
Concord,1/9/15
Windsor County,1/7/15
Woodstock,1/7/15
Rutland,1/7/15
Thetford,1/7/15
East Charleston,1/7/15
Morrisville,12/12/14
Fairfax,12/12/14
Colchester,12/5/14
Newport,11/14/14
Fairlee,12/5/14
Windham,11/6/14
Peacham,11/6/14
Milton,3/20/15
Rutland,9/10/14
South Londonderry,9/5/14
Concord,9/5/14
Rutland,8/29/14
Georgie,8/29/14
Waterbury,8/16/16
Newport,8/22/14
Dummerston,8/8/14
Belvidere,8/1/14
Burlington,7/26/14
Williston,7/20/14
Winooski,7/11/14
Williston,7/11/14
Williamstown,7/11/14
St. Johnsbury,7/5/14
St. Albans,7/20/14
Vergennes,7/5/14
Essex Junction,6/4/14
Castleton,6/4/14
Benson,4/18/14
Brandon,3/18/14
Williston,3/18/14
Burke,2/27/14
Jeffersonville,2/27/14
Williston,3/18/14
Thetford Center,3/18/14
Williston,2/14/14
Newfane,1/10/14
Brattleboro,1/30/14
Dorset,1/10/14
Montpelier,1/10/14
Danville,12/23/13
Concord,12/23/13
Fairlee,12/23/13
Rutland,12/12/13
Burlington,12/2/13
Burlington,12/2/13
Montpelier,12/2/13
Norwich,12/2/13
Quechee,12/2/13
Randolph Center,12/2/13
Montpelier,12/2/13
Granville,12/2/13
Woodbury,12/2/13
Lyndon,12/2/13
Berlin,12/2/13
Granville,12/2/13
St. Johnsbury,12/2/13
Saint Albans,11/20/13
Barre,11/20/13
Georgia,11/11/13
Bridgewater Corners,11/11/13
Manchester,11/11/13
Brattleboro,10/23/13
Milton,10/23/13
Milton,10/23/13
Essex Junction,10/14/13
Essex Junction,10/14/13
Burlington,10/14/13
Colchester,10/23/13
