date,city
Henrico,8/24/17
Norfolk,8/17/17
Norfolk,8/11/17
Woodford,8/4/17
Eastern Shore,8/24/17
Norfolk,8/4/17
Glen Allen,8/4/17
Glen Allen,7/27/17
Waynesboro,7/23/17
Roanoke,7/23/17
Roanoke,7/23/17
Alexandria,7/23/17
Williamsburg,7/14/17
Occoquan,7/14/17
Vienna,7/14/17
Reston,7/7/17
Staunton,7/7/17
Charlottesville,7/7/17
Stafford,7/7/17
Gloucester,7/7/17
Hampton/Newport News,7/7/17
Fredericksburg,7/7/17
Newport News,7/7/17
Virginia Beach,7/7/17
Ferrum,6/22/17
Axton,7/7/17
Danville,6/22/17
Falls Church,7/7/17
Ruther Glen,6/22/17
Great Falls,6/22/17
Virginia Beach,6/15/17
Alexandria,6/15/17
Troy,6/15/17
Hardy,8/4/17
Portsmouth,6/9/17
Norfolk,6/15/17
Virginia Beach,6/9/17
Pearisburg,6/9/17
Roanoke,6/2/17
Mechanicsville,6/2/17
Norfolk,5/15/17
Charlottesville,5/11/17
Newport News,4/20/17
Roanoke,4/13/17
Newport News,4/13/17
Brodnax,4/7/17
Virginia Beach,4/7/17
Danville,4/7/17
Suffolk,3/23/17
Forest,4/7/17
Gloucester,3/17/17
Virginia Beach,3/17/17
Surry,3/10/17
Lynchburg,3/10/17
Lynchburg,3/10/17
Blacksburg,3/10/17
Stafford,2/17/17
Abingdon,2/17/17
New Kent,2/17/17
Norton,2/10/17
Fredericksburg,2/17/17
Charlottesville,2/3/17
Leesburg,2/3/17
Henrico,2/10/17
Midlothian,1/26/17
Woodbridge,1/26/17
Roanoke,1/12/17
Bealeton,1/12/17
Norfolk,1/6/17
White Stone,4/7/17
Fredericksburg,1/6/17
Buckingham,12/30/16
Charlottesville,12/30/16
Waynesboro,12/21/16
Stephenson,12/30/16
North Chesterfield,12/15/16
Virginia Beach (City of),12/15/16
Arlington,12/15/16
Fredericksburg,12/15/16
Fredericksburg,1/6/17
Raphine,12/5/16
Chester,12/15/16
Ashland,12/5/16
Tazewell,12/5/16
Alexandria,12/5/16
Pearisburg,12/5/16
Pamplin,12/5/16
Woodbridge,12/5/16
Woodbridge,12/5/16
Hampton,12/5/16
North Chesterfield,12/5/16
Bristol,12/5/16
Virginia Beach,11/11/16
Alexandria,11/11/16
Ashburn,11/4/16
Charlottesville,11/4/16
Virginia Beach,12/15/16
Colonial Beach,10/27/16
Waynesboro,10/21/16
Virginia Beach,10/21/16
Reston,9/30/16
Springfield,9/30/16
Virginia Beach,9/30/16
Petersburg,9/30/16
Prince William,11/4/16
False Cape State Park,9/22/16
Arlington,9/22/16
Spotsylvania,9/9/16
Manassas,9/9/16
Falls Church,9/9/16
Gainesville,9/9/16
Newport News,9/2/16
Virginia Beach,9/2/16
Williamsburg,8/29/16
Comer's Rock (near),9/30/16
Fairfax,8/16/16
Big Stone Gap,8/16/16
Roanoke,8/16/16
Chincoteague,8/16/16
Hiltons,8/2/16
Midlothian,8/2/16
Virginia Beach,8/2/16
Farmville,8/2/16
Marion,7/22/16
Fredricksburg,7/22/16
Virginia Beach,7/22/16
Petersburg,7/15/16
Hurt,7/15/16
Salem,7/15/16
Madison Heights,7/8/16
Reston,7/15/16
Roanoke,7/8/16
Aldie,7/8/16
Portsmouth,6/24/16
Front Royal,6/16/16
Occoquan,6/16/16
Fredericksburg,6/10/16
Stanley,10/21/16
Covington,6/10/16
Richmond,6/10/16
Lynchburg,6/3/16
Ashburn,5/20/16
Midlothian,5/10/16
Woodbridge,5/6/16
Virginia Beach,4/29/16
Fredericksburg,4/29/16
Chesapeake,4/22/16
Vinton,4/15/16
Buckingham,4/15/16
Stafford,4/1/16
Chester,4/1/16
Hampton,3/24/16
Portsmouth,3/18/16
Portsmouth,3/24/16
Winchester,3/18/16
Reston,3/18/16
Springfield,3/18/16
Stafford,3/18/16
Stafford,3/18/16
Burke,3/11/16
Centreville,3/4/16
Fredericksburg,2/26/16
Martinsville,2/19/16
Arlington,2/19/16
Williamsburg,2/19/16
Virginia Beach,3/18/16
Elberon,3/17/17
Woodbridge,2/19/16
Radford,3/11/16
Culpeper,2/11/16
Gainesville,2/11/16
Williamsburg,2/4/16
Hillsville,2/26/16
Route 66 West (Exit 50),1/29/16
Virginia Beach,1/29/16
Stafford,1/29/16
Centreville,1/23/16
Manassas Park,1/23/16
Ivor,1/20/16
