date,city
Coulee Dam,8/24/17
Sunnyside,8/24/17
Seattle,8/24/17
Seattle,8/24/17
Deer Park,8/17/17
Auburn,8/11/17
Lincoln,8/4/17
Oakesdale,8/4/17
Oakesdale,8/4/17
Bellevue,8/4/17
Bellingham,8/4/17
Everett,8/4/17
Bellevue,8/4/17
Enumclaw,8/4/17
Bothell (above),8/4/17
Yelm (near),8/4/17
Olalla,8/4/17
Chehalis,8/4/17
Bellevue,8/4/17
Black Diamond,8/4/17
Kent,8/4/17
Spokane,8/4/17
Spokane,8/4/17
Spokane,8/4/17
Bellingham,7/27/17
Tacoma,7/27/17
North Bend,7/27/17
Graham,7/27/17
Springdale,7/23/17
Everett,7/23/17
Takhlakh Lake,8/4/17
Lynnwood,7/23/17
Roy,7/23/17
Spokane,7/23/17
Hermiston,7/14/17
Walla Walla,7/14/17
Port Hadlock,7/7/17
Woodinville,7/7/17
Spokane Valley,7/23/17
Kent/Auburn,7/7/17
Soap Lake,7/7/17
University Place,7/7/17
Bellingham,7/7/17
Puyallup,7/7/17
Auburn,7/7/17
Seattle,7/7/17
Fairfield,7/7/17
Mountlake Terrace,7/7/17
Seattle,7/7/17
Bonney Lake,7/7/17
Longview,7/7/17
Pasco,7/7/17
Seattle,7/7/17
Seattle,6/22/17
Kettle Falls,6/22/17
Tacoma,6/22/17
Vancouver,6/22/17
Yakima,6/15/17
Bremerton,6/15/17
Lynnwood,6/15/17
Seattle,6/9/17
Seattle,6/9/17
Seattle,6/2/17
Camas,6/2/17
Seattle,6/2/17
West Pasco,6/2/17
Brewster,6/2/17
Kalama,6/2/17
Sumner,6/2/17
Vancouver,6/2/17
Spanaway,6/2/17
Quincy,6/2/17
Everett,6/2/17
Spokane Valley,6/2/17
Seatac,6/2/17
Bellingham,5/15/17
Pullman,5/15/17
Everett,5/11/17
Stanford,6/2/17
Harrington,5/15/17
Everett,5/6/17
Olympia,5/6/17
Tacoma,4/28/17
Mossyrock,4/28/17
Everett,4/28/17
Selah,4/28/17
Seattle,4/28/17
Olympia,4/28/17
Spokane,4/28/17
Vashon,4/28/17
Marysville,4/20/17
Rock Island,4/20/17
Vancouver,4/20/17
Sammamish,4/20/17
Marysville,4/20/17
Davenport,4/13/17
Davenport,4/13/17
Quincy,4/13/17
Riverside,4/13/17
Wenatchee,4/7/17
Snohomish,4/7/17
Woodinvile,4/7/17
Auburn,3/17/17
Tacoma,3/17/17
Des Moines,3/17/17
Bellevue,3/10/17
Wenatchee,3/10/17
Index,3/10/17
University Place,3/10/17
Tacoma,2/22/17
Tacoma,2/22/17
Vancouver,2/17/17
Kelso,2/17/17
Richland,2/17/17
Port Orchard,2/17/17
Port Orchard,2/10/17
Port Orchard,2/17/17
Port Orchard,2/10/17
Harrington,3/10/17
West Seattle,2/10/17
Auburn,5/6/17
Lacey,1/26/17
Seattle,2/10/17
Oak Harbor,1/19/17
Seattle,1/19/17
Olympia,1/19/17
Shelton,1/12/17
Issaquah,1/12/17
Bellingham,1/12/17
Kalama,1/12/17
Langley,1/12/17
Parkland,1/6/17
Port Angeles,1/6/17
University Place,1/6/17
Richland,12/30/16
Davenport,12/30/16
Davenport,12/30/16
Davenport,12/30/16
Belfair,12/30/16
Lake Umatilla; John Day Dam (~30 mi. E of;  approximate),12/30/16
Olympia,12/30/16
Bellevue,12/30/16
Kelso,12/21/16
Liberty Lake,12/15/16
Stevens Pass,12/15/16
Bellingham,12/15/16
North Snohomish,12/5/16
Edmonds,12/5/16
Kenmore,12/5/16
McChord AFB/Ft. Lewis,12/5/16
Newcastle,12/5/16
Benton City,12/5/16
Richland,12/5/16
Seattle,12/5/16
Auburn,12/5/16
Arlington,11/11/16
Spokane,11/11/16
Kirkland,11/11/16
Walla Walla,12/5/16
Redmond,11/11/16
Snohomish,12/5/16
Everett,11/4/16
Newcastle,10/27/16
Cutthroat Lake Trail - Hwy 20,10/27/16
Renton,12/5/16
Ilwaco,10/21/16
Everett,10/21/16
Yakima,11/4/16
Wenatchee,10/21/16
Ocean Shores,10/21/16
University Place,10/27/16
Renton,10/11/16
Grandview,10/11/16
Lynnwood,10/11/16
Graham,10/11/16
Ferndale,10/11/16
Kennewick,9/30/16
Spokane,9/30/16
Hoquiam,9/30/16
Cowiche,9/30/16
Port Orchard,9/30/16
Bellingham,9/30/16
Bellingham,10/11/16
Lacey,9/30/16
North Bend,9/22/16
Ritzville,9/22/16
Spokane Valley,9/22/16
Lakewood,9/15/16
Elma,9/15/16
Battle Ground,9/15/16
Tacoma,9/15/16
Auburn,9/9/16
Pasco,9/9/16
Bellevue,9/9/16
Pasco,9/9/16
Bainbridge Island,9/9/16
Malo,9/9/16
Arlington,9/2/16
Lakewood,8/29/16
SeaTac Airport,8/29/16
Aberdeen Gardens,8/25/16
Bremerton,8/19/16
Snohomish,9/2/16
Sedro Woolley,8/16/16
Vancouver,8/16/16
Allyn,8/16/16
Vancouver,8/16/16
Lake Roesiger,8/16/16
Yakima,8/16/16
Tacoma,8/16/16
Curlew,8/25/16
Oysterville,8/16/16
SeaTac,8/16/16
Naches,8/16/16
Kennewick,8/16/16
Chelan,8/16/16
Colfax,8/16/16
Longview,8/16/16
Seattle,8/16/16
