date,city
Barboursville,8/24/17
Barboursville,8/24/17
Beckley,8/24/17
Martinsburg,8/11/17
Beaver,7/7/17
New Cumberland,6/9/17
Ashton,6/2/17
Coolridge,5/15/17
Cedar Grove,4/7/17
Athens,3/23/17
Chapmanville,3/17/17
Huntington,2/22/17
Morgantown,12/5/16
Bridgeport,12/5/16
Barboursville,11/11/16
Point Pleasant,11/4/16
Tornado,10/21/16
Fairmont,9/30/16
Hedgesville,9/9/16
St. Albans,9/9/16
Clarksburg/Bridgeport,8/17/17
Foster,8/25/16
Hurricane,8/16/16
Elkins (near),8/19/16
Parkersburg,8/16/16
Mt. Lookout,8/16/16
Mason,8/16/16
Marlinton,8/16/16
Marlinton,8/2/16
Summersville,7/8/16
Princeton,6/16/16
Vienna,6/10/16
Shinnston,6/1/16
Huntingtion,5/26/16
Charleston,4/15/16
Chapmanville,4/1/16
Martinsburg,3/18/16
Hurricane,5/10/16
Parkersburg,2/4/16
Branchland,1/5/16
French Creek,1/5/16
Hilldale,1/5/16
Tomahawk,1/5/16
Grafton,1/5/16
Huntington,12/10/15
Tomahawk,11/26/15
New Martinsville,11/19/15
Tridelphia,11/12/15
Bridgeport,11/6/15
St. Albans,10/29/15
St. Albans,10/29/15
Harpers Ferry,10/16/15
Elkins,9/25/15
Philippi,9/17/15
Charleston,9/11/15
Kanawha City,9/11/15
Kearneysville,9/11/15
Fayetteville,9/2/15
McMechen,9/11/15
Keyser,8/27/15
Lewisburg,8/13/15
Lewisburg,8/27/15
Romney,9/11/15
Rupert,8/6/15
Barboursville,8/6/15
Wayne,7/31/15
Hurricane,7/23/15
"Cyrus, WV US 52 North • Coordinates: 38°18&#8242;19&#8243;N ",7/31/15
Fayetteville,8/16/16
Buffalo,7/10/15
Clendenin,8/27/15
Sutton,6/24/15
Cameo,7/3/15
Mason,6/24/15
Mannington,5/29/15
Bowden,5/8/15
Charlestown,5/8/15
Bridgeport,5/8/15
Gerrardstown,4/17/15
Clendenin,4/17/15
Hedgesville,4/17/15
Morgantown,5/8/15
South Charleston,4/3/15
Hedgesville,4/3/15
Chester,3/26/15
East Lynn,3/6/15
Mineral Wells,3/6/15
Tomahawk,2/20/15
Huntington,2/12/15
Martinsburg,2/12/15
Inwood,2/6/15
Dunlow,8/27/15
Clarksburg,1/30/15
High View,1/26/15
South Charleston,1/26/15
Tomahawk,1/16/15
Huntington,1/7/15
Morgantown,12/12/14
Oak Hill,11/26/14
Marmet,11/26/14
Shinnston,11/26/14
Hedgesville,11/14/14
Keyser,11/6/14
Teays Valley,11/6/14
Morgantown,11/6/14
Morgantown,11/6/14
Winifrede,11/6/14
Martinsburg,10/3/14
Creston,10/3/14
Martinsburg,10/3/14
Flatwoods,9/25/14
Clear Creek,9/25/14
Fairview (rural),9/25/14
Clarksburg,9/18/14
South Hills,9/18/14
Charleston,9/11/15
Charleston,8/29/14
Clarksburg,8/29/14
Harpers Ferry,8/15/14
Martinsburg,8/8/14
Lewisburg,7/31/15
Circleville,8/1/14
Point Pleasant,7/26/14
Ragland,7/11/14
Elizabeth,7/11/14
Parkersburg,7/11/14
Fayetteville,7/5/14
Rainelle,7/4/14
Weirton,7/4/14
Summersville,6/27/14
Weirton,6/20/14
MacArthur,6/13/14
New Haven,9/18/14
Rupert,6/4/14
Huntington,6/4/14
Parkersburg,5/8/14
Charleston,5/2/14
Charleston,5/2/14
Morgantown,5/2/14
Twilight,4/24/14
Rainelle,4/24/14
Fayetteville,4/18/14
Milton (5 miles south of),4/18/14
Milton,4/18/14
Princeton,3/18/14
Scott Depot,2/27/14
Harpers Ferry,2/27/14
Thurmond,2/27/14
Fairmont,2/21/14
Beckley,2/7/14
Huntington,2/7/14
Princeton,2/7/14
Bluefield/Bland Virginia,2/7/14
Huntington,2/7/14
Huntington,1/24/14
Princeton,1/10/14
Lewisburg,1/10/14
Saint Albans,1/10/14
Keyser,1/10/14
Belle,1/10/14
Princeton,12/23/13
Valley Head,12/12/13
Kearneysville,12/2/13
Boomer,11/20/13
Martinsburg,11/20/13
Princeton,12/23/13
Charleston,11/11/13
Huntington,11/11/13
Reedsville,12/2/13
Lost Creek,10/14/13
Ceredo,10/14/13
Martinsburg,10/3/13
South Charleston,9/30/13
Fayetteville,9/30/13
Augusta,9/9/13
Logan,10/23/13
Milton,9/9/13
Milton,9/9/13
Fairmont,9/9/13
Oakhill,9/9/13
Charleston,9/30/13
Bridgeport,8/30/13
Belo,8/30/13
Ravenswood,8/30/13
Shepherdstown,8/30/13
West Union,10/23/13
Huntington,8/30/13
Point Pleasant,8/30/13
Elkins,8/30/13
Charleston,10/14/13
Barboursville,7/14/13
Wheeling,8/30/13
Ravenswood,7/5/13
Moundsville,7/5/13
Parkersburg,7/3/13
Seneca Rocks,4/17/15
Fairmont,10/3/14
Parkersburg,7/3/13
Fairmont,7/3/13
Rivesville,7/3/13
Charles Town,7/3/13
Charleston,7/3/13
Cross Lanes,6/2/13
Scott Depot,6/2/13
Princeton,6/2/13
Parkersburg,5/15/13
Mineral Wells,5/15/13
Mineral Wells,1/16/15
Ridge Mountain Elkins,10/23/13
Panther,1/24/14
Fayetteville,5/15/13
Charleston,5/15/13
Clarksburg,2/18/13
Scott Depot,2/4/13
Fairmont/Morgantown,4/12/13
Canaan Valley,2/4/13
Clarksburg,8/30/13
Morgantown,12/20/12
Crawley,12/20/12
Chapmanville,12/20/12
Ansted,11/19/12
Morgantown,11/19/12
Morgantown,9/30/13
Summersville,12/20/12
Ansted,11/19/12
Victor,12/20/12
Fairmont,11/4/12
Williamson,10/30/12
Cabin creek,10/30/12
Buckhannon,10/30/12
Point Pleasant,10/30/12
Belington,9/24/12
Morgantown,9/24/12
Morgantown,9/24/12
Charleston,9/24/12
Wheeling,9/24/12
Hurricane,9/24/12
New Cumberland,9/24/12
Union,12/17/15
Charleston,9/24/12
Parkersburg,9/24/12
Inwood,8/19/12
Moundsville,8/19/12
Weston,8/19/12
Pennsboro,8/19/12
Ripley (North of; on rte. 77),8/19/12
Paw Paw,8/5/12
Vienna,8/5/12
Morgantown,8/5/12
Jakes Run,8/5/12
Kearneysville,8/5/12
Lewisburg,8/5/12
Morgantown,8/5/12
Whitesville,8/5/12
South Charleston,7/4/12
Walton,7/4/12
Grafton,7/4/12
Cross Lanes,7/4/12
Fairmont,6/20/12
Mt. Lookout,7/4/12
Daniels,6/8/12
Sutton,5/29/12
Eskdale,5/29/12
Oak Hill,12/20/12
Hedgesville,5/13/12
Summersville,4/18/12
Philippi,4/18/12
Mannington,4/18/12
Martinsburg,6/14/12
Cowen,5/13/12
Charleston,5/13/12
Barboursville,5/13/12
Barboursville,5/13/12
Rio,3/13/12
Oak Hill,3/13/12
Enterprise,3/13/12
Sutton,2/10/12
Huntington,2/10/12
New Cumberland,1/12/12
Charleston,1/12/12
Lenore,1/12/12
Charleston,12/12/11
South Charleston,12/12/11
Saint Marys,12/12/11
Huntington,12/12/11
Martinsburg,10/25/11
Romney,10/10/11
Huntersville,5/13/12
Spencer,10/10/11
Morgantown,10/10/11
Birch River,3/6/15
Woodstock,8/7/11
Princeton,8/7/11
Dunbar,7/17/11
Marlington,7/17/11
Fayetteville,5/13/12
Wheeling,7/6/11
Clarksburg,6/27/11
Wheeling,6/12/11
Fairmont,6/20/11
Elkins,5/29/11
Elkins,5/29/11
Shady Spring,3/23/11
Edray,3/13/12
Barboursville,2/23/11
Benwood,2/18/11
Clarksburg,1/5/11
Keyser,11/21/10
Cross Lanes,9/24/12
Martinsburg,11/21/10
Beechbottom (OH Co. Airport Rd.),2/7/14
Huntington,11/21/10
Pond Gap,11/21/10
Brandywine,8/24/10
Pond Gap,8/30/10
Martinsburg,8/24/10
Morgantown,8/24/10
Cooper's Rock,8/24/10
Metz,7/28/10
Berkeley Springs,7/19/10
Hedgesville,7/19/10
Sissonville,7/6/10
Charleston,6/23/10
Pt. Pleasant/Southside (between),5/12/10
Elkins,2/14/10
Clarksburg,2/14/10
Fayetteville,2/14/10
Normantown,8/30/13
Philippi,4/13/10
Morgantown,12/12/09
Lavalette,12/12/09
Davis,4/13/10
Bishop,12/12/09
Newell,6/9/17
Grafton,12/12/09
Grafton,8/21/11
Romney,12/12/09
Martinsburg,12/12/09
Kenova,12/12/09
Parkersburg,8/28/09
Charles Town,8/27/09
Middlebourne,8/5/09
Bridgeport,8/5/09
Moundsville,8/5/09
Charleston (West of I-77),8/5/09
Masontown,8/27/09
Chester,8/5/09
Chester,8/5/09
Hartford,8/5/09
Masontown,8/5/09
Huntington,8/5/09
St. George,8/5/09
Grafton,6/9/09
Grafton,6/9/09
New Cumberland,6/9/09
Martinsburg,5/12/09
Lavalette,5/12/09
Summersville,5/12/09
Paw Paw (near),4/14/09
Morgantown,4/14/09
Mason,4/14/09
Hinton,3/19/09
Lewisburg,3/19/09
St. Albans,3/19/09
Beckley,3/19/09
Martinsburg,1/10/09
Saint Marys,10/31/08
Huntington,1/10/09
Oak Hill,10/31/08
Spencer,10/31/08
Middlebourne,6/23/10
Salem,10/31/08
Hillsboro,10/31/08
Summersville,10/31/08
Odd,10/31/08
Borderland,8/12/08
Huntington,8/12/08
Chester,8/12/08
Lost River,1/12/12
Huntington,5/12/09
Gay,6/12/08
Parkersburg,6/12/08
Seattle,6/12/08
Charleston,6/12/08
Glenville,6/12/08
Harrisville,10/30/12
Montcalm,3/31/08
Martinsburg,3/31/08
Letart,8/5/12
Huntington,3/31/08
Falling Waters,3/4/08
Rachel,3/4/08
Parkersburg (outside of),2/14/08
Shepherdstown,3/19/09
Willow Island,2/14/08
Ashton,2/14/08
Daniels,2/14/08
Cameron,3/4/08
Warwood,3/4/08
Moundsville,11/28/07
Crown Hill,3/4/08
Wheeling,10/8/07
Martinsburg,8/7/07
Follansbee,8/7/07
Shinnston,8/7/07
Martinsburg,8/7/07
Goldtown,3/10/17
Cross Lanes,6/12/07
Reedy,6/12/07
Romney,6/12/07
Capon Bridge,4/27/07
Princeton,6/10/10
Ravenswood,4/27/07
Wheeling,4/27/07
Morgantown,4/27/07
Huntington,2/24/07
Huntington,2/24/07
Shinnston,3/31/08
Elizabeth,2/1/07
Bruceton Mills,2/1/07
Oak Hill,2/1/07
Carpendale,2/1/07
Griffithsville,2/1/07
Camp Creek,12/7/06
Trowbridge (UK/England),12/7/06
Milton,3/8/07
Bluefield,12/7/06
Huntington,10/30/06
Buckhannon,1/10/09
Sissonville,10/30/06
Salem,2/1/07
Shady Spring,7/16/06
Morgantown,10/31/08
Bluefield,5/15/06
Summersville,5/15/06
Rockport,5/15/06
Rockport,5/15/06
Branchland,2/14/06
Mt. Lookout,2/14/06
Charleston,7/16/06
Cairo,11/8/05
Morgantown,11/8/05
Parkersburg,11/3/05
Rockport,11/3/05
Morgantown,10/11/05
Beckley,10/11/05
Moundsville,10/11/05
Lesage,10/11/05
Hedgesville,10/11/05
,8/21/11
Sophia,10/11/05
Craigsville,7/5/05
Tesla,5/24/05
Parkersburg,7/15/05
Morgantown,4/16/05
Morgantown,4/16/05
Hedgesville,3/11/06
Bluefield,5/11/05
Follansbee,5/11/05
Ripley,4/16/05
Lakin,2/22/05
Parkersburg,5/11/05
Chester,1/19/05
Morgantown,11/9/04
Wheeling,10/27/04
Parkersburg,5/24/05
Morgantown,5/24/05
West Virginia (above; in-flight sighting),10/27/04
Martinsburg,10/27/04
Elkins,9/1/04
Beaver,9/1/04
Morgantown,9/1/04
Morgantown,5/24/05
Lesage,8/11/04
Wheeling,7/25/04
Huntington,7/25/04
Beckley,7/13/05
Wheeling,7/8/04
Wheeling,7/8/04
Wheeling,6/23/04
Beckley,6/4/04
Culloden,8/11/04
Culloden,6/4/04
Gerrardstown,6/4/04
Ona,6/4/04
Martinsburg,3/17/04
Mississippi,9/9/04
Beckley,3/2/04
Sissonville,1/17/04
Williamstown,12/9/03
Williamstown,10/20/05
St. Albans,11/26/03
Harding (near),4/9/04
Huntington,10/31/03
Beckley,10/31/03
Beckley,10/31/03
Logan,12/14/04
Washington,9/24/03
Wheeling,9/29/04
"Barboursville (area, rural)",8/28/03
Kenna,7/16/03
Clearfork,6/3/03
Burlington,8/28/03
New Martinsville,3/21/03
Huntington (near),4/22/03
Summit Point,4/22/03
Hurricane,9/2/05
Beverly,12/23/02
Charleston,12/23/02
Huntington,12/23/02
Lost River,12/23/02
Maidsville,4/22/03
Shepherdstown,2/1/07
Lost Creek,9/6/02
Charleston,10/28/02
Bluefield/Green Valley,8/16/02
Evans,8/16/02
Farmington,7/26/02
Clarksburg,7/26/02
Washington County,4/22/03
Ansted,9/2/05
Ansted,9/2/05
Ansted,11/19/12
Logan,10/30/06
Charles Town,7/30/02
Cabins,7/1/02
Core,5/14/02
Rippon,5/14/02
Milton,2/22/02
Huntinton,1/29/02
Vienna/Williamstown,11/20/01
Huntington,11/20/01
Huntington,11/20/01
Beaver,6/20/05
Beaver,3/21/03
Mt. Olive,11/28/07
Dunbar,10/12/01
Sandyville,10/12/01
Parkersburg,10/12/01
Fairmont,8/20/01
Wayne,8/5/01
Great Cacapon,8/5/01
Romney,3/21/03
Spring Mills,5/27/03
Follansbee,5/13/12
Parkersburg,5/15/06
Cairo,8/5/01
Huntington,4/28/01
Lewisburg,2/22/02
Morgantown,4/28/01
Huntington,3/16/01
Princeton,8/17/17
Milton,11/20/01
Winfield,12/2/00
New Haven,12/2/00
Gerrardstown,12/9/00
Martinsburg,12/2/00
Sophia,6/12/02
Moundsville,6/21/00
Wheeling,5/3/00
Pineville (Pinnacle strip mine),3/16/00
St. Albans,2/18/01
Cairo,1/22/00
Milton,3/19/02
Huntington,1/7/00
Huntington,1/7/00
"West Virginia (Interstate 81, near PA border)",2/16/00
Kearneysville,12/16/99
Poca,7/1/02
Sutton,10/30/06
Beckley,9/12/99
Huntington,9/12/99
Lumberport,9/12/99
Eleanor,7/1/02
Parkersburg,8/28/03
Lesage (near),8/10/99
Reedsville,2/22/05
Point Pleasant,9/4/03
New Haven,6/18/04
Burlington,8/10/99
"Grantsville, W.V.",5/24/99
Cairo,1/11/02
Summersville,5/24/99
"Parkersburg (just outside of, on route 50 east)",5/24/99
Poca (3.5 miles north of),7/1/02
Follansbee,11/20/02
Wheeling,4/26/99
Cross Lanes,4/2/99
Poca (in Manilla Creek),7/1/02
Hurricane,5/9/03
Morgantown,4/2/99
Leon,4/2/99
Hinton,6/6/00
Charleston,1/28/99
Great Cacapon,7/26/02
Hinton,6/6/00
Moundsville,8/5/01
Charleston,11/21/98
Moundsville,11/21/98
Fort Gay,4/27/07
Moundsville,1/28/99
Hurricane,2/16/99
Parkersburg (10 miles south of Ohio/W.Virginia Border near),2/24/01
Shepherdstown,9/26/98
Bensrun,12/9/03
Reedsville,2/22/05
Lashmeet,10/31/08
South Charleston (near),5/27/03
Charleston,3/7/98
Elkins,11/2/99
Cowen,8/5/01
Beckley,1/31/11
Richwood,12/2/13
Oak Hill,6/4/04
Hedgesville,4/13/10
Buckhannon,3/7/98
Huntington,11/2/99
Huntington,11/2/99
Alum Creek,10/30/06
Wheeling,9/6/02
Fairmont,11/2/99
Huntington,12/16/05
Marlington,9/13/02
Eastern United States,2/18/13
Union,7/5/08
Morgantown,1/28/99
Martinsburg,1/28/99
Point Pleasant,4/12/13
Hooverson Heights,11/26/03
Oakvale,3/6/01
Dolly Sods Wilderness Area,5/15/13
Dolly Sods,6/16/16
Ghent,4/1/01
Martinsburg,10/30/06
Wheeling,1/11/02
Fairdale,3/19/02
Barboursville,6/20/11
Panther,3/21/03
Clarksburg,10/11/05
Beckley,11/20/01
Reedsville,3/13/12
Gilbert,4/27/07
Lost Creek,1/21/08
Carolina,12/14/06
Alloy,6/4/04
Clarksburg,2/14/08
Parkersburg,10/30/12
Clarksburg,1/5/11
Kenna,2/1/07
Ranger,11/1/98
Van (Van Park),4/3/15
Culloden,8/5/01
Morgantown,5/2/11
St. Albans,8/29/16
Dunbar/Institute,7/4/12
Unspecified location in WV,11/21/10
Triadelphia,5/2/11
Weirton,1/7/00
Colliers,12/23/02
Philippi,2/26/16
Martinsburg,3/11/06
Hillsboro,7/16/03
Genoa,12/7/06
Danese,10/30/06
New Martinsville,4/18/12
Lewisburg,6/6/00
Ranson,8/29/16
Anjean,3/19/09
Barboursville,2/1/07
Weirton,8/25/16
Huntington,3/21/03
Huntington,3/21/03
Hundred,10/31/08
Milton,8/5/01
Sistersville,12/12/11
St. Marys,10/2/99
Mount Hope,7/16/03
Four States,3/31/08
Buffalo,7/16/03
Talcott,7/5/08
Mullens/Pineville,1/11/02
Upper Glade,12/12/11
Weirton,1/7/00
Flatwoods,4/12/13
Mount Hope,5/24/05
Oak Ridge (drive),3/19/02
Jim Ridge,8/7/07
Wilderness,7/8/04
Wilderness (near western MD),3/21/03
Hurricane,8/5/01
Stonewood,7/5/99
New Martinsville,11/30/99
Shepherdstown,7/7/17
Chapmanville,1/10/14
