date,city
Rice Lake,8/11/17
Waupun,8/11/17
Brookfield,8/4/17
Stevens Point,8/4/17
Oshkosh,8/11/17
Milwaukee,7/23/17
Madison,7/7/17
Elkhart Lake,7/7/17
Rice Lake,7/7/17
Sun Prairie,7/7/17
South Milwaukee,7/7/17
Stevens Point,7/14/17
Eau Claire,6/15/17
Beloit,6/9/17
Adams,7/7/17
Janesville,6/9/17
Elkhart Lake,6/9/17
Barneveld,5/6/17
Sturgeon Bay,5/6/17
West Bend,5/6/17
Eau Claire,4/28/17
Neenah,4/28/17
Cottage Grove & Madison,4/20/17
South Belot,4/20/17
Sister Bay,4/20/17
Monona,4/20/17
De Pere,4/13/17
Waukesha,4/7/17
Crescent,4/7/17
Madison,4/7/17
Sheboygan,3/23/17
Green Bay,3/23/17
Madison,3/17/17
Madison,3/17/17
Wausau,3/17/17
Kaukauna,3/10/17
Kaukauna,3/10/17
Superior,3/10/17
Waukesha,3/10/17
West bend,2/22/17
Milwaukee,2/22/17
Milwaukee,2/22/17
Caledonia (Village of)),2/17/17
Wausau,2/17/17
Wausau,2/17/17
Village of Caledonia,2/10/17
Madison,2/10/17
Webster,2/10/17
Waunakee,2/3/17
River Falls,1/19/17
Fremont,1/19/17
Macfarland,1/12/17
New Berlin,1/12/17
Sparta,1/12/17
Green Bay,1/6/17
Elkhorn,12/30/16
Janesville,12/5/16
Franklin,12/5/16
Stevens Point,12/5/16
Oshkosh,12/5/16
Fremont,12/5/16
Mosinee,12/5/16
Stevens Point,12/5/16
Stevens Point,12/5/16
Berlin,12/5/16
Blanchardville,12/5/16
Waupaca,12/5/16
Colby (south of),11/11/16
Irma,12/5/16
Berlin,11/11/16
Mequon,12/5/16
Palmyra,11/11/16
Burlington,11/11/16
Ellsworth,12/5/16
Racine,11/4/16
Franklin,10/27/16
Madison,10/27/16
Beaver Dam,10/27/16
Stevens Point,11/4/16
Madison,10/21/16
Greenfield,10/21/16
Spearhead Point Campground,10/21/16
Laona,10/11/16
Rothschild,9/30/16
Baraboo,9/22/16
Crandon,9/30/16
Mellen,9/15/16
Madison,9/15/16
Bloomer,12/5/16
Bloomer,12/5/16
Bloomer,12/5/16
Portage,9/9/16
Auburn,9/9/16
Madison,9/9/16
Green Bay,9/9/16
Greenfield,9/2/16
Brookfield,9/2/16
Arlington,9/9/16
Caledonia,9/2/16
Stevens Point,11/4/16
Newburg,2/22/17
Madison,8/16/16
Mukwonago,8/16/16
Appleton,8/16/16
Oak Creek,8/16/16
Edgerton,8/16/16
Lake Mills,8/4/16
Greendale,8/2/16
Sun Prarie,8/4/16
St. Germain,8/2/16
St. Germain,8/2/16
Muskego,8/2/16
Madison,8/2/16
Mukwonago,8/2/16
Alma Center,8/2/16
Waupaca,8/19/16
Mosinee,8/2/16
Milwaukee,7/15/16
Waupun,7/15/16
Janesville,7/8/16
Brookfield,7/8/16
Port Washington,12/5/16
Fitchburg,7/8/16
Baraboo,7/8/16
Madison,7/8/16
Milwaukee,4/7/17
Sheboygan,7/8/16
Muskego,7/8/16
Walworth,7/8/16
Pell Lake,7/8/16
Jackson,12/21/16
Kenosha,6/24/16
Madison,6/16/16
Butler,6/10/16
Milwaukee,6/10/16
Muskego,6/10/16
Madison,6/1/16
Madison,6/1/16
Cedarburg,6/10/16
Greenville,5/26/16
Mineral Point,5/26/16
Rosholt,5/26/16
Kenosha,5/26/16
Black River Falls,5/26/16
"Monroe County (Road ""V"")",5/26/16
New Berlin,5/26/16
Racine,5/20/16
Waupun,5/10/16
Janesville,5/20/16
Westport,5/6/16
Milwaukee,5/6/16
Richfield,4/22/16
Sullivan,4/22/16
Oconomowoc,4/15/16
Verona,4/1/16
Madison,3/18/16
Oshkosh,3/11/16
Johnson Creek (on outskirts of; on Hwy 94 east),3/11/16
Farmington/Helenville,2/26/16
Spring Prairie,2/19/16
New London,2/19/16
Watertown,2/17/17
Camp Lake,2/11/16
Milwaukee,2/11/16
Sun Prairie,2/4/16
Milwaukee,2/4/16
Helenville,2/4/16
Waukesha,1/29/16
Appleton,1/23/16
Little Chute,2/4/16
Coleman,1/20/16
Amery/Star Prairie,1/23/16
Hubertus,1/8/16
Wind Lake,1/5/16
Friendship,12/21/15
Milwaukee (north of),12/17/15
Burlington,12/17/15
Madison,12/17/15
Madison,12/17/15
Milwaukee,12/17/15
Racine,12/17/15
Green Bay West,12/10/15
Sturgeon Bay,12/10/15
Pine River,12/3/15
Muskego,11/26/15
Cleveland,11/26/15
Green Bay,11/19/15
Granton,11/19/15
Milwaukee,11/19/15
Green Bay,11/19/15
Waukesha,11/12/15
Fond du Lac,11/19/15
Chippewa Falls,11/19/15
Deer Park,11/6/15
Madison,11/19/15
Kenosha,11/6/15
Baraboo,11/6/15
La Crosse,11/6/15
Janesville,10/29/15
Plymouth,10/29/15
Elcho,10/29/15
Oak Creek area,10/29/15
Milwaukee,10/16/15
Hartland,10/9/15
Ladysmith,10/2/15
Dousman,9/29/15
Brookfield,9/29/15
Cudahy,9/29/15
Cudahy,9/25/15
Fond du Lac,9/25/15
Oak Creek,10/9/15
Greenville,9/25/15
Sheboygan,9/25/15
Oak Creek,9/17/15
Franklin,9/17/15
Bagley,9/17/15
Caledonia,9/17/15
Sugar Camp,9/11/15
Rice Lake,9/11/15
Genoa City,9/17/15
Racine,8/27/15
Kaukauna,8/27/15
Wyocena,8/27/15
Poynette,8/27/15
Sturgeon Bay,5/26/16
Amberg,8/27/15
Winneconne,8/13/15
Bayfield,9/11/15
