date,city
Buffalo,8/4/17
Cody,7/23/17
Pinedale,7/23/17
Buford,7/23/17
Cody,3/10/17
Elk Mountain,2/22/17
Buford,3/10/17
Buford,3/10/17
Cody,1/6/17
Riverton (outside of),12/5/16
Rawlins,10/21/16
Lovell,10/11/16
Glenrock,10/11/16
Recluse,10/13/16
Cheyenne,9/15/16
Buffalo,9/9/16
Cody,9/2/16
Gillette,8/25/16
Saratoga,8/16/16
Sheridan,8/16/16
Veduawoo,8/4/16
Sheridan,8/2/16
Cody,3/24/16
Thermopolis,1/14/16
Cody,10/29/15
Rock Springs,10/16/15
Cheyenne,9/17/15
Torrington,8/6/15
Torrington,8/6/15
Casper,8/13/15
Torrington,8/6/15
Evanston,12/30/16
Beloit,7/31/15
Laramie,6/24/15
Torrington,6/24/15
Cheyenne,6/19/15
Casper,6/15/15
Cheyenne,6/5/15
Chugwater,5/8/15
Lander,4/30/15
Casper,3/6/15
Evanston,2/6/15
Rozet,1/7/15
Sheridan,12/12/14
Casper,11/14/14
Sheridan,11/6/14
GreenRiver,11/6/14
Cody,10/29/15
Ehete,10/10/14
Yellowstone National Park,9/5/14
Cheyenne,8/22/14
Dubois,8/15/14
Dubois,8/15/14
Evanston,8/15/14
Hulett (Devils Tower),8/8/14
Cheyenne,8/1/14
Dubois (South of; on Hwy 26),9/5/14
Rock Springs (35 miles north of),6/6/14
Rock Springs,6/4/14
Yellowstone North Entrance,4/18/14
Thermopolis,7/17/15
Evanston,5/2/14
Casper,2/27/14
Fort Washakie,1/30/14
Powell,12/12/13
Buffalo,12/12/13
Laramie,1/10/14
Casper,11/11/13
Alcova,11/11/13
Clark,10/14/13
Gillette,9/30/13
Wyoming (rural; central),9/30/13
Devil's Tower,8/30/13
Yellowstone,8/30/13
Casper,8/30/13
Meeteetse,1/5/16
Jackson,12/23/13
Cody,7/3/13
Gillette,5/15/13
Rock Springs,5/15/13
Point of Rocks,2/18/13
Rock Springs,12/20/12
Casper,11/19/12
Gillette,9/24/12
Rock Springs,9/24/12
Casper,9/24/12
Rock Springs,9/24/12
Sheridan,8/19/12
Laramie,7/4/12
Bill,7/4/12
Jackson Hole,6/14/12
Rock Springs,5/13/12
Pine Haven,5/13/15
Rock Springs,3/13/12
Alpine,3/13/12
Laramie,12/17/11
Green River,12/12/11
Torrington,12/12/11
Rock Springs,12/12/11
Hulett (near),10/25/11
Yellowstone National Park,10/10/11
La Barge,5/29/12
Casper,10/10/11
Rock Springs,10/10/11
Casper,8/21/11
Cheyenne,8/7/11
Jackson Hole,8/5/12
Casper,8/7/11
Yellowstone National Park,7/6/11
Green River,6/20/11
Mills,6/3/11
Cheyenne,4/3/11
Cody,2/23/11
Glenrock,2/23/11
Yellowstone National Park,1/12/12
Casper,1/31/11
Buffalo,1/5/11
Gillette,1/5/11
Cheyenne,11/21/10
Rock Springs,12/20/12
Cokeville,8/30/10
Cheyenne,8/30/10
Lander,7/19/10
Teton National Park,7/15/16
Gillette,6/10/10
Evansville,5/12/10
Cheyenne,5/12/10
Cheyenne,4/13/10
Cheyenne,4/13/10
Cheyenne,12/12/09
Laramie,8/5/09
Powell,8/5/09
Cheyenne,6/9/09
Casper,3/19/09
Laramie/Wamsutter (between),1/10/09
Rock Springs,1/10/09
((Location unspecified; rural area)),1/10/09
Colony (1 mile NW of),10/31/08
Lyman,10/31/08
Glenrock,10/31/08
Cheyenne,10/31/08
Laramie,2/14/10
Gillette,10/31/08
Teton National Park,8/5/09
Clark,8/24/10
Worland,4/17/08
Powell,11/28/07
Opal,5/12/09
Laramie,10/8/07
Casper,10/8/07
Douglas,8/7/07
Evanston,8/14/07
Yellowstone National Park,10/31/08
Thermopolis,8/7/07
Shawnee,2/1/07
Sheridan,2/1/07
Laramie,8/7/07
Rawlins,10/30/06
Clark,10/30/06
Riverton,10/30/06
Big Sandy,10/30/06
Casper,7/16/06
Seminoe Lake (near Rawlins),7/16/06
Bear River/Evanston,5/15/06
Shirley Basin Road,3/31/08
Evanston,2/14/06
Fox Park,12/16/05
Cheyenne,2/14/06
Laramie,11/8/05
Casper,10/11/05
"Wyoming (I-80, westbound)",3/11/06
Teton National Park,10/11/05
Medicine Bow,9/2/05
Clark,10/11/05
Casper,6/20/05
Cheyenne,5/24/05
Casper,2/24/05
Sheridan,1/19/05
Hanna,6/18/04
Casper,5/10/04
Cheyenne,3/23/04
Lander,3/2/04
Casper,3/2/04
Cheyenne,1/17/04
Farson,4/20/17
Clark,11/8/03
Yellowstone National Park,10/15/03
na,4/27/04
Jackson,8/1/03
Worland,6/18/03
Jackson Hole,4/27/04
Rock Springs,3/21/03
Cheyenne,12/23/02
Bosler,10/31/03
Lander,10/15/02
Fort Bridger,10/15/02
Laramie,9/19/02
Sheridan,9/13/02
Baggs,9/19/02
Gillette,9/13/02
Rock River (southeast of),10/31/03
Rock Springs,6/12/02
Gillette,5/15/06
Cheyenne,5/14/02
Evanston,5/14/02
Laramie,4/8/02
Cheyenne,2/22/02
Clark,11/20/01
Laramie,11/20/01
Evanston,11/20/01
Chugwater,9/9/03
Hawk Springs,10/12/01
Rock River,10/12/01
Rock River,10/12/01
Laramie,10/12/01
Rawlins,10/12/01
Dubois,12/5/01
Cheyenne,10/12/01
Laramie,10/31/03
Laramie,4/28/01
Gillette,3/16/01
Laramie,10/12/01
Dubois,2/18/01
Gillette,2/18/01
Border,12/2/00
Big Horn Mtns,2/24/01
Pinedale,1/11/02
Pine Haven,2/18/01
Rawlins,6/21/00
Casper,5/12/10
"Rock Spings, 2miles west of",1/22/00
Casper,12/16/99
Gillette,10/19/99
Cheyenne,10/2/99
Egg Harbor,3/21/03
Casper,11/17/99
Rawlins (39 miles west of),8/5/01
Cheyenne,10/2/99
"Medicine Bow National Mountains, Medicine Bow National Fores",9/12/99
Green River,2/16/00
Buffalo,4/28/01
Laramie (25 miles north of),8/5/01
On highway; location unknown,10/31/08
Riverton,7/14/13
Riverton,1/29/02
Casper,4/1/00
Rock Springs,9/26/98
"Sheridan (10 miles South of, at the Sheridan Pipeline)",2/24/01
Medicine Bow Natl. Forest (40 mi. W of Laramie),11/1/98
Cheyenne,11/19/98
Cheyenne,11/19/98
Cheyenne,1/28/99
Cheyenne,2/16/99
Ten Sleep (outside of),3/19/02
Cheyenne,1/11/02
Atlantic City,5/24/05
Gillette,1/24/14
Cody,6/12/08
Mile 69,11/2/99
Glendo,11/2/99
Gilette,2/14/06
Rock River,10/31/03
Dull Center (near Bill) (north of Douglas),11/20/02
Cheyenne,8/16/02
Laramie (east of),10/31/03
Laramie,10/31/03
Mammoth Hot Springs,12/5/01
Laramie (south of),10/31/03
Laramie,6/18/04
Laramie,11/8/03
Laramie,10/31/03
Laramie,10/31/03
Jackson Hole (Moran State Park),11/17/99
Green River (No. of),7/29/00
Old Faithful,5/11/05
Wheeling,5/11/05
Wyoming (various towns),9/28/02
Laramie,2/19/16
Interstate 80/25,2/14/06
Cowley,2/14/10
Casper,9/2/05
Fort Washakie,3/19/09
Powell,6/3/10
Powell,8/30/13
Cheyenne,1/10/09
Wyoming (rural),9/9/04
Lander,5/4/04
Francis E Warren AFB,6/18/04
Guernsey,5/15/06
Rock Springs,4/2/99
Yellowstone Park (near South entrance),1/28/99
Cheyenne,7/4/12
Green River,10/15/02
Yellowstone National Park,12/12/09
